year,rank,team,rating
2019,70,Navy,-2.2
2019,71,Northern Illinois,-2.2
2019,72,Cincinnati,-2.3
2019,73,Army,-2.8
2019,74,Memphis,-3.1
2019,75,Louisville,-3.5
2019,76,SMU,-3.9
2019,77,Middle Tennessee,-4.0
2019,78,Illinois,-4.1
2019,79,App State,-4.2
2019,80,Air Force,-4.3
2019,81,San Diego State,-4.5
2019,82,Miami,-4.5
2019,83,Tulane,-4.6
2019,84,Wyoming,-4.9
2019,85,Florida Atlantic,-5.0
2019,86,Houston,-5.1
2019,87,Ohio,-5.5
2019,88,Nevada,-5.8
2019,89,Buffalo,-5.9
2019,90,Toledo,-6.1
2019,91,Troy,-6.5
2019,92,Eastern Michigan,-6.6
2019,93,Western Michigan,-6.9
2019,94,Marshall,-6.9
2019,95,Tulsa,-7.2
2019,96,South Florida,-7.7
2019,97,UAB,-7.8
2019,98,San Jose State,-8.1
2019,99,Akron,-8.3
2019,100,Arkansas State,-8.3
2019,101,Georgia Southern,-8.4
2019,102,Colorado State,-8.5
2019,103,Louisiana,-8.7
2019,104,New Mexico,-8.7
2019,105,Charlotte,-8.8
2019,106,Florida International,-9.4
2019,107,Hawaii,-9.5
2019,108,Coastal Carolina,-9.6
2019,109,UNLV,-9.6
2019,110,Louisiana Monroe,-9.6
2019,111,East Carolina,-9.6
2019,112,Kent State,-9.7
2019,113,North Texas,-9.7
2019,114,Bowling Green,-9.8
2019,115,Louisiana Tech,-9.9
2019,116,Central Michigan,-9.9
2019,117,Ball State,-10.2
2019,118,Georgia State,-10.8
2019,119,Southern Mississippi,-10.9
2019,120,UMass,-11.0
2019,121,Western Kentucky,-11.4
2019,122,South Alabama,-11.6
2019,123,UTSA,-11.7
2019,124,Old Dominion,-11.7
2019,125,Connecticut,-12.6
2019,126,Liberty,-12.6
2019,127,New Mexico State,-13.9
2019,128,Texas State,-14.4
2019,129,Rice,-14.6
2019,130,UTEP,-15.2
2020,1,Ohio State,19.0
2020,2,LSU,18.2
2020,3,Clemson,15.6
2020,4,Michigan,15.1
2020,5,Wisconsin,15.1
2020,6,Auburn,14.6
2020,7,Alabama,14.4
2020,8,Georgia,12.7
2020,9,Penn State,12.2
2020,10,Florida,10.9
2020,11,Texas A&M,10.4
2020,12,Oregon,9.9
2020,13,Iowa,9.2
2020,14,Oklahoma,9.0
2020,15,South Carolina,8.9
2020,16,Notre Dame,8.6
2020,17,Texas,8.3
2020,18,USC,7.3
2020,19,Baylor,6.7
2020,20,Utah,6.5
2020,21,Iowa State,6.5
2020,22,Minnesota,6.3
2020,23,Mississippi State,6.1
2020,24,Michigan State,5.8
2020,25,Oklahoma State,5.2
2020,26,TCU,5.1
2020,27,Nebraska,5.0
2020,28,Washington,4.9
2020,29,Indiana,4.9
2020,30,Stanford,4.8
2020,31,Ole Miss,4.5
2020,32,Kansas State,4.1
2020,33,Tennessee,3.9
2020,34,Wash State,3.8
2020,35,UCLA,3.6
2020,36,Colorado,3.6
2020,37,Northwestern,3.5
2020,38,California,3.3
2020,39,Purdue,3.2
2020,40,Virginia,3.1
2020,41,Oregon State,3.1
2020,42,Cincinnati,2.8
2020,43,Arizona State,2.8
2020,44,Memphis,2.6
2020,45,Tulsa,2.5
2020,46,North Carolina,2.4
2020,47,Louisville,2.1
2020,48,Maryland,2.1
2020,49,Houston,1.9
2020,50,Navy,1.9
2020,51,Kentucky,1.9
2020,52,Missouri,1.8
2020,53,West Virginia,1.6
2020,54,Arizona,1.4
2020,55,Texas Tech,1.4
2020,56,Florida State,1.3
2020,57,Tulane,1.1
2020,58,UCF,0.8
2020,59,Duke,0.7
2020,60,Illinois,0.7
2020,61,SMU,-0.1
2020,62,Miami,-0.2
2020,63,Pittsburgh,-0.4
2020,64,Virginia Tech,-0.4
2020,65,Wake Forest,-1.0
2020,66,Boston College,-1.1
2020,67,Arkansas,-1.6
2020,68,Vanderbilt,-1.7
2020,69,Air Force,-1.8
2020,70,Kansas,-1.8
2020,71,BYU,-1.9
2020,72,Syracuse,-2.1
2020,73,Boise State,-2.6
2020,74,Georgia Tech,-2.9
2020,75,Temple,-2.9
2020,76,App State,-3.0
2020,77,Florida Atlantic,-3.2
2020,78,South Florida,-3.8
2020,79,Louisiana,-3.8
2020,80,Rutgers,-4.5
2020,81,NC State,-4.6
2020,82,Hawaii,-4.7
2020,83,Utah State,-4.9
2020,84,Marshall,-6.1
2020,85,Wyoming,-6.4
2020,86,Fresno State,-6.6
2020,87,Southern Mississippi,-6.7
2020,88,Georgia Southern,-6.7
2020,89,Miami,-6.8
2020,90,Army,-6.9
2020,91,Western Kentucky,-7.7
2020,92,Ball State,-7.7
2020,93,Louisiana Monroe,-7.8
2020,94,Middle Tennessee,-8.0
2020,95,San Jose State,-8.2
2020,96,Western Michigan,-8.3
2020,97,Colorado State,-8.3
2020,98,San Diego State,-8.4
2020,99,Kent State,-8.8
2020,100,Rice,-8.9
2020,101,Arkansas State,-8.9
2020,102,Ohio,-9.0
2020,103,Georgia State,-9.0
2020,104,UNLV,-9.2
2020,105,Northern Illinois,-9.2
2020,106,South Alabama,-9.3
2020,107,Eastern Michigan,-9.3
2020,108,Buffalo,-9.6
2020,109,Troy,-10.3
2020,110,East Carolina,-10.4
2020,111,Nevada,-10.7
2020,112,North Texas,-10.7
2020,113,Central Michigan,-10.8
2020,114,Toledo,-10.9
2020,115,Louisiana Tech,-11.0
2020,116,Florida International,-11.0
2020,117,Texas State,-11.0
2020,118,Charlotte,-11.3
2020,119,New Mexico,-11.4
2020,120,UAB,-11.6
2020,121,Coastal Carolina,-12.2
2020,122,Liberty,-12.3
2020,123,Old Dominion,-12.8
2020,124,Connecticut,-13.4
2020,125,UTSA,-13.8
2020,126,New Mexico State,-14.0
2020,127,Bowling Green,-17.4
2020,128,UTEP,-17.5
2020,129,Akron,-18.7
2020,130,UMass,-23.0
2021,1,Ohio State,18.2
2021,2,Alabama,17.0
2021,3,Clemson,13.3
2021,4,Georgia,12.8
2021,5,Florida,12.1
2021,6,Oklahoma,12.1
2021,7,Notre Dame,11.9
2021,8,Texas A&M,11.2
2021,9,Iowa State,11.1
2021,10,Arkansas,10.5
2021,11,Auburn,10.4
2021,12,Wisconsin,10.1
2021,13,Oklahoma State,9.4
2021,14,Indiana,9.2
2021,15,Texas,9.0
2021,16,Northwestern,8.8
2021,17,LSU,8.6
2021,18,Michigan State,8.5
2021,19,Ole Miss,7.9
2021,20,Mississippi State,7.6
2021,21,Baylor,7.6
2021,22,Tennessee,7.6
2021,23,Iowa,7.5
2021,24,Nebraska,7.4
2021,25,TCU,7.2
2021,26,Penn State,7.1
2021,27,Miami,7.0
2021,28,Kentucky,6.8
2021,29,Oregon,6.8
2021,30,Maryland,6.6
2021,31,Michigan,6.6
2021,32,Wake Forest,6.5
2021,33,Wash State,6.4
2021,34,Illinois,6.4
2021,35,Virginia Tech,6.1
2021,36,South Carolina,6.0
2021,37,USC,5.8
2021,38,Missouri,5.7
2021,39,North Carolina,5.6
2021,40,Kansas State,5.5
2021,41,Minnesota,5.5
2021,42,Kansas,5.3
2021,43,Arizona State,5.1
2021,44,Virginia,4.5
2021,45,UCLA,4.5
2021,46,Stanford,4.5
2021,47,California,4.2
2021,48,West Virginia,4.2
2021,49,Purdue,4.1
2021,50,Cincinnati,4.0
2021,51,Pittsburgh,3.7
2021,52,Texas Tech,3.5
2021,53,Tulsa,3.4
2021,54,Rutgers,3.4
2021,55,Oregon State,3.3
2021,56,Arizona,3.3
2021,57,Boston College,3.3
2021,58,Vanderbilt,3.3
2021,59,Louisville,3.0
2021,60,UCF,2.7
2021,61,Utah,2.4
2021,62,NC State,2.1
2021,63,Colorado,1.9
2021,64,Syracuse,1.8
2021,65,Georgia Tech,1.8
2021,66,Houston,1.1
2021,67,BYU,0.7
2021,68,Duke,0.0
2021,69,Florida State,-0.1
2021,70,Boise State,-1.1
2021,71,Navy,-1.2
2021,72,Louisiana,-1.7
2021,73,Washington,-1.9
2021,74,Coastal Carolina,-2.3
2021,75,East Carolina,-2.4
2021,76,Tulane,-2.7
2021,77,Colorado State,-2.9
2021,78,South Florida,-4.0
2021,79,Memphis,-4.1
2021,80,SMU,-4.1
2021,81,San Jose State,-4.3
2021,82,Ball State,-4.4
2021,83,UAB,-4.8
2021,84,Air Force,-4.9
2021,85,San Diego State,-5.0
2021,86,Temple,-5.0
2021,87,Northern Illinois,-5.3
2021,88,App State,-5.7
2021,89,Texas State,-6.0
2021,90,Georgia State,-6.1
2021,91,Miami,-6.2
2021,92,UMass,-6.3
2021,93,Hawaii,-6.4
2021,94,Central Michigan,-6.7
2021,95,Army,-7.0
2021,96,New Mexico,-7.3
2021,97,UNLV,-7.4
2021,98,Eastern Michigan,-7.4
2021,99,Wyoming,-7.6
2021,100,Troy,-7.6
2021,101,Arkansas State,-7.7
2021,102,Buffalo,-7.7
2021,103,Utah State,-7.9
2021,104,Nevada,-8.2
2021,105,Marshall,-8.3
2021,106,Georgia Southern,-8.3
2021,107,Liberty,-8.4
2021,108,South Alabama,-8.4
2021,109,Western Kentucky,-8.7
2021,110,Toledo,-8.9
2021,111,Western Michigan,-9.4
2021,112,Rice,-9.6
2021,113,Louisiana Tech,-9.9
2021,114,Middle Tennessee,-10.2
2021,115,UTSA,-10.7
2021,116,Florida Atlantic,-11.4
2021,117,Charlotte,-12.0
2021,118,Louisiana Monroe,-12.0
2021,119,Southern Mississippi,-12.7
2021,120,Fresno State,-12.7
2021,121,North Texas,-15.0
2021,122,Kent State,-15.0
2021,123,Florida International,-15.1
2021,124,Ohio,-16.7
2021,125,Akron,-17.9
2021,126,Bowling Green,-18.0
2021,127,UTEP,-20.2
2022,1,Georgia,15.7
2022,2,Alabama,15.3
2022,3,Michigan,12.4
2022,4,Ohio State,11.2
2022,5,Auburn,9.4
2022,6,Nebraska,9.3
2022,7,Oklahoma State,8.9
2022,8,Arkansas,8.8
2022,9,Penn State,8.7
2022,10,Wisconsin,8.6
2022,11,Clemson,8.1
2022,12,Ole Miss,8.0
2022,13,Purdue,8.0
2022,14,Iowa State,8.0
2022,15,Michigan State,7.6
2022,16,Oklahoma,7.4
2022,17,Baylor,7.3
2022,18,Texas,7.2
2022,19,LSU,7.0
2022,20,Iowa,6.9
2022,21,Notre Dame,6.9
2022,22,Tennessee,6.2
2022,23,Texas A&M,6.0
2022,24,Indiana,5.4
2022,25,Utah,5.4
2022,26,Mississippi State,5.4
2022,27,West Virginia,5.3
2022,28,Minnesota,5.1
2022,29,Cincinnati,5.1
2022,30,Oregon,5.0
2022,31,Kansas State,5.0
2022,32,Miami,4.6
2022,33,Florida,4.3
2022,34,Florida State,4.2
2022,35,NC State,4.0
2022,36,Wake Forest,3.9
2022,37,Texas Tech,3.9
2022,38,Maryland,3.8
2022,39,Pittsburgh,3.7
2022,40,TCU,3.7
2022,41,Illinois,3.6
2022,42,Louisville,3.5
2022,43,Kentucky,3.3
2022,44,South Carolina,3.2
2022,45,Virginia,3.2
2022,46,Stanford,3.0
2022,47,North Carolina,3.0
2022,48,UCLA,2.1
2022,49,Arizona State,2.0
2022,50,USC,1.9
2022,51,Rutgers,1.5
2022,52,Colorado,1.4
2022,53,Oregon State,1.3
2022,54,BYU,1.2
2022,55,Syracuse,1.2
2022,56,Missouri,0.9
2022,57,Tulane,0.9
2022,58,Boise State,0.6
2022,59,Navy,0.5
2022,60,Wash State,0.5
2022,61,Georgia Tech,0.4
2022,62,Virginia Tech,0.3
2022,63,Washington,-0.3
2022,64,California,-0.6
2022,65,Arizona,-0.9
2022,66,Northwestern,-1.0
2022,67,Houston,-1.2
2022,68,East Carolina,-1.4
2022,69,SMU,-1.4
2022,70,UCF,-1.4
2022,71,App State,-1.7
2022,72,Boston College,-1.7
2022,73,Tulsa,-2.0
2022,74,Army,-2.0
2022,75,South Florida,-2.5
2022,76,Western Kentucky,-3.1
2022,77,Kansas,-3.3
2022,78,Nevada,-3.6
2022,79,UAB,-3.7
2022,80,Memphis,-3.8
2022,81,Air Force,-4.1
2022,82,Louisiana,-4.2
2022,83,Liberty,-4.2
2022,84,Fresno State,-4.8
2022,85,Marshall,-4.9
2022,86,San Diego State,-5.4
2022,87,Georgia State,-5.4
2022,88,Western Michigan,-5.5
2022,89,UTSA,-5.8
2022,90,Utah State,-6.3
2022,91,Central Michigan,-6.5
2022,92,Vanderbilt,-6.7
2022,93,Colorado State,-7.1
2022,94,Ball State,-7.2
2022,95,Miami,-7.5
2022,96,Northern Illinois,-7.5
2022,97,Duke,-8.0
2022,98,UNLV,-8.1
2022,99,Middle Tennessee,-8.5
2022,100,Georgia Southern,-8.6
2022,101,Florida Atlantic,-8.6
2022,102,Troy,-8.7
2022,103,Toledo,-8.8
2022,104,North Texas,-8.9
2022,105,Kent State,-9.0
2022,106,San Jose State,-9.3
2022,107,Wyoming,-9.3
2022,108,Hawaii,-9.3
2022,109,Old Dominion,-9.4
2022,110,Louisiana Tech,-9.6
2022,111,Eastern Michigan,-9.6
2022,112,Louisiana Monroe,-9.8
2022,113,Arkansas State,-10.2
2022,114,Coastal Carolina,-10.2
2022,115,Rice,-10.3
2022,116,Buffalo,-10.8
2022,117,Ohio,-10.9
2022,118,South Alabama,-11.5
2022,119,Temple,-12.0
2022,120,UTEP,-12.3
2022,121,New Mexico,-12.6
2022,122,Bowling Green,-12.7
2022,123,Charlotte,-12.9
2022,124,Texas State,-13.2
2022,125,Southern Mississippi,-13.4
2022,126,Akron,-15.9
2022,127,Florida International,-16.0
2022,128,New Mexico State,-16.2
2022,129,Connecticut,-16.6
2022,130,UMass,-19.1
2023,1,Georgia,15.6
2023,2,Alabama,14.8
2023,3,Ohio State,14.7
2023,4,Tennessee,14.3
2023,5,LSU,12.8
2023,6,TCU,12.3
2023,7,Kansas State,12.0
2023,8,Texas,11.8
2023,9,Michigan,10.8
2023,10,Penn State,10.7
2023,11,Mississippi State,10.3
2023,12,Texas Tech,9.3
2023,13,Oklahoma,8.9
2023,14,Florida,8.9
2023,15,Auburn,8.5
2023,16,Kansas,8.3
2023,17,Utah,8.3
2023,18,Iowa State,8.0
2023,19,Baylor,7.9
2023,20,West Virginia,7.8
2023,21,Clemson,7.6
2023,22,Oklahoma State,7.5
2023,23,Arkansas,7.4
2023,24,Florida State,7.3
2023,25,Ole Miss,7.2
2023,26,Michigan State,7.1
2023,27,Oregon,7.0
2023,28,South Carolina,6.9
2023,29,Texas A&M,6.6
2023,30,Louisville,6.6
2023,31,USC,6.6
2023,32,Kentucky,6.3
2023,33,Notre Dame,6.3
2023,34,Purdue,6.2
2023,35,Iowa,5.9
2023,36,Maryland,5.6
2023,37,Wisconsin,5.5
2023,38,Oregon State,5.5
2023,39,Illinois,5.0
2023,40,Syracuse,4.9
2023,41,NC State,4.8
2023,42,Missouri,4.6
2023,43,Minnesota,4.3
2023,44,Washington,4.2
2023,45,Indiana,4.0
2023,46,Wake Forest,4.0
2023,47,Stanford,3.7
2023,48,Wash State,3.7
2023,49,North Carolina,3.6
2023,50,Colorado,3.3
2023,51,Tulane,3.3
2023,52,Pittsburgh,3.0
2023,53,Northwestern,2.6
2023,54,UCLA,2.6
2023,55,Georgia Tech,2.4
2023,56,SMU,2.3
2023,57,Nebraska,2.0
2023,58,UCF,1.9
2023,59,Vanderbilt,1.3
2023,60,Arizona,1.3
2023,61,Arizona State,0.8
2023,62,Houston,0.7
2023,63,Cincinnati,0.5
2023,64,Navy,0.4
2023,65,BYU,0.4
2023,66,California,0.4
2023,67,Rutgers,0.4
2023,68,Miami,-0.1
2023,69,Virginia,-0.3
2023,70,Memphis,-0.4
2023,71,East Carolina,-0.6
2023,72,Boston College,-0.7
2023,73,Duke,-0.7
2023,74,South Florida,-1.2
2023,75,Virginia Tech,-2.4
2023,76,Troy,-3.1
2023,77,Tulsa,-3.1
2023,78,App State,-3.5
2023,79,Fresno State,-3.5
2023,80,Georgia State,-3.7
2023,81,Old Dominion,-3.7
2023,82,UTSA,-3.9
2023,83,James Madison,-3.9
2023,84,Marshall,-4.2
2023,85,Georgia Southern,-4.5
2023,86,Boise State,-4.8
2023,87,Coastal Carolina,-5.1
2023,88,Western Kentucky,-5.2
2023,89,Louisiana,-5.6
2023,90,North Texas,-5.7
2023,91,UAB,-5.8
2023,92,Kent State,-6.1
2023,93,South Alabama,-6.3
2023,94,Temple,-6.5
2023,95,Army,-6.8
2023,96,Liberty,-6.9
2023,97,Southern Mississippi,-7.0
2023,98,Louisiana Monroe,-7.1
2023,99,Air Force,-7.2
2023,100,San Diego State,-7.6
2023,101,Ohio,-7.9
2023,102,Florida Atlantic,-7.9
2023,103,Wyoming,-8.2
2023,104,Arkansas State,-8.4
2023,105,Toledo,-8.4
2023,106,Rice,-8.7
2023,107,Miami,-8.7
2023,108,Western Michigan,-9.0
2023,109,Bowling Green,-9.0
2023,110,Central Michigan,-9.0
2023,111,Buffalo,-9.2
2023,112,Middle Tennessee,-9.2
2023,113,Utah State,-9.3
2023,114,Ball State,-9.6
2023,115,Connecticut,-9.7
2023,116,Northern Illinois,-9.7
2023,117,UNLV,-9.7
2023,118,Texas State,-9.8
2023,119,Akron,-9.9
2023,120,Eastern Michigan,-10.5
2023,121,San Jose State,-10.7
2023,122,Nevada,-11.2
2023,123,UTEP,-11.2
2023,124,Louisiana Tech,-11.3
2023,125,Colorado State,-11.6
2023,126,New Mexico,-11.8
2023,127,Charlotte,-11.8
2023,128,Hawaii,-12.6
2023,129,UMass,-12.7
2023,130,Florida International,-15.2
2023,131,New Mexico State,-16.1
2024,1,Alabama,15.2
2024,2,Ohio State,13.5
2024,3,Michigan,13.4
2024,4,Georgia,12.7
2024,5,Washington,12.5
2024,6,Texas,11.7
2024,7,LSU,11.7
2024,8,Missouri,11.4
2024,9,Penn State,11.3
2024,10,Ole Miss,11.3
2024,11,Notre Dame,9.7
2024,12,Oregon,9.5
2024,13,Tennessee,9.5
2024,14,Kansas State,9.2
2024,15,Florida State,9.2
2024,16,Texas A&M,9.0
2024,17,Oklahoma,8.5
2024,18,USC,8.4
2024,19,Florida,8.3
2024,20,Oregon State,7.8
2024,21,Clemson,7.3
2024,22,Auburn,6.9
2024,23,South Carolina,6.9
2024,24,Kentucky,6.8
2024,25,Utah,6.7
2024,26,TCU,6.7
2024,27,Arizona,6.2
2024,28,Louisville,6.2
2024,29,Texas Tech,6.2
2024,30,Iowa State,5.9
2024,31,Oklahoma State,5.8
2024,32,Kansas,5.4
2024,33,Duke,5.3
2024,34,NC State,5.1
2024,35,Maryland,5.0
2024,36,Miami,4.7
2024,37,Rutgers,4.6
2024,38,California,4.5
2024,39,Mississippi State,4.4
2024,40,West Virginia,4.4
2024,41,Georgia Tech,3.8
2024,42,Arkansas,3.8
2024,43,UCF,3.8
2024,44,Colorado,3.7
2024,45,Wash State,3.7
2024,46,Iowa,3.6
2024,47,Wisconsin,3.2
2024,48,BYU,3.1
2024,49,North Carolina,3.1
2024,50,Virginia,3.0
2024,51,UCLA,2.7
2024,52,Purdue,2.6
2024,53,Illinois,2.5
2024,54,Arizona State,2.4
2024,55,Pittsburgh,2.3
2024,56,Northwestern,2.3
2024,57,Houston,2.2
2024,58,Baylor,1.9
2024,59,Michigan State,1.8
2024,60,Indiana,1.4
2024,61,Wake Forest,1.4
2024,62,Vanderbilt,1.3
2024,63,Minnesota,1.2
2024,64,Virginia Tech,1.2
2024,65,Stanford,1.0
2024,66,Nebraska,0.8
2024,67,Cincinnati,0.6
2024,68,SMU,0.2
2024,69,Boise State,-0.7
2024,70,Boston College,-1.1
2024,71,Troy,-1.5
2024,72,Tulane,-1.8
2024,73,Syracuse,-1.8
2024,74,Memphis,-2.3
2024,75,San Jose State,-2.6
2024,76,James Madison,-3.3
2024,77,Marshall,-3.9
2024,78,South Alabama,-4.1
2024,79,Wyoming,-4.2
2024,80,UTSA,-4.3
2024,81,App State,-4.5
2024,82,Coastal Carolina,-4.6
2024,83,UNLV,-4.7
2024,84,East Carolina,-5.3
2024,85,Old Dominion,-5.3
2024,86,Air Force,-5.4
2024,87,Georgia State,-5.7
2024,88,Rice,-5.8
2024,89,Florida Atlantic,-5.9
2024,90,Bowling Green,-6.5
2024,91,UAB,-6.6
2024,92,Liberty,-6.7
2024,93,Army,-6.8
2024,94,Fresno State,-6.9
2024,95,South Florida,-6.9
2024,96,San Diego State,-7.0
2024,97,Southern Mississippi,-7.0
2024,98,Texas State,-7.1
2024,99,Western Kentucky,-7.1
2024,100,Georgia Southern,-7.2
2024,101,Arkansas State,-7.4
2024,102,Miami,-7.4
2024,103,Navy,-7.4
2024,104,Charlotte,-7.4
2024,105,North Texas,-7.5
2024,106,Utah State,-7.6
2024,107,Toledo,-7.6
2024,108,Louisiana,-7.7
2024,109,Tulsa,-7.8
2024,110,Louisiana Monroe,-7.9
2024,111,Colorado State,-7.9
2024,112,Jacksonville State,-8.2
2024,113,Middle Tennessee,-8.4
2024,114,Western Michigan,-8.5
2024,115,Connecticut,-8.7
2024,116,New Mexico State,-9.0
2024,117,UTEP,-9.0
2024,118,Sam Houston State,-9.2
2024,119,Ohio,-9.4
2024,120,Temple,-9.4
2024,121,Nevada,-9.4
2024,122,Louisiana Tech,-9.8
2024,123,Hawaii,-9.9
2024,124,Central Michigan,-10.0
2024,125,Buffalo,-10.1
2024,126,Ball State,-10.2
2024,127,New Mexico,-10.6
2024,128,UMass,-10.7
2024,129,Florida International,-11.3
2024,130,Northern Illinois,-11.4
2024,131,Eastern Michigan,-13.3
2024,132,Akron,-13.3
2024,133,Kent State,-13.9
