team,team_id,year,conference,games_played,expected_wins,wins,losses,home_wins,home_losses,away_wins,away_losses
Illinois,356,2001,Big Ten,12,0.0,10,2,6,1,4,1
Indiana,84,2001,Big Ten,11,0.0,5,6,3,3,2,3
Iowa,2294,2001,Big Ten,12,0.0,7,5,5,1,2,4
Iowa State,66,2001,Big 12,12,0.0,7,5,4,3,3,2
Kansas,2305,2001,Big 12,11,0.0,3,8,2,5,1,3
Kansas State,2306,2001,Big 12,12,0.0,6,6,4,3,2,3
Kent State,2309,2001,Mid-American,11,0.0,6,5,4,1,2,4
Kentucky,96,2001,SEC,11,0.0,2,9,1,5,1,4
Louisiana,309,2001,Sun Belt,11,0.0,3,8,2,3,1,5
Louisiana Monroe,2433,2001,Sun Belt,11,0.0,2,9,1,4,1,5
Louisiana Tech,2348,2001,Western Athletic,12,0.0,7,5,4,1,3,4
Louisville,97,2001,Conference USA,13,0.0,11,2,6,0,5,2
LSU,99,2001,SEC,13,0.0,10,3,6,2,4,1
Marshall,276,2001,Mid-American,13,0.0,11,2,7,0,4,2
Maryland,120,2001,ACC,12,0.0,10,2,7,0,3,2
Memphis,235,2001,Conference USA,11,0.0,5,6,4,2,1,4
Miami,2390,2001,Big East,12,0.0,12,0,7,0,5,0
Miami (OH),193,2001,Mid-American,12,0.0,7,5,4,1,3,4
Michigan,130,2001,Big Ten,12,0.0,8,4,5,1,3,3
Michigan State,127,2001,Big Ten,12,0.0,7,5,4,2,3,3
Middle Tennessee,2393,2001,Sun Belt,11,0.0,8,3,5,0,3,3
Minnesota,135,2001,Big Ten,11,0.0,4,7,4,2,0,5
Mississippi State,344,2001,SEC,11,0.0,3,8,3,4,0,4
Missouri,142,2001,Big 12,11,0.0,4,7,2,4,2,3
Navy,2426,2001,FBS Independents,10,0.0,0,10,0,6,0,4
NC State,152,2001,ACC,12,0.0,7,5,3,4,4,1
Nebraska,158,2001,Big 12,13,0.0,11,2,8,0,3,2
Nevada,2440,2001,Western Athletic,11,0.0,3,8,2,3,1,5
New Mexico,167,2001,Mountain West,11,0.0,6,5,4,2,2,3
New Mexico State,166,2001,Sun Belt,12,0.0,5,7,2,2,3,5
North Carolina,153,2001,ACC,13,0.0,8,5,5,1,3,4
Northern Illinois,2459,2001,Mid-American,11,0.0,6,5,5,1,1,4
North Texas,249,2001,Sun Belt,12,0.0,5,7,3,2,2,5
Northwestern,77,2001,Big Ten,11,0.0,4,7,2,3,2,4
Notre Dame,87,2001,FBS Independents,11,0.0,5,6,4,2,1,4
Ohio,195,2001,Mid-American,11,0.0,1,10,0,5,1,5
Ohio State,194,2001,Big Ten,12,0.0,7,5,4,2,3,3
Oklahoma,201,2001,Big 12,13,0.0,11,2,7,1,4,1
Oklahoma State,197,2001,Big 12,11,0.0,4,7,2,4,2,3
Ole Miss,145,2001,SEC,11,0.0,7,4,4,2,3,2
Oregon,2483,2001,Pac-10,12,0.0,11,1,6,1,5,0
Oregon State,204,2001,Pac-10,11,0.0,5,6,4,1,1,5
Penn State,213,2001,Big Ten,11,0.0,5,6,3,3,2,3
Pittsburgh,221,2001,Big East,12,0.0,7,5,3,3,4,2
Purdue,2509,2001,Big Ten,12,0.0,6,6,4,2,2,4
Rice,242,2001,Western Athletic,12,0.0,8,4,5,0,3,4
Rutgers,164,2001,Big East,11,0.0,2,9,1,6,1,3
San Diego State,21,2001,Mountain West,11,0.0,3,8,2,4,1,4
San José State,23,2001,Western Athletic,12,0.0,3,9,2,2,1,7
SMU,2567,2001,Western Athletic,11,0.0,4,7,2,4,2,3
South Carolina,2579,2001,SEC,12,0.0,9,3,7,1,2,2
Southern Mississippi,2572,2001,Conference USA,11,0.0,6,5,4,1,2,4
South Florida,58,2001,FBS Independents,11,0.0,8,3,7,0,1,3
Stanford,24,2001,Pac-10,12,0.0,9,3,5,2,4,1
Syracuse,183,2001,Big East,13,0.0,10,3,6,1,4,2
TCU,2628,2001,Conference USA,12,0.0,6,6,2,2,4,4
Temple,218,2001,Big East,11,0.0,4,7,3,3,1,4
Tennessee,2633,2001,SEC,13,0.0,11,2,6,1,5,1
Texas,251,2001,Big 12,13,0.0,11,2,6,2,5,0
Texas A&M,245,2001,Big 12,12,0.0,8,4,6,1,2,3
Texas Tech,2641,2001,Big 12,12,0.0,7,5,4,3,3,2
Toledo,2649,2001,Mid-American,12,0.0,10,2,7,0,3,2
Troy,2653,2001,FBS Independents,11,0.0,7,4,5,0,2,4
Tulane,2655,2001,Conference USA,12,0.0,3,9,2,3,1,6
Tulsa,202,2001,Western Athletic,11,0.0,1,10,1,5,0,5
UAB,5,2001,Conference USA,11,0.0,6,5,4,1,2,4
UCF,2116,2001,FBS Independents,11,0.0,6,5,5,0,1,5
UCLA,26,2001,Pac-10,11,0.0,7,4,4,1,3,3
UNLV,2439,2001,Mountain West,11,0.0,4,7,1,4,3,3
USC,30,2001,Pac-10,12,0.0,6,6,4,2,2,4
Utah,254,2001,Mountain West,12,0.0,8,4,6,0,2,4
Utah State,328,2001,FBS Independents,11,0.0,4,7,3,2,1,5
UTEP,2638,2001,Western Athletic,11,0.0,2,9,2,3,0,6
Vanderbilt,238,2001,SEC,11,0.0,2,9,1,5,1,4
Virginia,258,2001,ACC,12,0.0,5,7,4,3,1,4
Virginia Tech,259,2001,Big East,12,0.0,8,4,4,3,4,1
Wake Forest,154,2001,ACC,11,0.0,6,5,2,4,4,1
Washington,264,2001,Pac-10,12,0.0,8,4,6,0,2,4
Washington State,265,2001,Pac-10,12,0.0,10,2,6,1,4,1
Western Michigan,2711,2001,Mid-American,11,0.0,5,6,4,1,1,5
West Virginia,277,2001,Big East,11,0.0,3,8,3,3,0,5
Wisconsin,275,2001,Big Ten,12,0.0,5,7,3,4,2,3
Wyoming,2751,2001,Mountain West,11,0.0,2,9,1,5,1,4
Air Force,2005,2002,Mountain West,13,0.0,8,5,4,3,4,2
Akron,2006,2002,Mid-American,12,0.0,4,8,3,2,1,6
Alabama,333,2002,SEC,13,0.0,10,3,5,2,5,1
Arizona,12,2002,Pac-10,12,0.0,4,8,3,4,1,4
Arizona State,9,2002,Pac-10,14,0.0,8,6,5,3,3,3
Arkansas,8,2002,SEC,14,0.0,9,5,6,3,3,2
Arkansas State,2032,2002,Sun Belt,13,0.0,6,7,4,3,2,4
Army,349,2002,Conference USA,12,0.0,1,11,0,6,1,5
Auburn,2,2002,SEC,13,0.0,9,4,6,2,3,2
Ball State,2050,2002,Mid-American,12,0.0,6,6,4,1,2,5
Baylor,239,2002,Big 12,12,0.0,3,9,3,3,0,6
Boise State,68,2002,Western Athletic,13,0.0,12,1,7,0,5,1
Boston College,103,2002,Big East,13,0.0,9,4,6,1,3,3
Bowling Green,189,2002,Mid-American,12,0.0,9,3,6,0,3,3
Buffalo,2084,2002,Mid-American,12,0.0,1,11,0,6,1,5
BYU,252,2002,Mountain West,12,0.0,5,7,4,2,1,5
California,25,2002,Pac-10,12,0.0,7,5,4,3,3,2
Central Michigan,2117,2002,Mid-American,12,0.0,4,8,2,4,2,4
Cincinnati,2132,2002,Conference USA,14,0.0,7,7,4,4,3,3
Clemson,228,2002,ACC,13,0.0,7,6,5,2,2,4
Colorado,38,2002,Big 12,14,0.0,9,5,5,3,4,2
Colorado State,36,2002,Mountain West,14,0.0,10,4,4,2,6,2
Connecticut,41,2002,FBS Independents,12,0.0,6,6,3,3,3,3
Duke,150,2002,ACC,12,0.0,2,10,1,5,1,5
East Carolina,151,2002,Conference USA,12,0.0,4,8,3,2,1,6
Eastern Michigan,2199,2002,Mid-American,12,0.0,3,9,3,3,0,6
Florida,57,2002,SEC,13,0.0,8,5,5,3,3,2
Florida State,52,2002,ACC,14,0.0,9,5,5,2,4,3
Fresno State,278,2002,Western Athletic,14,0.0,9,5,6,1,3,4
Georgia,61,2002,SEC,14,0.0,13,1,7,1,6,0
Georgia Tech,59,2002,ACC,13,0.0,7,6,4,2,3,4
Hawai'i,62,2002,Western Athletic,14,0.0,10,4,7,2,3,2
Houston,248,2002,Conference USA,12,0.0,5,7,3,3,2,4
Illinois,356,2002,Big Ten,12,0.0,5,7,3,4,2,3
Indiana,84,2002,Big Ten,12,0.0,3,9,3,3,0,6
Iowa,2294,2002,Big Ten,13,0.0,11,2,6,1,5,1
Iowa State,66,2002,Big 12,14,0.0,7,7,6,2,1,5
Kansas,2305,2002,Big 12,12,0.0,2,10,1,5,1,5
Kansas State,2306,2002,Big 12,13,0.0,11,2,7,1,4,1
Kent State,2309,2002,Mid-American,12,0.0,3,9,2,4,1,5
Kentucky,96,2002,SEC,12,0.0,7,5,4,3,3,2
Louisiana,309,2002,Sun Belt,12,0.0,3,9,3,2,0,7
Louisiana Monroe,2433,2002,Sun Belt,12,0.0,3,9,3,3,0,6
Louisiana Tech,2348,2002,Western Athletic,12,0.0,4,8,4,1,0,7
Louisville,97,2002,Conference USA,13,0.0,7,6,3,3,4,3
LSU,99,2002,SEC,13,0.0,8,5,6,2,2,3
Marshall,276,2002,Mid-American,13,0.0,11,2,8,0,3,2
Maryland,120,2002,ACC,14,0.0,11,3,6,2,5,1
Memphis,235,2002,Conference USA,12,0.0,3,9,3,3,0,6
Miami,2390,2002,Big East,13,0.0,12,1,6,0,6,0
Miami (OH),193,2002,Mid-American,12,0.0,7,5,2,3,5,2
Michigan,130,2002,Big Ten,13,0.0,10,3,6,1,4,2
Michigan State,127,2002,Big Ten,12,0.0,4,8,3,5,1,3
Middle Tennessee,2393,2002,Sun Belt,12,0.0,4,8,3,2,1,6
Minnesota,135,2002,Big Ten,13,0.0,8,5,6,2,2,3
Mississippi State,344,2002,SEC,12,0.0,3,9,2,4,1,5
Missouri,142,2002,Big 12,12,0.0,5,7,3,3,2,4
Navy,2426,2002,FBS Independents,12,0.0,2,10,1,6,1,4
NC State,152,2002,ACC,14,0.0,11,3,6,1,5,2
Nebraska,158,2002,Big 12,14,0.0,7,7,6,2,1,5
Nevada,2440,2002,Western Athletic,12,0.0,5,7,4,2,1,5
New Mexico,167,2002,Mountain West,14,0.0,7,7,5,2,2,5
New Mexico State,166,2002,Sun Belt,12,0.0,7,5,5,0,2,5
North Carolina,153,2002,ACC,12,0.0,3,9,0,6,3,3
Northern Illinois,2459,2002,Mid-American,12,0.0,8,4,4,2,4,2
North Texas,249,2002,Sun Belt,13,0.0,8,5,4,1,4,4
Northwestern,77,2002,Big Ten,12,0.0,3,9,2,4,1,5
Notre Dame,87,2002,FBS Independents,13,0.0,10,3,5,2,5,1
Ohio,195,2002,Mid-American,12,0.0,4,8,3,2,1,6
Ohio State,194,2002,Big Ten,14,0.0,14,0,8,0,5,0
Oklahoma,201,2002,Big 12,14,0.0,12,2,7,0,5,2
Oklahoma State,197,2002,Big 12,13,0.0,8,5,7,1,1,4
Ole Miss,145,2002,SEC,13,0.0,7,6,7,1,0,5
Oregon,2483,2002,Pac-10,13,0.0,7,6,5,3,2,3
Oregon State,204,2002,Pac-10,13,0.0,8,5,6,2,2,3
Penn State,213,2002,Big Ten,13,0.0,9,4,7,1,2,3
Pittsburgh,221,2002,Big East,13,0.0,9,4,5,2,4,2
Purdue,2509,2002,Big Ten,13,0.0,7,6,4,3,3,3
Rice,242,2002,Western Athletic,11,0.0,4,7,2,3,2,4
Rutgers,164,2002,Big East,12,0.0,1,11,1,5,0,6
San Diego State,21,2002,Mountain West,13,0.0,4,9,2,3,2,6
San José State,23,2002,Western Athletic,13,0.0,6,7,2,2,4,5
SMU,2567,2002,Western Athletic,12,0.0,3,9,2,4,1,5
South Carolina,2579,2002,SEC,12,0.0,5,7,3,3,2,4
Southern Mississippi,2572,2002,Conference USA,13,0.0,7,6,5,1,2,5
South Florida,58,2002,FBS Independents,11,0.0,9,2,6,0,3,2
Stanford,24,2002,Pac-10,11,0.0,2,9,2,3,0,6
Syracuse,183,2002,Big East,12,0.0,4,8,3,3,1,5
TCU,2628,2002,Conference USA,12,0.0,10,2,6,0,4,2
Temple,218,2002,Big East,12,0.0,4,8,2,5,2,3
Tennessee,2633,2002,SEC,13,0.0,8,5,5,4,3,1
Texas,251,2002,Big 12,13,0.0,11,2,6,0,5,2
Texas A&M,245,2002,Big 12,12,0.0,6,6,3,4,3,2
Texas Tech,2641,2002,Big 12,14,0.0,9,5,6,1,3,4
Toledo,2649,2002,Mid-American,14,0.0,9,5,5,2,4,3
Troy,2653,2002,FBS Independents,12,0.0,4,8,4,1,0,7
Tulane,2655,2002,Conference USA,13,0.0,8,5,5,2,3,3
Tulsa,202,2002,Western Athletic,12,0.0,1,11,1,5,0,6
UAB,5,2002,Conference USA,12,0.0,5,7,4,2,1,5
UCF,2116,2002,Mid-American,12,0.0,7,5,4,2,3,3
UCLA,26,2002,Pac-10,13,0.0,8,5,2,4,6,1
UNLV,2439,2002,Mountain West,12,0.0,5,7,3,3,2,4
USC,30,2002,Pac-10,13,0.0,11,2,7,0,4,2
Utah,254,2002,Mountain West,11,0.0,5,6,3,2,2,4
Utah State,328,2002,FBS Independents,11,0.0,4,7,3,2,1,5
UTEP,2638,2002,Western Athletic,12,0.0,2,10,2,3,0,7
Vanderbilt,238,2002,SEC,12,0.0,2,10,2,5,0,5
Virginia,258,2002,ACC,14,0.0,9,5,7,1,2,4
Virginia Tech,259,2002,Big East,14,0.0,10,4,7,2,3,2
Wake Forest,154,2002,ACC,13,0.0,7,6,5,2,2,4
Washington,264,2002,Pac-10,13,0.0,7,6,5,3,2,3
Washington State,265,2002,Pac-10,13,0.0,10,3,6,2,4,1
Western Michigan,2711,2002,Mid-American,12,0.0,4,8,2,4,2,4
West Virginia,277,2002,Big East,13,0.0,9,4,4,2,5,2
Wisconsin,275,2002,Big Ten,14,0.0,8,6,6,3,2,3
Wyoming,2751,2002,Mountain West,12,0.0,2,10,2,3,0,7
Air Force,2005,2003,Mountain West,12,0.0,7,5,5,1,2,4
Akron,2006,2003,Mid-American,12,0.0,7,5,3,1,2,4
Alabama,333,2003,SEC,13,0.0,4,9,3,5,1,4
Arizona,12,2003,Pac-10,12,0.0,2,10,2,5,0,5
Arizona State,9,2003,Pac-10,12,0.0,5,7,4,2,1,5
Arkansas,8,2003,SEC,13,0.0,9,4,6,2,3,2
Arkansas State,2032,2003,Sun Belt,12,0.0,5,7,2,1,1,6
Army,349,2003,Conference USA,13,0.0,0,13,0,6,0,7
Auburn,2,2003,SEC,13,0.0,8,5,6,2,2,3
Ball State,2050,2003,Mid-American,12,0.0,4,8,3,3,1,5
Baylor,239,2003,Big 12,12,0.0,3,9,2,4,0,5
Boise State,68,2003,Western Athletic,14,0.0,13,1,7,0,6,1
Boston College,103,2003,Big East,13,0.0,8,5,2,4,6,1
Bowling Green,189,2003,Mid-American,14,0.0,11,3,7,1,4,2
Buffalo,2084,2003,Mid-American,12,0.0,1,11,1,5,0,6
BYU,252,2003,Mountain West,12,0.0,4,8,1,5,3,3
California,25,2003,Pac-10,14,0.0,8,6,5,2,3,4
Central Michigan,2117,2003,Mid-American,12,0.0,3,9,3,3,0,6
Cincinnati,2132,2003,Conference USA,12,0.0,5,7,4,2,1,5
Clemson,228,2003,ACC,13,0.0,9,4,7,1,2,3
Colorado,38,2003,Big 12,12,0.0,5,7,3,3,2,4
Colorado State,36,2003,Mountain West,13,0.0,7,6,4,4,3,2
Connecticut,41,2003,FBS Independents,12,0.0,9,3,5,1,4,2
Duke,150,2003,ACC,12,0.0,4,8,3,4,1,4
East Carolina,151,2003,Conference USA,12,0.0,1,11,0,6,1,5
Eastern Michigan,2199,2003,Mid-American,12,0.0,3,9,3,4,0,5
Florida,57,2003,SEC,13,0.0,8,5,3,4,4,1
Florida State,52,2003,ACC,13,0.0,10,3,5,2,5,1
Fresno State,278,2003,Western Athletic,14,0.0,9,5,6,1,3,4
Georgia,61,2003,SEC,14,0.0,11,3,6,1,5,2
Georgia Tech,59,2003,ACC,13,0.0,7,6,4,2,3,4
Hawai'i,62,2003,Western Athletic,14,0.0,9,5,6,1,2,4
Houston,248,2003,Conference USA,13,0.0,7,6,3,3,4,3
Illinois,356,2003,Big Ten,12,0.0,1,11,1,5,0,6
Indiana,84,2003,Big Ten,12,0.0,2,10,2,4,0,6
Iowa,2294,2003,Big Ten,13,0.0,10,3,7,0,3,3
Iowa State,66,2003,Big 12,12,0.0,2,10,2,5,0,5
Kansas,2305,2003,Big 12,13,0.0,6,7,5,3,1,4
Kansas State,2306,2003,Big 12,15,0.0,11,4,8,1,3,3
Kent State,2309,2003,Mid-American,12,0.0,5,7,3,3,2,4
Kentucky,96,2003,SEC,12,0.0,4,8,3,4,1,4
Louisiana,309,2003,Sun Belt,12,0.0,4,8,3,3,1,5
Louisiana Monroe,2433,2003,Sun Belt,12,0.0,1,11,0,5,1,6
Louisiana Tech,2348,2003,Western Athletic,12,0.0,5,7,1,4,4,3
Louisville,97,2003,Conference USA,13,0.0,9,4,5,2,4,2
LSU,99,2003,SEC,14,0.0,13,1,7,1,6,0
Marshall,276,2003,Mid-American,12,0.0,8,4,4,1,4,3
Maryland,120,2003,ACC,13,0.0,10,3,6,0,4,3
Memphis,235,2003,Conference USA,13,0.0,9,4,5,2,4,2
Miami,2390,2003,Big East,13,0.0,11,2,6,1,5,1
Miami (OH),193,2003,Mid-American,14,0.0,13,1,5,0,8,1
Michigan,130,2003,Big Ten,13,0.0,10,3,7,0,3,3
Michigan State,127,2003,Big Ten,13,0.0,8,5,5,2,3,3
Middle Tennessee,2393,2003,Sun Belt,12,0.0,4,8,2,4,2,4
Minnesota,135,2003,Big Ten,13,0.0,10,3,6,2,4,1
Mississippi State,344,2003,SEC,12,0.0,2,10,2,4,0,6
Missouri,142,2003,Big 12,13,0.0,8,5,7,0,1,5
Navy,2426,2003,FBS Independents,13,0.0,8,5,6,1,2,4
NC State,152,2003,ACC,13,0.0,8,5,6,1,2,4
Nebraska,158,2003,Big 12,13,0.0,10,3,7,1,3,2
Nevada,2440,2003,Western Athletic,12,0.0,6,6,3,3,3,3
New Mexico,167,2003,Mountain West,13,0.0,8,5,5,3,3,2
New Mexico State,166,2003,Sun Belt,12,0.0,3,9,2,3,1,6
North Carolina,153,2003,ACC,12,0.0,2,10,1,5,1,5
Northern Illinois,2459,2003,Mid-American,12,0.0,10,2,7,0,3,2
North Texas,249,2003,Sun Belt,13,0.0,9,4,5,1,4,3
Northwestern,77,2003,Big Ten,13,0.0,6,7,2,4,4,3
Notre Dame,87,2003,FBS Independents,12,0.0,5,7,3,3,2,4
Ohio,195,2003,Mid-American,12,0.0,2,10,2,4,0,6
Ohio State,194,2003,Big Ten,13,0.0,11,2,9,0,2,2
Oklahoma,201,2003,Big 12,14,0.0,12,2,7,1,5,1
Oklahoma State,197,2003,Big 12,13,0.0,9,4,6,1,3,3
Ole Miss,145,2003,SEC,13,0.0,10,3,6,2,4,1
Oregon,2483,2003,Pac-10,13,0.0,8,5,5,1,3,4
Oregon State,204,2003,Pac-10,13,0.0,8,5,6,1,2,4
Penn State,213,2003,Big Ten,12,0.0,3,9,3,4,0,5
Pittsburgh,221,2003,Big East,13,0.0,8,5,4,2,4,3
Purdue,2509,2003,Big Ten,13,0.0,9,4,6,2,3,2
Rice,242,2003,Western Athletic,12,0.0,5,7,3,3,2,4
Rutgers,164,2003,Big East,12,0.0,5,7,3,3,2,4
San Diego State,21,2003,Mountain West,12,0.0,6,6,3,2,2,4
San José State,23,2003,Western Athletic,11,0.0,3,8,2,3,1,5
SMU,2567,2003,Western Athletic,12,0.0,0,12,0,6,0,6
South Carolina,2579,2003,SEC,12,0.0,5,7,5,3,0,4
Southern Mississippi,2572,2003,Conference USA,13,0.0,9,4,5,2,4,2
South Florida,58,2003,Conference USA,11,0.0,7,4,4,2,3,2
Stanford,24,2003,Pac-10,11,0.0,4,7,3,3,1,4
Syracuse,183,2003,Big East,12,0.0,6,6,5,2,1,4
TCU,2628,2003,Conference USA,13,0.0,11,2,6,0,5,2
Temple,218,2003,Big East,12,0.0,1,11,0,5,1,6
Tennessee,2633,2003,SEC,13,0.0,10,3,6,1,4,2
Texas,251,2003,Big 12,13,0.0,10,3,5,2,5,1
Texas A&M,245,2003,Big 12,12,0.0,4,8,4,3,0,5
Texas Tech,2641,2003,Big 12,13,0.0,8,5,6,1,2,4
Toledo,2649,2003,Mid-American,12,0.0,8,4,6,0,2,4
Troy,2653,2003,FBS Independents,12,0.0,6,6,4,0,2,6
Tulane,2655,2003,Conference USA,12,0.0,5,7,2,3,2,4
Tulsa,202,2003,Western Athletic,13,0.0,8,5,4,2,3,3
UAB,5,2003,Conference USA,12,0.0,5,7,2,3,3,4
UCF,2116,2003,Mid-American,12,0.0,3,9,2,2,0,7
UCLA,26,2003,Pac-10,13,0.0,6,7,5,1,1,6
UNLV,2439,2003,Mountain West,12,0.0,6,6,2,4,4,2
USC,30,2003,Pac-10,13,0.0,12,1,7,0,5,1
Utah,254,2003,Mountain West,12,0.0,10,2,5,1,5,1
Utah State,328,2003,Sun Belt,12,0.0,3,9,3,2,0,7
UTEP,2638,2003,Western Athletic,13,0.0,2,11,1,6,1,5
Vanderbilt,238,2003,SEC,12,0.0,2,10,2,5,0,5
Virginia,258,2003,ACC,13,0.0,8,5,6,1,2,4
Virginia Tech,259,2003,Big East,13,0.0,8,5,6,1,2,4
Wake Forest,154,2003,ACC,12,0.0,5,7,3,4,2,3
Washington,264,2003,Pac-10,12,0.0,6,6,5,2,1,4
Washington State,265,2003,Pac-10,13,0.0,10,3,6,0,4,3
Western Michigan,2711,2003,Mid-American,12,0.0,5,7,3,3,2,4
West Virginia,277,2003,Big East,13,0.0,8,5,5,3,3,2
Wisconsin,275,2003,Big Ten,13,0.0,7,6,4,3,3,3
Wyoming,2751,2003,Mountain West,12,0.0,4,8,3,3,1,5
Air Force,2005,2004,Mountain West,11,0.0,5,6,3,4,2,2
Akron,2006,2004,Mid-American,11,0.0,6,5,3,2,3,3
Alabama,333,2004,SEC,12,0.0,6,6,5,2,1,4
Arizona,12,2004,Pac-10,11,0.0,3,8,2,5,1,3
Arizona State,9,2004,Pac-10,12,0.0,9,3,6,0,3,3
Arkansas,8,2004,SEC,11,0.0,5,6,3,3,2,3
Arkansas State,2032,2004,Sun Belt,11,0.0,3,8,2,2,1,6
Army,349,2004,Conference USA,11,0.0,2,9,1,4,1,5
Auburn,2,2004,SEC,13,0.0,13,0,8,0,5,0
Ball State,2050,2004,Mid-American,11,0.0,2,9,2,3,0,6
Baylor,239,2004,Big 12,11,0.0,3,8,2,3,0,5
Boise State,68,2004,Western Athletic,12,0.0,11,1,7,0,4,1
Boston College,103,2004,Big East,12,0.0,9,3,4,1,4,2
Bowling Green,189,2004,Mid-American,12,0.0,9,3,5,0,4,3
Buffalo,2084,2004,Mid-American,11,0.0,2,9,2,3,0,6
BYU,252,2004,Mountain West,11,0.0,5,6,3,3,2,3
California,25,2004,Pac-10,12,0.0,10,2,5,1,5,1
Central Michigan,2117,2004,Mid-American,11,0.0,4,7,4,1,0,6
Cincinnati,2132,2004,Conference USA,12,0.0,7,5,5,1,2,4
Clemson,228,2004,ACC,11,0.0,6,5,5,1,1,4
Colorado,38,2004,Big 12,13,0.0,8,5,4,2,4,3
Colorado State,36,2004,Mountain West,11,0.0,4,7,2,3,1,4
Connecticut,41,2004,Big East,12,0.0,8,4,6,1,1,3
Duke,150,2004,ACC,11,0.0,2,9,2,3,0,6
East Carolina,151,2004,Conference USA,11,0.0,2,9,2,3,0,6
Eastern Michigan,2199,2004,Mid-American,11,0.0,4,7,2,4,2,3
Florida,57,2004,SEC,12,0.0,7,5,5,2,2,2
Florida State,52,2004,ACC,12,0.0,9,3,5,1,4,2
Fresno State,278,2004,Western Athletic,12,0.0,9,3,5,1,4,2
Georgia,61,2004,SEC,12,0.0,10,2,5,1,4,1
Georgia Tech,59,2004,ACC,12,0.0,7,5,4,3,3,2
Hawai'i,62,2004,Western Athletic,13,0.0,8,5,7,0,1,4
Houston,248,2004,Conference USA,11,0.0,3,8,3,2,0,6
Illinois,356,2004,Big Ten,11,0.0,3,8,3,4,0,4
Indiana,84,2004,Big Ten,11,0.0,3,8,2,3,1,5
Iowa,2294,2004,Big Ten,12,0.0,10,2,7,0,3,2
Iowa State,66,2004,Big 12,12,0.0,7,5,5,2,2,3
Kansas,2305,2004,Big 12,11,0.0,4,7,3,3,1,4
Kansas State,2306,2004,Big 12,11,0.0,4,7,3,4,1,3
Kent State,2309,2004,Mid-American,11,0.0,5,6,3,2,2,4
Kentucky,96,2004,SEC,11,0.0,2,9,2,4,0,5
Louisiana,309,2004,Sun Belt,11,0.0,4,7,3,2,1,5
Louisiana Monroe,2433,2004,Sun Belt,11,0.0,5,6,3,2,1,4
Louisiana Tech,2348,2004,Western Athletic,12,0.0,6,6,4,1,2,5
Louisville,97,2004,Conference USA,12,0.0,11,1,6,0,5,1
LSU,99,2004,SEC,12,0.0,9,3,7,0,2,3
Marshall,276,2004,Mid-American,12,0.0,6,6,4,1,2,5
Maryland,120,2004,ACC,11,0.0,5,6,4,2,1,4
Memphis,235,2004,Conference USA,12,0.0,8,4,4,2,4,2
Miami,2390,2004,ACC,12,0.0,9,3,4,2,5,1
Miami (OH),193,2004,Mid-American,13,0.0,8,5,5,1,3,4
Michigan,130,2004,Big Ten,12,0.0,9,3,6,0,3,3
Michigan State,127,2004,Big Ten,12,0.0,5,7,4,2,1,5
Middle Tennessee,2393,2004,Sun Belt,11,0.0,5,6,4,1,1,5
Minnesota,135,2004,Big Ten,12,0.0,7,5,5,1,1,4
Mississippi State,344,2004,SEC,11,0.0,3,8,3,4,0,4
Missouri,142,2004,Big 12,11,0.0,5,6,3,3,2,3
Navy,2426,2004,FBS Independents,12,0.0,10,2,8,1,2,1
NC State,152,2004,ACC,11,0.0,5,6,3,4,2,2
Nebraska,158,2004,Big 12,11,0.0,5,6,4,2,1,4
Nevada,2440,2004,Western Athletic,12,0.0,5,7,5,1,0,6
New Mexico,167,2004,Mountain West,12,0.0,7,5,3,2,4,3
New Mexico State,166,2004,Sun Belt,11,0.0,5,6,4,1,0,5
North Carolina,153,2004,ACC,12,0.0,6,6,4,2,2,3
Northern Illinois,2459,2004,Mid-American,12,0.0,9,3,4,1,4,2
North Texas,249,2004,Sun Belt,12,0.0,7,5,4,1,3,3
Northwestern,77,2004,Big Ten,12,0.0,6,6,5,1,1,5
Notre Dame,87,2004,FBS Independents,12,0.0,6,6,3,3,3,3
Ohio,195,2004,Mid-American,11,0.0,4,7,2,3,2,4
Ohio State,194,2004,Big Ten,12,0.0,8,4,6,1,2,3
Oklahoma,201,2004,Big 12,13,0.0,12,1,8,1,4,0
Oklahoma State,197,2004,Big 12,12,0.0,7,5,4,2,3,3
Ole Miss,145,2004,SEC,11,0.0,4,7,3,3,1,4
Oregon,2483,2004,Pac-10,11,0.0,5,6,3,3,2,3
Oregon State,204,2004,Pac-10,12,0.0,7,5,4,2,3,3
Penn State,213,2004,Big Ten,11,0.0,4,7,3,3,1,4
Pittsburgh,221,2004,Big East,12,0.0,8,4,5,1,3,3
Purdue,2509,2004,Big Ten,12,0.0,7,5,4,3,3,2
Rice,242,2004,Western Athletic,11,0.0,3,8,3,2,0,6
Rutgers,164,2004,Big East,11,0.0,4,7,3,2,1,4
San Diego State,21,2004,Mountain West,11,0.0,4,7,2,2,1,5
San José State,23,2004,Western Athletic,11,0.0,2,9,2,3,0,6
SMU,2567,2004,Western Athletic,11,0.0,3,8,3,2,0,6
South Carolina,2579,2004,SEC,11,0.0,6,5,3,3,3,2
Southern Mississippi,2572,2004,Conference USA,12,0.0,7,5,3,2,4,3
South Florida,58,2004,Conference USA,11,0.0,4,7,2,4,2,3
Stanford,24,2004,Pac-10,11,0.0,4,7,3,3,1,4
Syracuse,183,2004,Big East,12,0.0,6,6,4,1,2,5
TCU,2628,2004,Conference USA,11,0.0,5,6,4,2,1,4
