team,abbreviation,team_id,conference,stadium_capacity,latitude,longitude,logo
Sam Houston State,SHSU,2534,Conference USA,14000.0,30.713926,-95.5419802,http://a.espncdn.com/i/teamlogos/ncaa/500/2534.png
San Diego State,SDSU,21,Mountain West,35000.0,32.784444,-117.122833,http://a.espncdn.com/i/teamlogos/ncaa/500/21.png
San José State,SJSU,23,Mountain West,30456.0,37.3196675,-121.8682962,http://a.espncdn.com/i/teamlogos/ncaa/500/23.png
SMU,SMU,2567,American Athletic,32000.0,32.8377223,-96.7827859,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
South Alabama,USA,6,Sun Belt,25450.0,30.6943566,-88.0430541,http://a.espncdn.com/i/teamlogos/ncaa/500/6.png
South Carolina,SC,2579,SEC,80250.0,33.9730239,-81.0191726,http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png
Southern Mississippi,USM,2572,Sun Belt,36000.0,31.3289321,-89.3318118,http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png
South Florida,USF,58,American Athletic,65828.0,27.9758691,-82.5033344,http://a.espncdn.com/i/teamlogos/ncaa/500/58.png
Stanford,STAN,24,Pac-12,50424.0,37.4345556,-122.1611271,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png
Syracuse,SYR,183,ACC,49057.0,43.0362269,-76.1363161,http://a.espncdn.com/i/teamlogos/ncaa/500/183.png
TCU,TCU,2628,Big 12,46000.0,32.7096604,-97.3680835,http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png
Temple,TEM,218,American Athletic,69879.0,39.9007995,-75.1675414,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png
Tennessee,TENN,2633,SEC,102455.0,35.9550131,-83.9250128,http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png
Texas,TEX,251,Big 12,100119.0,30.2836813,-97.7325345,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png
Texas A&M,TA&M,245,SEC,102733.0,30.6098891,-96.3403828,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png
Texas State,TXST,326,Sun Belt,30000.0,29.8910008,-97.9255735,http://a.espncdn.com/i/teamlogos/ncaa/500/326.png
