team,year,rank,points,talent_level,blue_chip,total,blue_sums,total_sums,blue_chip_ratio
Houston,2022,50,187.64,165.45499999999998,1.0,12.0,1.0,43.0,0.023255813953488372
Louisville,2022,51,187.58,186.495,4.0,16.0,6.0,74.0,0.08108108108108109
Duke,2022,52,186.78,181.51000000000002,1.0,17.0,2.0,77.0,0.025974025974025976
UCF,2022,53,186.37,176.68,1.0,15.0,2.0,70.0,0.02857142857142857
Georgia Tech,2022,54,184.81,195.66,3.0,16.0,10.0,77.0,0.12987012987012986
BYU,2022,55,181.5,164.485,2.0,24.0,3.0,87.0,0.034482758620689655
Oregon State,2022,56,181.41,166.965,0.0,19.0,0.0,61.0,0.0
Marshall,2022,57,176.47,147.39499999999998,0.0,24.0,0.0,76.0,0.0
Memphis,2022,58,176.39,175.4425,1.0,13.0,1.0,69.0,0.014492753623188406
California,2022,59,175.53,194.8025,1.0,13.0,7.0,83.0,0.08433734939759036
Washington State,2022,60,175.48,175.37,0.0,20.0,0.0,93.0,0.0
UCLA,2022,61,175.37,197.47500000000002,6.0,12.0,14.0,77.0,0.18181818181818182
Boise State,2022,62,174.52,173.375,1.0,18.0,3.0,67.0,0.04477611940298507
Kansas State,2022,63,173.32,177.54000000000002,0.0,16.0,1.0,79.0,0.012658227848101266
NC State,2022,64,171.26,196.4375,4.0,12.0,14.0,77.0,0.18181818181818182
San Diego State,2022,65,168.39,157.5325,0.0,17.0,1.0,77.0,0.012987012987012988
Virginia,2022,66,166.85,189.66,1.0,17.0,6.0,83.0,0.07228915662650602
Arkansas State,2022,67,166.63,147.8375,0.0,17.0,0.0,62.0,0.0
Syracuse,2022,68,166.16,175.3025,0.0,17.0,0.0,86.0,0.0
Coastal Carolina,2022,69,165.67,144.5025,0.0,18.0,0.0,82.0,0.0
USC,2022,70,165.48,217.68,5.0,8.0,30.0,68.0,0.4411764705882353
Wake Forest,2022,71,164.19,171.505,2.0,13.0,4.0,79.0,0.05063291139240506
Fresno State,2022,72,163.46,151.895,0.0,16.0,0.0,66.0,0.0
UT San Antonio,2022,73,162.04,150.42,0.0,10.0,0.0,55.0,0.0
Tulane,2022,74,160.73,156.9875,0.0,16.0,0.0,74.0,0.0
San José State,2022,75,157.03,133.6975,0.0,16.0,0.0,58.0,0.0
Pittsburgh,2022,76,153.09,184.43,1.0,11.0,7.0,72.0,0.09722222222222222
Miami (OH),2022,77,152.97,150.185,0.0,17.0,0.0,94.0,0.0
Colorado State,2022,78,152.84,148.8825,0.0,12.0,0.0,69.0,0.0
Southern Mississippi,2022,79,152.38,143.6625,0.0,12.0,0.0,52.0,0.0
Utah State,2022,80,152.31,123.01249999999999,0.0,20.0,0.0,68.0,0.0
Buffalo,2022,81,147.86,133.805,0.0,10.0,0.0,64.0,0.0
SMU,2022,82,146.38,163.055,1.0,12.0,2.0,59.0,0.03389830508474576
Appalachian State,2022,83,144.67,149.85,0.0,15.0,0.0,78.0,0.0
Central Michigan,2022,84,144.51,139.8625,0.0,16.0,0.0,83.0,0.0
East Carolina,2022,85,143.29,151.0075,0.0,12.0,0.0,69.0,0.0
UAB,2022,86,142.49,142.245,0.0,8.0,0.0,48.0,0.0
Northern Illinois,2022,87,142.15,142.1475,0.0,19.0,0.0,94.0,0.0
Louisiana Tech,2022,88,140.27,141.565,0.0,11.0,0.0,54.0,0.0
Kent State,2022,90,136.64,133.91,0.0,17.0,0.0,77.0,0.0
South Florida,2022,91,136.48,151.38,0.0,9.0,0.0,61.0,0.0
Toledo,2022,92,134.89,156.07,0.0,12.0,0.0,79.0,0.0
Wyoming,2022,93,133.87,135.79,1.0,14.0,1.0,82.0,0.012195121951219513
Western Kentucky,2022,94,129.6,122.62,0.0,12.0,0.0,56.0,0.0
Temple,2022,95,129.57,136.065,0.0,10.0,0.0,64.0,0.0
Washington,2022,96,129.55,210.7175,1.0,9.0,33.0,79.0,0.4177215189873418
Ball State,2022,97,127.25,130.4275,0.0,17.0,0.0,77.0,0.0
Liberty,2022,98,126.37,127.6,0.0,9.0,0.0,52.0,0.0
New Mexico,2022,99,124.26,133.4075,0.0,16.0,0.0,71.0,0.0
Georgia State,2022,100,124.06,134.875,0.0,10.0,0.0,62.0,0.0
UNLV,2022,102,121.78,146.01999999999998,0.0,5.0,0.0,63.0,0.0
Arizona State,2022,103,120.17,188.845,1.0,7.0,18.0,69.0,0.2608695652173913
South Alabama,2022,104,119.39,122.60249999999999,0.0,11.0,0.0,56.0,0.0
Western Michigan,2022,105,119.04,139.99,0.0,13.0,0.0,74.0,0.0
Old Dominion,2022,106,118.85,132.4125,0.0,11.0,0.0,72.0,0.0
Charlotte,2022,107,117.06,129.2825,0.0,11.0,0.0,63.0,0.0
New Mexico State,2022,108,117.0,119.4975,0.0,12.0,0.0,44.0,0.0
Bowling Green,2022,109,115.82,129.83,0.0,10.0,0.0,84.0,0.0
Georgia Southern,2022,110,115.78,132.0,1.0,10.0,1.0,74.0,0.013513513513513514
Louisiana,2022,111,115.71,146.82,0.0,8.0,0.0,71.0,0.0
Tulsa,2022,112,113.34,120.84,0.0,10.0,0.0,54.0,0.0
Connecticut,2022,113,112.35,124.8525,0.0,9.0,0.0,62.0,0.0
Air Force,2022,114,110.12,132.7225,0.0,11.0,0.0,143.0,0.0
Nevada,2022,115,108.19,133.06,0.0,9.0,0.0,68.0,0.0
Kansas,2022,116,106.28,158.555,0.0,8.0,2.0,75.0,0.02666666666666667
UMass,2022,117,105.95,125.875,0.0,10.0,0.0,66.0,0.0
North Texas,2022,118,102.95,145.045,0.0,9.0,0.0,65.0,0.0
Rice,2022,119,102.87,130.9975,0.0,9.0,0.0,69.0,0.0
Middle Tennessee,2022,120,102.04,128.5725,0.0,7.0,0.0,56.0,0.0
Sam Houston State,2022,121,101.32,47.504999999999995,0.0,8.0,0.0,15.0,0.0
Florida Atlantic,2022,124,94.73,147.36,0.0,8.0,0.0,74.0,0.0
Hawai'i,2022,126,84.97,107.25,0.0,6.0,0.0,42.0,0.0
Akron,2022,127,81.7,113.66499999999999,0.0,7.0,0.0,63.0,0.0
Eastern Michigan,2022,128,77.97,117.0675,0.0,5.0,0.0,65.0,0.0
UTEP,2022,129,77.74,96.20249999999999,0.0,4.0,0.0,49.0,0.0
Troy,2022,130,65.19,127.725,0.0,6.0,0.0,53.0,0.0
Ohio,2022,132,53.67,111.58500000000001,0.0,4.0,0.0,57.0,0.0
Texas State,2022,133,51.34,79.2725,0.0,2.0,0.0,24.0,0.0
Louisiana Monroe,2022,134,49.36,107.17,0.0,1.0,0.0,48.0,0.0
Navy,2022,138,41.48,106.535,0.0,4.0,0.0,102.0,0.0
Jacksonville State,2022,150,25.39,34.485,0.0,2.0,0.0,11.0,0.0
James Madison,2022,156,21.94,43.32000000000001,0.0,0.0,0.0,18.0,0.0
Army,2022,158,18.34,107.19749999999999,0.0,3.0,0.0,120.0,0.0
Alabama,2023,1,328.0,322.15,26.0,27.0,94.0,104.0,0.9038461538461539
Georgia,2023,2,315.68,310.47749999999996,23.0,27.0,81.0,104.0,0.7788461538461539
Texas,2023,3,306.31,275.8425,20.0,29.0,71.0,102.0,0.696078431372549
Oklahoma,2023,4,289.03,270.82,17.0,27.0,61.0,86.0,0.7093023255813954
Ohio State,2023,5,288.98,298.625,20.0,22.0,76.0,90.0,0.8444444444444444
LSU,2023,6,288.7,281.59250000000003,21.0,29.0,64.0,91.0,0.7032967032967034
Miami,2023,7,284.64,259.875,19.0,26.0,54.0,85.0,0.6352941176470588
USC,2023,8,280.44,226.9125,14.0,23.0,37.0,68.0,0.5441176470588235
Oregon,2023,9,278.44,267.17,20.0,30.0,60.0,95.0,0.631578947368421
Tennessee,2023,10,277.0,252.91750000000002,17.0,28.0,47.0,97.0,0.4845360824742268
Clemson,2023,11,273.39,283.7975,22.0,29.0,67.0,95.0,0.7052631578947368
Notre Dame,2023,12,272.74,267.195,21.0,26.0,60.0,95.0,0.631578947368421
Florida,2023,13,271.43,259.7575,19.0,22.0,58.0,89.0,0.651685393258427
Penn State,2023,14,270.1,255.31000000000003,19.0,25.0,53.0,93.0,0.5698924731182796
Texas A&M,2023,15,268.85,294.20500000000004,14.0,20.0,77.0,103.0,0.7475728155339806
South Carolina,2023,16,256.14,220.86749999999998,12.0,24.0,29.0,84.0,0.34523809523809523
Michigan,2023,17,245.13,258.0925,11.0,25.0,50.0,98.0,0.5102040816326531
Auburn,2023,18,242.9,238.12,10.0,19.0,40.0,77.0,0.5194805194805194
Florida State,2023,19,237.15,229.9975,9.0,18.0,31.0,80.0,0.3875
Utah,2023,20,236.08,215.335,8.0,20.0,19.0,78.0,0.24358974358974358
TCU,2023,21,235.07,204.21249999999998,7.0,21.0,19.0,62.0,0.3064516129032258
Arkansas,2023,22,228.3,217.835,9.0,22.0,23.0,84.0,0.27380952380952384
Ole Miss,2023,23,227.96,222.2425,9.0,17.0,27.0,76.0,0.35526315789473684
Michigan State,2023,24,224.87,207.655,7.0,15.0,14.0,79.0,0.17721518987341772
Nebraska,2023,25,224.12,219.8825,6.0,29.0,20.0,85.0,0.23529411764705882
Washington,2023,26,223.92,201.9,8.0,20.0,24.0,72.0,0.3333333333333333
Mississippi State,2023,27,222.92,218.30249999999998,4.0,23.0,17.0,81.0,0.20987654320987653
Texas Tech,2023,28,222.02,192.43,5.0,27.0,8.0,74.0,0.10810810810810811
Colorado,2023,29,219.75,195.60250000000002,4.0,18.0,8.0,81.0,0.09876543209876543
North Carolina,2023,30,219.35,244.6025,6.0,22.0,39.0,88.0,0.4431818181818182
Louisville,2023,31,217.99,199.51,6.0,16.0,11.0,77.0,0.14285714285714285
Kentucky,2023,32,212.42,221.8675,7.0,19.0,30.0,82.0,0.36585365853658536
Kansas State,2023,33,212.31,186.26749999999998,3.0,25.0,4.0,83.0,0.04819277108433735
Missouri,2023,34,211.13,210.29500000000002,5.0,18.0,17.0,75.0,0.22666666666666666
Baylor,2023,35,210.79,197.52999999999997,2.0,20.0,10.0,73.0,0.136986301369863
Maryland,2023,36,206.46,215.01,5.0,27.0,17.0,91.0,0.18681318681318682
UCLA,2023,37,206.15,199.11,3.0,13.0,16.0,65.0,0.24615384615384617
Illinois,2023,38,205.64,177.5625,3.0,23.0,3.0,76.0,0.039473684210526314
Virginia Tech,2023,39,205.58,191.76999999999998,2.0,27.0,6.0,91.0,0.06593406593406594
Arizona,2023,40,204.72,189.31,3.0,23.0,8.0,93.0,0.08602150537634409
Iowa,2023,41,204.36,209.2775,2.0,24.0,12.0,87.0,0.13793103448275862
Iowa State,2023,42,204.14,193.925,1.0,22.0,5.0,87.0,0.05747126436781609
NC State,2023,43,204.08,193.135,3.0,17.0,13.0,71.0,0.18309859154929578
Arizona State,2023,44,201.23,184.21249999999998,1.0,17.0,15.0,62.0,0.24193548387096775
Minnesota,2023,45,201.22,197.33749999999998,2.0,24.0,10.0,89.0,0.11235955056179775
Stanford,2023,46,200.94,213.22000000000003,1.0,22.0,15.0,90.0,0.16666666666666666
Northwestern,2023,47,200.11,191.68,1.0,20.0,7.0,73.0,0.0958904109589041
West Virginia,2023,48,199.09,200.745,2.0,19.0,8.0,75.0,0.10666666666666667
Oregon State,2023,49,198.88,173.465,2.0,19.0,2.0,64.0,0.03125
UCF,2023,50,196.98,181.0025,3.0,14.0,5.0,64.0,0.078125
Pittsburgh,2023,51,196.32,188.1275,1.0,19.0,8.0,72.0,0.1111111111111111
Vanderbilt,2023,52,195.39,193.5425,1.0,24.0,7.0,96.0,0.07291666666666667
Wake Forest,2023,53,193.23,174.2475,1.0,21.0,3.0,79.0,0.0379746835443038
Oklahoma State,2023,54,193.19,199.7975,0.0,20.0,8.0,74.0,0.10810810810810811
Houston,2023,55,191.97,172.1,3.0,16.0,4.0,50.0,0.08
Duke,2023,56,191.8,181.615,0.0,26.0,1.0,81.0,0.012345679012345678
Rutgers,2023,57,190.36,190.56,0.0,20.0,7.0,84.0,0.08333333333333333
Wisconsin,2023,58,188.21,212.2425,3.0,16.0,18.0,82.0,0.21951219512195122
UT San Antonio,2023,59,187.6,161.7425,0.0,14.0,0.0,52.0,0.0
Memphis,2023,60,186.18,178.8875,2.0,18.0,3.0,71.0,0.04225352112676056
Boston College,2023,61,185.3,189.96750000000003,0.0,18.0,7.0,84.0,0.08333333333333333
Georgia Tech,2023,62,185.2,194.89,0.0,18.0,9.0,74.0,0.12162162162162163
Washington State,2023,63,184.96,178.075,0.0,19.0,0.0,88.0,0.0
Virginia,2023,64,180.69,184.61,0.0,20.0,5.0,78.0,0.0641025641025641
East Carolina,2023,65,180.54,156.54250000000002,1.0,20.0,1.0,71.0,0.014084507042253521
BYU,2023,66,179.88,170.26500000000001,2.0,15.0,4.0,84.0,0.047619047619047616
Boise State,2023,67,179.7,170.8175,0.0,19.0,1.0,69.0,0.014492753623188406
Purdue,2023,68,179.36,188.465,0.0,15.0,11.0,70.0,0.15714285714285714
Indiana,2023,69,177.6,188.1425,0.0,13.0,9.0,73.0,0.1232876712328767
Colorado State,2023,70,176.09,154.1,0.0,24.0,0.0,75.0,0.0
Tulane,2023,71,172.87,164.0,0.0,19.0,0.0,74.0,0.0
SMU,2023,72,171.15,164.0225,0.0,17.0,2.0,58.0,0.034482758620689655
Kansas,2023,73,169.88,159.565,0.0,13.0,1.0,74.0,0.013513513513513514
Arkansas State,2023,74,168.05,154.01,0.0,22.0,0.0,69.0,0.0
Cincinnati,2023,75,167.89,187.81249999999997,1.0,11.0,7.0,76.0,0.09210526315789473
South Florida,2023,76,165.19,153.0675,0.0,14.0,0.0,59.0,0.0
Louisiana Tech,2023,77,163.34,143.535,0.0,21.0,0.0,60.0,0.0
San Diego State,2023,78,163.05,160.9975,0.0,14.0,1.0,73.0,0.0136986301369863
California,2023,79,162.74,186.3675,1.0,10.0,8.0,73.0,0.1095890410958904
Appalachian State,2023,80,161.99,155.5975,0.0,15.0,0.0,74.0,0.0
Southern Mississippi,2023,81,161.48,144.935,0.0,18.0,0.0,52.0,0.0
Florida Atlantic,2023,82,161.44,142.97250000000003,0.0,16.0,0.0,61.0,0.0
Fresno State,2023,83,161.0,153.77,0.0,11.0,0.0,63.0,0.0
Buffalo,2023,84,160.65,140.3075,0.0,13.0,0.0,54.0,0.0
Temple,2023,85,160.16,141.965,0.0,16.0,0.0,62.0,0.0
Rice,2023,86,159.14,137.77499999999998,0.0,20.0,0.0,64.0,0.0
Eastern Michigan,2023,87,158.7,125.49499999999999,0.0,16.0,0.0,60.0,0.0
Syracuse,2023,88,156.73,168.8175,0.0,13.0,0.0,78.0,0.0
Louisiana,2023,89,155.69,146.13,0.0,15.0,0.0,61.0,0.0
South Alabama,2023,90,154.95,130.64,0.0,11.0,0.0,47.0,0.0
Central Michigan,2023,91,153.75,143.81,0.0,19.0,0.0,82.0,0.0
UAB,2023,92,149.23,139.4325,0.0,13.0,0.0,45.0,0.0
Troy,2023,94,147.8,125.2775,0.0,9.0,0.0,45.0,0.0
Florida International,2023,95,147.71,153.67,0.0,15.0,0.0,68.0,0.0
Sam Houston State,2023,96,141.34,70.7175,0.0,14.0,0.0,25.0,0.0
Ohio,2023,97,140.79,112.255,0.0,14.0,0.0,52.0,0.0
Texas State,2023,98,139.15,86.285,0.0,7.0,0.0,18.0,0.0
North Texas,2023,99,137.98,139.845,0.0,11.0,0.0,55.0,0.0
Utah State,2023,100,133.96,119.02250000000001,0.0,9.0,0.0,50.0,0.0
Georgia Southern,2023,101,131.86,133.655,0.0,14.0,1.0,64.0,0.015625
Toledo,2023,102,131.66,148.4825,0.0,11.0,0.0,68.0,0.0
Northern Illinois,2023,103,131.18,141.4025,0.0,15.0,0.0,91.0,0.0
Air Force,2023,104,130.58,131.7425,0.0,17.0,0.0,109.0,0.0
Miami (OH),2023,105,129.81,144.85500000000002,0.0,15.0,0.0,81.0,0.0
Western Michigan,2023,106,129.14,135.10000000000002,0.0,13.0,0.0,66.0,0.0
Nevada,2023,107,126.82,128.4475,0.0,11.0,0.0,60.0,0.0
Ball State,2023,108,126.78,131.4,0.0,14.0,0.0,74.0,0.0
Akron,2023,109,121.18,111.40249999999999,0.0,13.0,0.0,54.0,0.0
Wyoming,2023,110,120.69,130.775,0.0,12.0,1.0,70.0,0.014285714285714285
Liberty,2023,111,120.52,130.6325,0.0,9.0,0.0,53.0,0.0
San José State,2023,112,118.01,131.3175,0.0,12.0,0.0,54.0,0.0
New Mexico State,2023,113,116.57,117.2525,0.0,5.0,0.0,35.0,0.0
Coastal Carolina,2023,114,113.66,141.65249999999997,0.0,8.0,0.0,64.0,0.0
Tulsa,2023,115,113.39,115.7175,0.0,10.0,0.0,46.0,0.0
Georgia State,2023,116,111.43,127.64000000000001,0.0,10.0,0.0,52.0,0.0
Hawai'i,2023,117,111.34,102.70250000000001,0.0,9.0,0.0,36.0,0.0
Army,2023,118,110.02,99.765,0.0,11.0,0.0,107.0,0.0
Bowling Green,2023,119,103.84,126.9475,0.0,10.0,0.0,74.0,0.0
Middle Tennessee,2023,120,100.8,115.16499999999999,0.0,6.0,0.0,42.0,0.0
UTEP,2023,121,100.59,88.35499999999999,0.0,3.0,0.0,28.0,0.0
Old Dominion,2023,122,95.13,124.1175,0.0,6.0,0.0,56.0,0.0
Kent State,2023,123,81.64,119.78999999999999,0.0,8.0,0.0,63.0,0.0
Connecticut,2023,124,80.21,112.98500000000001,0.0,8.0,0.0,55.0,0.0
Marshall,2023,125,77.8,125.49000000000001,0.0,6.0,0.0,55.0,0.0
Louisiana Monroe,2023,126,73.66,95.74000000000001,0.0,2.0,0.0,36.0,0.0
UMass,2023,127,72.64,111.3375,0.0,6.0,0.0,57.0,0.0
New Mexico,2023,128,72.37,119.93,0.0,3.0,0.0,66.0,0.0
Charlotte,2023,129,69.14,118.39500000000001,0.0,4.0,0.0,53.0,0.0
Navy,2023,131,67.03,92.195,0.0,6.0,0.0,81.0,0.0
Western Kentucky,2023,134,58.4,98.7475,0.0,3.0,0.0,38.0,0.0
UNLV,2023,136,55.31,124.955,0.0,5.0,0.0,56.0,0.0
James Madison,2023,149,25.85,32.2525,0.0,2.0,0.0,13.0,0.0
Jacksonville State,2023,163,13.85,18.14,0.0,1.0,0.0,6.0,0.0
Georgia,2024,1,317.05,311.40500000000003,0.0,0.0,60.0,77.0,0.7792207792207793
Alabama,2024,2,310.75,322.22749999999996,0.0,0.0,74.0,80.0,0.925
Oregon,2024,3,293.22,275.6025,0.0,0.0,50.0,71.0,0.704225352112676
Miami,2024,4,291.54,268.5825,0.0,0.0,43.0,62.0,0.6935483870967742
Ohio State,2024,5,289.13,297.13750000000005,0.0,0.0,58.0,64.0,0.90625
Texas,2024,6,286.92,279.84000000000003,0.0,0.0,56.0,83.0,0.6746987951807228
LSU,2024,7,278.75,276.145,0.0,0.0,46.0,66.0,0.696969696969697
Oklahoma,2024,8,275.64,274.83000000000004,0.0,0.0,48.0,65.0,0.7384615384615385
Notre Dame,2024,9,275.57,273.225,0.0,0.0,51.0,76.0,0.6710526315789473
Auburn,2024,10,275.39,238.3175,0.0,0.0,25.0,52.0,0.4807692307692308
Clemson,2024,11,272.19,274.4125,0.0,0.0,50.0,69.0,0.7246376811594203
Florida State,2024,12,271.76,238.335,0.0,0.0,23.0,54.0,0.42592592592592593
Florida,2024,13,268.25,258.5725,0.0,0.0,38.0,61.0,0.6229508196721312
Tennessee,2024,14,267.26,254.35750000000002,0.0,0.0,33.0,71.0,0.4647887323943662
Penn State,2024,15,265.61,257.70000000000005,0.0,0.0,40.0,64.0,0.625
Michigan,2024,16,261.94,259.4925,0.0,0.0,34.0,71.0,0.4788732394366197
USC,2024,17,253.78,245.105,0.0,0.0,34.0,53.0,0.6415094339622641
Nebraska,2024,18,247.5,221.69,0.0,0.0,12.0,63.0,0.19047619047619047
Texas A&M,2024,19,245.18,283.1275,0.0,0.0,61.0,76.0,0.8026315789473685
Missouri,2024,20,241.93,225.065,0.0,0.0,16.0,55.0,0.2909090909090909
Ole Miss,2024,21,240.2,231.275,0.0,0.0,22.0,57.0,0.38596491228070173
South Carolina,2024,22,239.75,218.27499999999998,0.0,0.0,19.0,59.0,0.3220338983050847
Wisconsin,2024,23,239.1,215.6325,0.0,0.0,11.0,53.0,0.20754716981132076
Kentucky,2024,24,236.86,223.615,0.0,0.0,22.0,57.0,0.38596491228070173
Texas Tech,2024,25,236.09,205.66,0.0,0.0,7.0,57.0,0.12280701754385964
North Carolina,2024,26,228.83,240.14749999999998,0.0,0.0,28.0,58.0,0.4827586206896552
NC State,2024,27,225.02,200.69500000000002,0.0,0.0,11.0,49.0,0.22448979591836735
Mississippi State,2024,28,223.21,219.045,0.0,0.0,14.0,61.0,0.22950819672131148
Purdue,2024,29,217.71,190.7975,0.0,0.0,5.0,49.0,0.10204081632653061
Stanford,2024,30,217.17,207.8575,0.0,0.0,9.0,62.0,0.14516129032258066
Arkansas,2024,31,216.66,218.96,0.0,0.0,19.0,64.0,0.296875
Iowa,2024,32,215.41,212.1775,0.0,0.0,11.0,62.0,0.1774193548387097
Georgia Tech,2024,33,214.0,192.70749999999998,0.0,0.0,5.0,50.0,0.1
TCU,2024,34,213.87,203.70999999999998,0.0,0.0,13.0,46.0,0.2826086956521739
UCF,2024,35,212.83,193.46749999999997,0.0,0.0,5.0,45.0,0.1111111111111111
Rutgers,2024,36,211.78,200.97,0.0,0.0,7.0,61.0,0.11475409836065574
Minnesota,2024,37,211.62,200.40500000000003,0.0,0.0,8.0,60.0,0.13333333333333333
Syracuse,2024,38,210.55,177.485,0.0,0.0,0.0,51.0,0.0
Maryland,2024,39,209.92,215.0725,0.0,0.0,14.0,71.0,0.19718309859154928
Vanderbilt,2024,40,207.79,199.9375,0.0,0.0,7.0,77.0,0.09090909090909091
Pittsburgh,2024,41,204.1,190.98999999999998,0.0,0.0,5.0,53.0,0.09433962264150944
Michigan State,2024,42,203.52,210.205,0.0,0.0,14.0,56.0,0.25
Kansas,2024,43,203.0,165.5725,0.0,0.0,1.0,43.0,0.023255813953488372
BYU,2024,44,202.7,180.9625,0.0,0.0,4.0,55.0,0.07272727272727272
Virginia Tech,2024,45,202.61,201.7,0.0,0.0,5.0,78.0,0.0641025641025641
West Virginia,2024,46,202.08,201.3225,0.0,0.0,7.0,54.0,0.12962962962962962
Washington,2024,47,201.79,189.26,0.0,0.0,13.0,43.0,0.3023255813953488
Arizona State,2024,48,199.47,176.71249999999998,0.0,0.0,6.0,38.0,0.15789473684210525
Illinois,2024,49,198.84,189.04749999999999,0.0,0.0,3.0,65.0,0.046153846153846156
South Florida,2024,50,197.92,166.80499999999998,0.0,0.0,0.0,43.0,0.0
Cincinnati,2024,51,196.87,188.2925,0.0,0.0,4.0,54.0,0.07407407407407407
Wake Forest,2024,52,196.48,179.9125,0.0,0.0,3.0,54.0,0.05555555555555555
Iowa State,2024,53,192.29,194.2725,0.0,0.0,3.0,61.0,0.04918032786885246
Tulsa,2024,54,191.84,129.115,0.0,0.0,0.0,29.0,0.0
California,2024,55,190.2,184.41750000000002,0.0,0.0,7.0,43.0,0.16279069767441862
Oklahoma State,2024,56,189.96,199.2,0.0,0.0,7.0,55.0,0.12727272727272726
Kansas State,2024,57,187.58,187.5475,0.0,0.0,4.0,58.0,0.06896551724137931
Louisville,2024,58,186.52,197.525,0.0,0.0,11.0,55.0,0.2
Utah,2024,59,184.77,208.4475,0.0,0.0,15.0,54.0,0.2777777777777778
Houston,2024,60,184.0,179.26999999999998,0.0,0.0,4.0,38.0,0.10526315789473684
Duke,2024,61,183.9,184.66000000000003,0.0,0.0,1.0,61.0,0.01639344262295082
Washington State,2024,62,181.7,178.68,0.0,0.0,0.0,58.0,0.0
Tulane,2024,63,181.26,167.855,0.0,0.0,0.0,51.0,0.0
Boise State,2024,64,181.19,174.135,0.0,0.0,1.0,53.0,0.018867924528301886
Indiana,2024,65,179.89,188.7675,0.0,0.0,8.0,50.0,0.16
Toledo,2024,66,179.4,152.2825,0.0,0.0,0.0,46.0,0.0
Baylor,2024,67,179.04,197.01000000000002,0.0,0.0,7.0,58.0,0.1206896551724138
Memphis,2024,68,176.2,181.51999999999998,0.0,0.0,3.0,56.0,0.05357142857142857
Colorado State,2024,69,172.05,161.41250000000002,0.0,0.0,0.0,57.0,0.0
North Texas,2024,70,172.01,141.70749999999998,0.0,0.0,0.0,37.0,0.0
Western Michigan,2024,71,171.51,139.7,0.0,0.0,0.0,44.0,0.0
San Diego State,2024,72,171.46,168.22,0.0,0.0,1.0,56.0,0.017857142857142856
East Carolina,2024,73,171.38,158.6225,0.0,0.0,1.0,42.0,0.023809523809523808
Charlotte,2024,74,169.59,122.655,0.0,0.0,0.0,34.0,0.0
Coastal Carolina,2024,75,169.22,149.80499999999998,0.0,0.0,0.0,44.0,0.0
UNLV,2024,76,168.14,126.78,0.0,0.0,0.0,29.0,0.0
Southern Mississippi,2024,77,167.67,146.4725,0.0,0.0,0.0,39.0,0.0
Arkansas State,2024,78,167.29,158.645,0.0,0.0,0.0,53.0,0.0
Florida Atlantic,2024,79,166.84,144.055,0.0,0.0,0.0,43.0,0.0
Northwestern,2024,80,165.73,185.44,0.0,0.0,6.0,52.0,0.11538461538461539
Colorado,2024,81,165.05,186.0725,0.0,0.0,4.0,58.0,0.06896551724137931
Miami (OH),2024,82,164.93,148.435,0.0,0.0,0.0,54.0,0.0
UTEP,2024,83,163.05,100.5,0.0,0.0,0.0,13.0,0.0
South Alabama,2024,84,162.93,136.2375,0.0,0.0,0.0,30.0,0.0
Arizona,2024,85,162.29,187.16,0.0,0.0,8.0,67.0,0.11940298507462686
Fresno State,2024,86,160.65,161.055,0.0,0.0,0.0,46.0,0.0
Oregon State,2024,87,159.84,167.895,0.0,0.0,2.0,49.0,0.04081632653061224
Virginia,2024,88,159.74,178.15250000000003,0.0,0.0,3.0,60.0,0.05
Troy,2024,89,159.41,126.5125,0.0,0.0,0.0,28.0,0.0
UCLA,2024,90,157.07,186.27249999999998,0.0,0.0,12.0,43.0,0.27906976744186046
Georgia Southern,2024,91,156.6,136.5,0.0,0.0,1.0,44.0,0.022727272727272728
Ohio,2024,92,156.49,122.1375,0.0,0.0,0.0,35.0,0.0
Eastern Michigan,2024,93,156.11,130.32999999999998,0.0,0.0,0.0,39.0,0.0
Appalachian State,2024,94,155.02,155.70499999999998,0.0,0.0,0.0,53.0,0.0
Boston College,2024,95,153.23,185.685,0.0,0.0,5.0,68.0,0.07352941176470588
Texas State,2024,96,152.53,88.12,0.0,0.0,0.0,9.0,0.0
Kent State,2024,97,151.54,122.295,0.0,0.0,0.0,40.0,0.0
UAB,2024,98,150.94,141.525,0.0,0.0,0.0,33.0,0.0
Northern Illinois,2024,99,149.96,141.47,0.0,0.0,0.0,60.0,0.0
Bowling Green,2024,100,149.29,125.66999999999999,0.0,0.0,0.0,40.0,0.0
Akron,2024,101,146.65,115.69500000000001,0.0,0.0,0.0,36.0,0.0
Wyoming,2024,102,146.14,132.7775,0.0,0.0,1.0,44.0,0.022727272727272728
Marshall,2024,103,145.69,125.37750000000001,0.0,0.0,0.0,38.0,0.0
San José State,2024,104,145.06,133.22750000000002,0.0,0.0,0.0,38.0,0.0
Liberty,2024,105,142.69,129.68,0.0,0.0,0.0,29.0,0.0
Central Michigan,2024,106,142.13,146.6275,0.0,0.0,0.0,58.0,0.0
SMU,2024,107,142.05,160.2975,0.0,0.0,2.0,46.0,0.043478260869565216
James Madison,2024,108,141.41,58.834999999999994,0.0,0.0,0.0,7.0,0.0
Florida International,2024,109,141.29,150.85000000000002,0.0,0.0,0.0,52.0,0.0
Buffalo,2024,110,140.65,146.735,0.0,0.0,0.0,39.0,0.0
Western Kentucky,2024,111,140.12,94.435,0.0,0.0,0.0,19.0,0.0
Ball State,2024,112,140.08,133.54500000000002,0.0,0.0,0.0,52.0,0.0
