team,year,conference,elo,fpi,conference_rating
Texas A&M,2005,Big 12,1594.0,9.775,12.05
Texas Tech,2005,Big 12,1917.0,16.699,12.05
Toledo,2005,Mid-American,1602.0,1.76,-10.025
Troy,2005,Sun Belt,1238.0,-13.599,-20.75
Tulane,2005,Conference USA,1182.0,-12.942,-6.208333333333333
Tulsa,2005,Conference USA,1622.0,4.009,-6.208333333333333
UAB,2005,Conference USA,1473.0,-2.165,-6.208333333333333
UCF,2005,Conference USA,1334.0,-5.595,-6.208333333333333
UCLA,2005,Pac-10,1597.0,11.225,11.09
UNLV,2005,Mountain West,1075.0,-16.177,-0.8111111111111111
USC,2005,Pac-10,2265.0,32.163,11.09
Utah,2005,Mountain West,1792.0,3.834,-0.8111111111111111
Utah State,2005,Western Athletic,1129.0,-17.899,-8.5125
UTEP,2005,Conference USA,1405.0,-3.715,-6.208333333333333
Vanderbilt,2005,SEC,1417.0,1.157,7.625
Virginia,2005,ACC,1682.0,7.688,7.691666666666666
Virginia Tech,2005,ACC,2091.0,22.642,7.691666666666666
Wake Forest,2005,ACC,1458.0,1.062,7.691666666666666
Washington,2005,Pac-10,1414.0,0.966,11.09
Washington State,2005,Pac-10,1536.0,8.211,11.09
Western Michigan,2005,Mid-American,1342.0,-9.917,-10.025
West Virginia,2005,Big East,1911.0,12.323,3.75
Wisconsin,2005,Big Ten,1783.0,11.29,13.245454545454546
Wyoming,2005,Mountain West,1418.0,-1.708,-0.8111111111111111
Air Force,2006,Mountain West,1479.0,-1.739,1.011111111111111
Akron,2006,Mid-American,1323.0,-5.849,-11.166666666666666
Alabama,2006,SEC,1661.0,8.368,13.25
Arizona,2006,Pac-10,1552.0,6.351,8.51
Arizona State,2006,Pac-10,1611.0,8.686,8.51
Arkansas,2006,SEC,1764.0,14.37,13.25
Arkansas State,2006,Sun Belt,1072.0,-14.273,-19.3625
Army,2006,FBS Independents,1127.0,-10.956,-12.0
Auburn,2006,SEC,1746.0,14.524,13.25
Ball State,2006,Mid-American,1414.0,-3.712,-11.166666666666666
Baylor,2006,Big 12,1258.0,-4.464,10.033333333333333
Boise State,2006,Western Athletic,1906.0,12.867,-7.266666666666667
Boston College,2006,ACC,1775.0,11.691,6.833333333333333
Bowling Green,2006,Mid-American,1249.0,-10.674,-11.166666666666666
Buffalo,2006,Mid-American,1083.0,-19.902,-11.166666666666666
