team,year,conference,elo,fpi,conference_rating
USC,2008,Pac-10,2220.0,30.774,7.18
Utah,2008,Mountain West,1948.0,15.959,-0.13333333333333333
Utah State,2008,Western Athletic,1288.0,-12.334,-9.188888888888888
UTEP,2008,Conference USA,1347.0,-6.376,-4.141666666666667
Vanderbilt,2008,SEC,1525.0,3.646,10.825
Virginia,2008,ACC,1504.0,2.418,7.4
Virginia Tech,2008,ACC,1764.0,9.223,7.4
Wake Forest,2008,ACC,1600.0,5.591,7.4
Washington,2008,Pac-10,1137.0,-10.756,7.18
Washington State,2008,Pac-10,846.0,-19.432,7.18
Western Michigan,2008,Mid-American,1371.0,-3.42,-7.007692307692308
West Virginia,2008,Big East,1801.0,11.347,2.6875
Wisconsin,2008,Big Ten,1605.0,5.801,9.972727272727273
Wyoming,2008,Mountain West,1186.0,-11.493,-0.13333333333333333
Air Force,2009,Mountain West,1720.0,6.677,-0.26666666666666666
Akron,2009,Mid-American,1131.0,-12.936,-11.346153846153847
Alabama,2009,SEC,2084.0,23.968,15.55
Arizona,2009,Pac-10,1660.0,9.522,6.63
Arizona State,2009,Pac-10,1506.0,3.404,6.63
Arkansas,2009,SEC,1778.0,14.471,15.55
Arkansas State,2009,Sun Belt,1216.0,-7.344,-16.633333333333333
Army,2009,FBS Independents,1198.0,-14.612,-4.533333333333333
Auburn,2009,SEC,1627.0,11.094,15.55
Ball State,2009,Mid-American,1294.0,-13.446,-11.346153846153847
Baylor,2009,Big 12,1380.0,0.59,11.733333333333333
Boise State,2009,Western Athletic,1996.0,16.414,-7.233333333333333
Boston College,2009,ACC,1589.0,7.026,8.608333333333333
Bowling Green,2009,Mid-American,1459.0,-5.02,-11.346153846153847
Buffalo,2009,Mid-American,1380.0,-5.614,-11.346153846153847
BYU,2009,Mountain West,1840.0,10.808,-0.26666666666666666
California,2009,Pac-10,1554.0,10.078,6.63
Central Michigan,2009,Mid-American,1680.0,6.603,-11.346153846153847
Cincinnati,2009,Big East,1741.0,12.821,6.625
Clemson,2009,ACC,1797.0,13.223,8.608333333333333
Colorado,2009,Big 12,1408.0,-1.619,11.733333333333333
Colorado State,2009,Mountain West,1253.0,-9.068,-0.26666666666666666
Connecticut,2009,Big East,1656.0,8.469,6.625
Duke,2009,ACC,1367.0,-1.657,8.608333333333333
East Carolina,2009,Conference USA,1656.0,4.744,-7.475
Eastern Michigan,2009,Mid-American,900.0,-21.357,-11.346153846153847
Florida,2009,SEC,2138.0,28.219,15.55
Florida Atlantic,2009,Sun Belt,1210.0,-10.571,-16.633333333333333
Florida International,2009,Sun Belt,1119.0,-12.41,-16.633333333333333
Florida State,2009,ACC,1685.0,9.481,8.608333333333333
Fresno State,2009,Western Athletic,1403.0,0.567,-7.233333333333333
Georgia,2009,SEC,1705.0,11.167,15.55
Georgia Tech,2009,ACC,1762.0,14.749,8.608333333333333
Hawai'i,2009,Western Athletic,1220.0,-11.466,-7.233333333333333
Houston,2009,Conference USA,1653.0,6.844,-7.475
Illinois,2009,Big Ten,1482.0,0.364,7.545454545454546
Indiana,2009,Big Ten,1295.0,-4.653,7.545454545454546
Iowa,2009,Big Ten,1789.0,12.219,7.545454545454546
Iowa State,2009,Big 12,1384.0,-0.587,11.733333333333333
Kansas,2009,Big 12,1611.0,6.675,11.733333333333333
Kansas State,2009,Big 12,1494.0,0.975,11.733333333333333
Kent State,2009,Mid-American,1267.0,-10.738,-11.346153846153847
Kentucky,2009,SEC,1590.0,5.488,15.55
Louisiana,2009,Sun Belt,1150.0,-11.968,-16.633333333333333
Louisiana Monroe,2009,Sun Belt,1227.0,-8.354,-16.633333333333333
Louisiana Tech,2009,Western Athletic,1489.0,-1.677,-7.233333333333333
Louisville,2009,Big East,1304.0,-5.847,6.625
LSU,2009,SEC,1791.0,15.346,15.55
Marshall,2009,Conference USA,1298.0,-4.288,-7.475
Maryland,2009,ACC,1363.0,-4.226,8.608333333333333
Memphis,2009,Conference USA,1148.0,-10.992,-7.475
Miami,2009,ACC,1693.0,13.78,8.608333333333333
Miami (OH),2009,Mid-American,1040.0,-18.317,-11.346153846153847
Michigan,2009,Big Ten,1450.0,3.113,7.545454545454546
Michigan State,2009,Big Ten,1590.0,7.113,7.545454545454546
Middle Tennessee,2009,Sun Belt,1536.0,-0.534,-16.633333333333333
Minnesota,2009,Big Ten,1464.0,2.803,7.545454545454546
Mississippi State,2009,SEC,1504.0,4.038,15.55
Missouri,2009,Big 12,1638.0,6.965,11.733333333333333
Navy,2009,FBS Independents,1668.0,3.989,-4.533333333333333
NC State,2009,ACC,1375.0,1.131,8.608333333333333
Nebraska,2009,Big 12,1923.0,16.129,11.733333333333333
Nevada,2009,Western Athletic,1601.0,3.32,-7.233333333333333
New Mexico,2009,Mountain West,1171.0,-16.924,-0.26666666666666666
New Mexico State,2009,Western Athletic,926.0,-24.147,-7.233333333333333
North Carolina,2009,ACC,1681.0,9.001,8.608333333333333
Northern Illinois,2009,Mid-American,1462.0,-2.624,-11.346153846153847
North Texas,2009,Sun Belt,1038.0,-15.825,-16.633333333333333
Northwestern,2009,Big Ten,1525.0,0.403,7.545454545454546
Notre Dame,2009,FBS Independents,1640.0,9.718,-4.533333333333333
Ohio,2009,Mid-American,1448.0,-3.676,-11.346153846153847
Ohio State,2009,Big Ten,1962.0,18.986,7.545454545454546
Oklahoma,2009,Big 12,2083.0,22.66,11.733333333333333
Oklahoma State,2009,Big 12,1708.0,10.601,11.733333333333333
Ole Miss,2009,SEC,1786.0,13.959,15.55
Oregon,2009,Pac-10,1951.0,16.454,6.63
Oregon State,2009,Pac-10,1680.0,9.368,6.63
Penn State,2009,Big Ten,1907.0,16.978,7.545454545454546
Pittsburgh,2009,Big East,1782.0,13.707,6.625
Purdue,2009,Big Ten,1488.0,1.377,7.545454545454546
Rice,2009,Conference USA,966.0,-19.479,-7.475
Rutgers,2009,Big East,1681.0,4.641,6.625
San Diego State,2009,Mountain West,1190.0,-11.034,-0.26666666666666666
San José State,2009,Western Athletic,1011.0,-17.595,-7.233333333333333
SMU,2009,Conference USA,1507.0,-4.29,-7.475
South Carolina,2009,SEC,1598.0,7.513,15.55
Southern Mississippi,2009,Conference USA,1549.0,3.8,-7.475
South Florida,2009,Big East,1532.0,5.677,6.625
Stanford,2009,Pac-10,1792.0,12.937,6.63
Syracuse,2009,Big East,1339.0,-5.379,6.625
TCU,2009,Mountain West,2072.0,20.243,-0.26666666666666666
Temple,2009,Mid-American,1554.0,-1.102,-11.346153846153847
Tennessee,2009,SEC,1694.0,11.818,15.55
Texas,2009,Big 12,2106.0,27.378,11.733333333333333
Texas A&M,2009,Big 12,1508.0,4.833,11.733333333333333
Texas Tech,2009,Big 12,1941.0,14.369,11.733333333333333
Toledo,2009,Mid-American,1203.0,-10.797,-11.346153846153847
Troy,2009,Sun Belt,1517.0,-0.157,-16.633333333333333
Tulane,2009,Conference USA,906.0,-20.536,-7.475
Tulsa,2009,Conference USA,1494.0,-1.494,-7.475
UAB,2009,Conference USA,1320.0,-5.909,-7.475
UCF,2009,Conference USA,1496.0,-0.063,-7.475
UCLA,2009,Pac-10,1518.0,6.41,6.63
UNLV,2009,Mountain West,1232.0,-8.936,-0.26666666666666666
USC,2009,Pac-10,1800.0,14.928,6.63
Utah,2009,Mountain West,1747.0,7.137,-0.26666666666666666
Utah State,2009,Western Athletic,1308.0,-7.766,-7.233333333333333
UTEP,2009,Conference USA,1379.0,-6.883,-7.475
Vanderbilt,2009,SEC,1393.0,-1.163,15.55
Virginia,2009,ACC,1414.0,0.591,8.608333333333333
Virginia Tech,2009,ACC,1928.0,20.766,8.608333333333333
Wake Forest,2009,ACC,1498.0,5.289,8.608333333333333
Washington,2009,Pac-10,1473.0,5.116,6.63
Washington State,2009,Pac-10,914.0,-17.531,6.63
Western Kentucky,2009,Sun Belt,977.0,-21.377,-16.633333333333333
Western Michigan,2009,Mid-American,1292.0,-9.569,-11.346153846153847
West Virginia,2009,Big East,1642.0,7.877,6.625
Wisconsin,2009,Big Ten,1764.0,9.736,7.545454545454546
Wyoming,2009,Mountain West,1240.0,-8.617,-0.26666666666666666
Air Force,2010,Mountain West,1660.0,6.189,-2.7888888888888888
Akron,2010,Mid-American,960.0,-22.727,-12.823076923076924
Alabama,2010,SEC,2182.0,26.177,14.808333333333334
Arkansas,2010,SEC,1878.0,19.49,14.808333333333334
Arkansas State,2010,Sun Belt,1374.0,-7.796,-18.155555555555555
Army,2010,FBS Independents,1385.0,-5.035,-0.7666666666666667
Auburn,2010,SEC,1997.0,22.692,14.808333333333334
Ball State,2010,Mid-American,1169.0,-14.18,-12.823076923076924
Boston College,2010,ACC,1489.0,3.27,7.308333333333334
Bowling Green,2010,Mid-American,1142.0,-16.23,-12.823076923076924
Buffalo,2010,Mid-American,1048.0,-18.444,-12.823076923076924
Central Michigan,2010,Mid-American,1409.0,-7.506,-12.823076923076924
Cincinnati,2010,Big East,1497.0,1.135,3.9125
Clemson,2010,ACC,1658.0,10.379,7.308333333333334
Colorado State,2010,Mountain West,1026.0,-14.89,-2.7888888888888888
Connecticut,2010,Big East,1576.0,5.4,3.9125
Duke,2010,ACC,1329.0,-4.006,7.308333333333334
East Carolina,2010,Conference USA,1271.0,-6.154,-8.316666666666666
Eastern Michigan,2010,Mid-American,814.0,-23.68,-12.823076923076924
Florida,2010,SEC,1839.0,15.854,14.808333333333334
Florida Atlantic,2010,Sun Belt,1048.0,-17.489,-18.155555555555555
Florida International,2010,Sun Belt,1361.0,-6.252,-18.155555555555555
Florida State,2010,ACC,1857.0,17.167,7.308333333333334
Fresno State,2010,Western Athletic,1373.0,-2.482,-3.477777777777778
Georgia,2010,SEC,1769.0,13.783,14.808333333333334
Georgia Tech,2010,ACC,1580.0,5.292,7.308333333333334
Hawai'i,2010,Western Athletic,1575.0,5.528,-3.477777777777778
Houston,2010,Conference USA,1569.0,1.228,-8.316666666666666
Kent State,2010,Mid-American,1318.0,-8.736,-12.823076923076924
Kentucky,2010,SEC,1560.0,3.631,14.808333333333334
Louisiana,2010,Sun Belt,1059.0,-17.453,-18.155555555555555
Louisiana Monroe,2010,Sun Belt,1141.0,-15.289,-18.155555555555555
Louisiana Tech,2010,Western Athletic,1376.0,-6.581,-3.477777777777778
Louisville,2010,Big East,1631.0,3.977,3.9125
LSU,2010,SEC,1859.0,16.759,14.808333333333334
Marshall,2010,Conference USA,1262.0,-10.512,-8.316666666666666
Maryland,2010,ACC,1636.0,8.156,7.308333333333334
Memphis,2010,Conference USA,926.0,-22.973,-8.316666666666666
Miami,2010,ACC,1695.0,12.01,7.308333333333334
Miami (OH),2010,Mid-American,1372.0,-7.381,-12.823076923076924
Middle Tennessee,2010,Sun Belt,1316.0,-11.01,-18.155555555555555
Mississippi State,2010,SEC,1752.0,12.239,14.808333333333334
Navy,2010,FBS Independents,1649.0,2.73,-0.7666666666666667
NC State,2010,ACC,1705.0,11.588,7.308333333333334
Nevada,2010,Western Athletic,1790.0,11.105,-3.477777777777778
New Mexico,2010,Mountain West,950.0,-22.529,-2.7888888888888888
New Mexico State,2010,Western Athletic,882.0,-23.302,-3.477777777777778
North Carolina,2010,ACC,1650.0,10.378,7.308333333333334
Northern Illinois,2010,Mid-American,1815.0,6.82,-12.823076923076924
North Texas,2010,Sun Belt,1201.0,-12.786,-18.155555555555555
Notre Dame,2010,FBS Independents,1755.0,10.839,-0.7666666666666667
Ohio,2010,Mid-American,1347.0,-5.218,-12.823076923076924
Ole Miss,2010,SEC,1481.0,1.294,14.808333333333334
Pittsburgh,2010,Big East,1724.0,10.56,3.9125
Rice,2010,Conference USA,1190.0,-11.58,-8.316666666666666
Rutgers,2010,Big East,1367.0,-3.131,3.9125
San Diego State,2010,Mountain West,1582.0,5.339,-2.7888888888888888
San José State,2010,Western Athletic,1034.0,-17.466,-3.477777777777778
SMU,2010,Conference USA,1438.0,-2.25,-8.316666666666666
South Carolina,2010,SEC,1768.0,16.619,14.808333333333334
Southern Mississippi,2010,Conference USA,1599.0,1.611,-8.316666666666666
South Florida,2010,Big East,1575.0,4.865,3.9125
Syracuse,2010,Big East,1443.0,0.406,3.9125
TCU,2010,Mountain West,2145.0,24.783,-2.7888888888888888
Temple,2010,Mid-American,1513.0,-0.449,-12.823076923076924
Tennessee,2010,SEC,1647.0,6.363,14.808333333333334
Toledo,2010,Mid-American,1367.0,-6.85,-12.823076923076924
Troy,2010,Sun Belt,1504.0,-3.93,-18.155555555555555
Tulane,2010,Conference USA,1060.0,-17.293,-8.316666666666666
Tulsa,2010,Conference USA,1706.0,3.87,-8.316666666666666
UAB,2010,Conference USA,1271.0,-9.189,-8.316666666666666
UCF,2010,Conference USA,1693.0,6.629,-8.316666666666666
UNLV,2010,Mountain West,1034.0,-15.846,-2.7888888888888888
Utah State,2010,Western Athletic,1149.0,-11.993,-3.477777777777778
UTEP,2010,Conference USA,1302.0,-10.087,-8.316666666666666
Vanderbilt,2010,SEC,1210.0,-7.714,14.808333333333334
Virginia,2010,ACC,1337.0,-1.928,7.308333333333334
Virginia Tech,2010,ACC,1912.0,18.365,7.308333333333334
Wake Forest,2010,ACC,1230.0,-6.033,7.308333333333334
Western Kentucky,2010,Sun Belt,1114.0,-15.147,-18.155555555555555
Western Michigan,2010,Mid-American,1549.0,-2.997,-12.823076923076924
West Virginia,2010,Big East,1753.0,12.459,3.9125
Wyoming,2010,Mountain West,1274.0,-9.116,-2.7888888888888888
Air Force,2011,Mountain West,1580.0,1.798,-5.2875
Akron,2011,Mid-American,745.0,-26.626,-7.730769230769231
Alabama,2011,SEC,2233.0,30.179,13.291666666666666
Arizona,2011,Pac-12,1482.0,4.193,7.475
Arizona State,2011,Pac-12,1591.0,11.315,7.475
Arkansas,2011,SEC,1941.0,16.611,13.291666666666666
Arkansas State,2011,Sun Belt,1557.0,-0.288,-16.144444444444446
Army,2011,FBS Independents,1302.0,-7.956,-1.55
Auburn,2011,SEC,1621.0,4.129,13.291666666666666
Ball State,2011,Mid-American,1198.0,-10.79,-7.730769230769231
Baylor,2011,Big 12,1675.0,12.001,12.37
Boise State,2011,Mountain West,2062.0,21.896,-5.2875
Boston College,2011,ACC,1483.0,-0.547,3.933333333333333
Bowling Green,2011,Mid-American,1233.0,-9.088,-7.730769230769231
Buffalo,2011,Mid-American,1139.0,-13.817,-7.730769230769231
BYU,2011,FBS Independents,1662.0,6.681,-1.55
California,2011,Pac-12,1569.0,10.076,7.475
Central Michigan,2011,Mid-American,1192.0,-13.327,-7.730769230769231
Cincinnati,2011,Big East,1655.0,9.264,6.125
Clemson,2011,ACC,1652.0,8.292,3.933333333333333
Colorado,2011,Pac-12,1229.0,-5.591,7.475
Colorado State,2011,Mountain West,1144.0,-14.61,-5.2875
Connecticut,2011,Big East,1506.0,-2.343,6.125
Duke,2011,ACC,1342.0,-6.123,3.933333333333333
East Carolina,2011,Conference USA,1304.0,-7.521,-4.983333333333333
Eastern Michigan,2011,Mid-American,1096.0,-13.992,-7.730769230769231
Florida,2011,SEC,1741.0,10.737,13.291666666666666
Florida Atlantic,2011,Sun Belt,909.0,-22.835,-16.144444444444446
Florida International,2011,Sun Belt,1425.0,-5.079,-16.144444444444446
Florida State,2011,ACC,1899.0,15.322,3.933333333333333
Georgia,2011,SEC,1866.0,15.356,13.291666666666666
Georgia Tech,2011,ACC,1659.0,4.999,3.933333333333333
Houston,2011,Conference USA,1956.0,14.74,-4.983333333333333
Illinois,2011,Big Ten,1522.0,5.652,9.008333333333333
Indiana,2011,Big Ten,1134.0,-12.669,9.008333333333333
Iowa,2011,Big Ten,1641.0,5.217,9.008333333333333
Iowa State,2011,Big 12,1489.0,-0.46,12.37
Kansas,2011,Big 12,1063.0,-9.36,12.37
Kansas State,2011,Big 12,1664.0,8.182,12.37
Kent State,2011,Mid-American,1294.0,-10.573,-7.730769230769231
Kentucky,2011,SEC,1330.0,-3.19,13.291666666666666
Louisiana,2011,Sun Belt,1360.0,-7.355,-16.144444444444446
Louisiana Monroe,2011,Sun Belt,1356.0,-7.107,-16.144444444444446
Louisiana Tech,2011,Western Athletic,1600.0,2.505,-7.7
Louisville,2011,Big East,1606.0,0.467,6.125
LSU,2011,SEC,2195.0,29.739,13.291666666666666
Marshall,2011,Conference USA,1332.0,-7.372,-4.983333333333333
Maryland,2011,ACC,1323.0,-4.642,3.933333333333333
Memphis,2011,Conference USA,903.0,-24.647,-4.983333333333333
Miami,2011,ACC,1706.0,9.274,3.933333333333333
Miami (OH),2011,Mid-American,1405.0,-6.236,-7.730769230769231
Michigan,2011,Big Ten,1849.0,17.609,9.008333333333333
Michigan State,2011,Big Ten,1838.0,14.176,9.008333333333333
Middle Tennessee,2011,Sun Belt,986.0,-20.323,-16.144444444444446
Minnesota,2011,Big Ten,1301.0,-7.084,9.008333333333333
Mississippi State,2011,SEC,1657.0,10.087,13.291666666666666
Navy,2011,FBS Independents,1491.0,-0.277,-1.55
NC State,2011,ACC,1660.0,2.446,3.933333333333333
Nebraska,2011,Big Ten,1679.0,11.017,9.008333333333333
New Mexico,2011,Mountain West,847.0,-25.431,-5.2875
New Mexico State,2011,Western Athletic,1015.0,-15.322,-7.7
North Carolina,2011,ACC,1606.0,6.051,3.933333333333333
Northern Illinois,2011,Mid-American,1729.0,0.385,-7.730769230769231
North Texas,2011,Sun Belt,1353.0,-12.001,-16.144444444444446
Northwestern,2011,Big Ten,1516.0,1.956,9.008333333333333
Notre Dame,2011,FBS Independents,1822.0,15.723,-1.55
Ohio,2011,Mid-American,1464.0,-3.263,-7.730769230769231
Ohio State,2011,Big Ten,1754.0,10.201,9.008333333333333
Oklahoma,2011,Big 12,1989.0,23.78,12.37
Oklahoma State,2011,Big 12,2157.0,26.999,12.37
Ole Miss,2011,SEC,1237.0,-5.951,13.291666666666666
Oregon,2011,Pac-12,2082.0,26.39,7.475
Oregon State,2011,Pac-12,1483.0,1.697,7.475
Penn State,2011,Big Ten,1601.0,7.333,9.008333333333333
Pittsburgh,2011,Big East,1566.0,2.882,6.125
Purdue,2011,Big Ten,1388.0,-0.016,9.008333333333333
Rice,2011,Conference USA,1177.0,-9.552,-4.983333333333333
Rutgers,2011,Big East,1562.0,4.014,6.125
San Diego State,2011,Mountain West,1510.0,-0.253,-5.2875
San José State,2011,Western Athletic,1203.0,-7.229,-7.7
SMU,2011,Conference USA,1502.0,1.34,-4.983333333333333
South Carolina,2011,SEC,1865.0,14.591,13.291666666666666
Southern Mississippi,2011,Conference USA,1829.0,9.032,-4.983333333333333
South Florida,2011,Big East,1593.0,5.737,6.125
Stanford,2011,Pac-12,2052.0,24.437,7.475
Syracuse,2011,Big East,1412.0,-3.292,6.125
Tennessee,2011,SEC,1527.0,6.129,13.291666666666666
Texas,2011,Big 12,1687.0,12.54,12.37
Texas Tech,2011,Big 12,1322.0,2.824,12.37
Toledo,2011,Mid-American,1608.0,6.352,-7.730769230769231
Troy,2011,Sun Belt,1178.0,-13.628,-16.144444444444446
Tulane,2011,Conference USA,950.0,-20.31,-4.983333333333333
Tulsa,2011,Conference USA,1718.0,7.151,-4.983333333333333
UAB,2011,Conference USA,1038.0,-14.5,-4.983333333333333
UCF,2011,Conference USA,1589.0,2.186,-4.983333333333333
UCLA,2011,Pac-12,1368.0,3.351,7.475
UNLV,2011,Mountain West,999.0,-19.939,-5.2875
USC,2011,Pac-12,1895.0,18.239,7.475
Utah,2011,Pac-12,1631.0,7.176,7.475
Utah State,2011,Western Athletic,1385.0,-2.328,-7.7
UTEP,2011,Conference USA,1335.0,-8.675,-4.983333333333333
Vanderbilt,2011,SEC,1609.0,6.637,13.291666666666666
Virginia,2011,ACC,1394.0,0.211,3.933333333333333
Virginia Tech,2011,ACC,1767.0,11.827,3.933333333333333
Wake Forest,2011,ACC,1356.0,-0.249,3.933333333333333
Washington,2011,Pac-12,1506.0,4.826,7.475
Washington State,2011,Pac-12,1364.0,0.763,7.475
Western Kentucky,2011,Sun Belt,1382.0,-8.316,-16.144444444444446
Western Michigan,2011,Mid-American,1525.0,-0.432,-7.730769230769231
Wisconsin,2011,Big Ten,2107.0,22.985,9.008333333333333
Wyoming,2011,Mountain West,1365.0,-6.259,-5.2875
Akron,2012,Mid-American,966.0,-15.684,-10.546153846153846
Alabama,2012,SEC,2271.0,30.632,15.721428571428572
Arizona,2012,Pac-12,1477.0,6.941,9.5
Arizona State,2012,Pac-12,1776.0,13.028,9.5
Arkansas,2012,SEC,1561.0,3.147,15.721428571428572
Arkansas State,2012,Sun Belt,1681.0,2.55,-9.7
Army,2012,FBS Independents,1223.0,-11.584,-0.275
Auburn,2012,SEC,1342.0,0.349,15.721428571428572
Ball State,2012,Mid-American,1412.0,-1.243,-10.546153846153846
Baylor,2012,Big 12,1803.0,15.111,13.46
Boston College,2012,ACC,1324.0,-2.611,5.483333333333333
Bowling Green,2012,Mid-American,1425.0,-3.142,-10.546153846153846
Buffalo,2012,Mid-American,1189.0,-10.621,-10.546153846153846
BYU,2012,FBS Independents,1756.0,10.905,-0.275
California,2012,Pac-12,1332.0,1.813,9.5
Central Michigan,2012,Mid-American,1267.0,-10.26,-10.546153846153846
Clemson,2012,ACC,1852.0,17.239,5.483333333333333
Colorado,2012,Pac-12,961.0,-18.583,9.5
Duke,2012,ACC,1345.0,-1.674,5.483333333333333
East Carolina,2012,Conference USA,1371.0,-4.155,-8.091666666666667
Eastern Michigan,2012,Mid-American,1083.0,-16.476,-10.546153846153846
Florida,2012,SEC,1866.0,18.958,15.721428571428572
Florida State,2012,ACC,1977.0,22.722,5.483333333333333
Georgia,2012,SEC,2005.0,22.741,15.721428571428572
Georgia Tech,2012,ACC,1660.0,7.39,5.483333333333333
Illinois,2012,Big Ten,1179.0,-8.648,8.083333333333334
Indiana,2012,Big Ten,1275.0,-4.132,8.083333333333334
Iowa,2012,Big Ten,1494.0,1.058,8.083333333333334
Iowa State,2012,Big 12,1532.0,5.234,13.46
Kansas,2012,Big 12,1063.0,-6.842,13.46
Kansas State,2012,Big 12,1876.0,20.285,13.46
Kent State,2012,Mid-American,1545.0,1.206,-10.546153846153846
Kentucky,2012,SEC,1171.0,-4.591,15.721428571428572
Louisiana,2012,Sun Belt,1501.0,0.4,-9.7
Louisiana Monroe,2012,Sun Belt,1404.0,-2.136,-9.7
LSU,2012,SEC,1990.0,19.312,15.721428571428572
Marshall,2012,Conference USA,1335.0,-6.529,-8.091666666666667
Maryland,2012,ACC,1359.0,-3.181,5.483333333333333
Miami,2012,ACC,1628.0,7.033,5.483333333333333
Miami (OH),2012,Mid-American,1162.0,-11.6,-10.546153846153846
Michigan,2012,Big Ten,1866.0,15.862,8.083333333333334
Michigan State,2012,Big Ten,1705.0,9.302,8.083333333333334
Minnesota,2012,Big Ten,1376.0,-1.222,8.083333333333334
Mississippi State,2012,SEC,1639.0,8.334,15.721428571428572
Missouri,2012,SEC,1556.0,8.364,15.721428571428572
Navy,2012,FBS Independents,1366.0,-5.027,-0.275
NC State,2012,ACC,1543.0,3.46,5.483333333333333
Nebraska,2012,Big Ten,1670.0,12.241,8.083333333333334
North Carolina,2012,ACC,1707.0,10.556,5.483333333333333
Northern Illinois,2012,Mid-American,1794.0,8.654,-10.546153846153846
Northwestern,2012,Big Ten,1686.0,8.028,8.083333333333334
Notre Dame,2012,FBS Independents,1924.0,20.776,-0.275
Ohio,2012,Mid-American,1462.0,-2.978,-10.546153846153846
Ohio State,2012,Big Ten,1864.0,15.753,8.083333333333334
Oklahoma,2012,Big 12,1876.0,21.743,13.46
Oklahoma State,2012,Big 12,2020.0,20.57,13.46
Ole Miss,2012,SEC,1639.0,10.379,15.721428571428572
Oregon,2012,Pac-12,2162.0,25.023,9.5
Oregon State,2012,Pac-12,1734.0,14.746,9.5
Penn State,2012,Big Ten,1747.0,9.547,8.083333333333334
Purdue,2012,Big Ten,1357.0,1.069,8.083333333333334
Rice,2012,Conference USA,1470.0,-5.052,-8.091666666666667
South Alabama,2012,Sun Belt,1190.0,-16.926,-9.7
South Carolina,2012,SEC,1888.0,19.152,15.721428571428572
Southern Mississippi,2012,Conference USA,1153.0,-15.531,-8.091666666666667
Stanford,2012,Pac-12,1972.0,18.548,9.5
TCU,2012,Big 12,1725.0,11.137,13.46
Tennessee,2012,SEC,1529.0,8.91,15.721428571428572
Texas,2012,Big 12,1683.0,15.609,13.46
Texas A&M,2012,SEC,2106.0,24.223,15.721428571428572
Texas Tech,2012,Big 12,1545.0,10.31,13.46
Toledo,2012,Mid-American,1471.0,-2.975,-10.546153846153846
Troy,2012,Sun Belt,1376.0,-5.426,-9.7
Tulane,2012,Conference USA,946.0,-18.127,-8.091666666666667
Tulsa,2012,Conference USA,1702.0,5.45,-8.091666666666667
UAB,2012,Conference USA,1052.0,-13.858,-8.091666666666667
UCLA,2012,Pac-12,1675.0,12.375,9.5
UMass,2012,Mid-American,885.0,-25.552,-10.546153846153846
USC,2012,Pac-12,1783.0,16.078,9.5
Utah,2012,Pac-12,1513.0,6.621,9.5
UTEP,2012,Conference USA,1286.0,-9.433,-8.091666666666667
Vanderbilt,2012,SEC,1733.0,11.136,15.721428571428572
Virginia,2012,ACC,1382.0,-2.006,5.483333333333333
Virginia Tech,2012,ACC,1599.0,6.503,5.483333333333333
Wake Forest,2012,ACC,1192.0,-7.648,5.483333333333333
Washington,2012,Pac-12,1519.0,5.43,9.5
Washington State,2012,Pac-12,1217.0,-6.154,9.5
Western Kentucky,2012,Sun Belt,1412.0,-3.78,-9.7
Western Michigan,2012,Mid-American,1387.0,-5.777,-10.546153846153846
West Virginia,2012,Big 12,1594.0,7.865,13.46
Wisconsin,2012,Big Ten,2013.0,14.022,8.083333333333334
Air Force,2013,Mountain West,1071.0,-16.682,-5.908333333333333
Akron,2013,Mid-American,1121.0,-12.121,-12.792307692307693
Alabama,2013,SEC,2114.0,28.891,15.45
Arizona,2013,Pac-12,1652.0,13.168,14.0
Arizona State,2013,Pac-12,1823.0,21.855,14.0
Arkansas,2013,SEC,1390.0,-0.739,15.45
Arkansas State,2013,Sun Belt,1469.0,-5.217,-16.125
Army,2013,FBS Independents,1174.0,-14.127,-12.066666666666666
Auburn,2013,SEC,1844.0,19.925,15.45
Ball State,2013,Mid-American,1577.0,1.4,-12.792307692307693
Baylor,2013,Big 12,2040.0,25.521,10.6
Boise State,2013,Mountain West,1730.0,8.786,-5.908333333333333
Boston College,2013,ACC,1409.0,2.495,10.264285714285714
Bowling Green,2013,Mid-American,1792.0,8.612,-12.792307692307693
Buffalo,2013,Mid-American,1456.0,-2.154,-12.792307692307693
BYU,2013,FBS Independents,1733.0,11.874,-12.066666666666666
California,2013,Pac-12,1095.0,-7.865,14.0
Central Michigan,2013,Mid-American,1298.0,-12.566,-12.792307692307693
Cincinnati,2013,American Athletic,1656.0,5.657,-1.67
Clemson,2013,ACC,1928.0,19.981,10.264285714285714
Colorado,2013,Pac-12,1109.0,-5.744,14.0
Colorado State,2013,Mountain West,1588.0,0.697,-5.908333333333333
Connecticut,2013,American Athletic,1392.0,-8.065,-1.67
Duke,2013,ACC,1577.0,6.548,10.264285714285714
Eastern Michigan,2013,Mid-American,830.0,-26.06,-12.792307692307693
Florida,2013,SEC,1646.0,9.776,15.45
Florida Atlantic,2013,Conference USA,1387.0,-3.112,-11.878571428571428
Florida International,2013,Conference USA,888.0,-27.467,-11.878571428571428
Florida State,2013,ACC,2367.0,33.166,10.264285714285714
Fresno State,2013,Mountain West,1663.0,8.093,-5.908333333333333
Georgia,2013,SEC,1870.0,18.376,15.45
Georgia State,2013,Sun Belt,1099.0,-23.121,-16.125
Georgia Tech,2013,ACC,1698.0,12.436,10.264285714285714
Hawai'i,2013,Mountain West,1208.0,-9.249,-5.908333333333333
Houston,2013,American Athletic,1668.0,6.399,-1.67
Iowa State,2013,Big 12,1392.0,-2.672,10.6
