name,team,year,games,wins,losses
Eli Abbott,Alabama,1902,8,4,4
Earl Abell,Colgate,1928,9,6,3
Earl Abell,Virginia,1929,9,4,3
Earl Abell,Virginia,1930,10,4,6
Earl Able,Mississippi State,1923,9,5,2
Earl Able,Mississippi State,1924,9,5,4
Hobbs Adams,Kansas State,1940,9,2,7
Hobbs Adams,Kansas State,1941,9,2,5
Hobbs Adams,Kansas State,1946,9,0,9
Steve Addazio,Temple,2011,13,9,4
Steve Addazio,Temple,2012,11,4,7
Steve Addazio,Boston College,2013,13,7,6
Steve Addazio,Boston College,2014,13,7,6
Steve Addazio,Boston College,2015,12,3,9
Steve Addazio,Boston College,2016,13,7,6
Steve Addazio,Boston College,2017,13,7,6
Steve Addazio,Boston College,2018,12,7,5
Steve Addazio,Boston College,2019,12,6,6
Steve Addazio,Colorado State,2020,4,1,3
Steve Addazio,Colorado State,2021,12,3,9
Alex Agase,Northwestern,1964,9,3,6
Alex Agase,Northwestern,1965,10,4,6
Alex Agase,Northwestern,1966,10,3,6
Alex Agase,Northwestern,1967,10,3,7
Alex Agase,Northwestern,1968,10,1,9
Alex Agase,Northwestern,1969,10,3,7
Alex Agase,Northwestern,1970,10,6,4
Alex Agase,Northwestern,1971,11,7,4
Alex Agase,Northwestern,1972,11,2,9
Alex Agase,Purdue,1973,11,5,6
Alex Agase,Purdue,1974,11,4,6
Alex Agase,Purdue,1975,11,4,7
Alex Agase,Purdue,1976,11,5,6
Shaun Aguano,Arizona State,2022,9,2,7
Jim Aiken,Nevada,1946,9,7,2
Jim Aiken,Oregon,1947,10,7,3
Jim Aiken,Oregon,1948,11,9,2
Jim Aiken,Oregon,1949,10,4,6
Jim Aiken,Oregon,1950,10,1,9
Fred Akers,Wyoming,1975,11,2,9
Fred Akers,Wyoming,1976,12,8,4
Fred Akers,Texas,1977,12,11,1
Fred Akers,Texas,1978,12,9,3
Fred Akers,Texas,1979,12,9,3
Fred Akers,Texas,1980,12,7,5
Fred Akers,Texas,1981,12,10,1
Fred Akers,Texas,1982,12,9,3
Fred Akers,Texas,1983,12,11,1
Fred Akers,Texas,1984,12,7,4
Fred Akers,Texas,1985,12,8,4
Fred Akers,Texas,1986,11,5,6
Fred Akers,Purdue,1987,11,3,7
Fred Akers,Purdue,1988,11,4,7
Fred Akers,Purdue,1989,11,3,8
Fred Akers,Purdue,1990,11,2,9
Tim Albin,Ohio,2021,12,3,9
Tim Albin,Ohio,2022,14,10,4
Tim Albin,Ohio,2023,3,2,1
Ray Alborn,Rice,1978,11,2,9
Ray Alborn,Rice,1979,11,1,10
Ray Alborn,Rice,1980,11,5,6
Ray Alborn,Rice,1981,11,4,7
Ray Alborn,Rice,1982,11,0,11
Ray Alborn,Rice,1983,11,1,10
Josh Aldridge,Liberty,2022,1,0,1
S.M. Alexander,Duke,1923,9,5,4
William Alexander,Georgia Tech,1920,9,8,1
William Alexander,Georgia Tech,1921,9,8,1
William Alexander,Georgia Tech,1922,9,7,2
William Alexander,Georgia Tech,1923,9,3,2
William Alexander,Georgia Tech,1924,9,5,3
William Alexander,Georgia Tech,1925,9,6,2
William Alexander,Georgia Tech,1926,9,4,5
William Alexander,Georgia Tech,1927,10,8,1
William Alexander,Georgia Tech,1928,10,10,0
William Alexander,Georgia Tech,1929,9,3,6
William Alexander,Georgia Tech,1930,9,2,6
William Alexander,Georgia Tech,1931,10,2,7
William Alexander,Georgia Tech,1932,10,4,5
William Alexander,Georgia Tech,1933,10,5,5
William Alexander,Georgia Tech,1934,10,1,9
William Alexander,Georgia Tech,1935,10,5,5
William Alexander,Georgia Tech,1936,11,5,5
William Alexander,Georgia Tech,1937,10,6,3
William Alexander,Georgia Tech,1938,10,3,4
William Alexander,Georgia Tech,1939,10,8,2
William Alexander,Georgia Tech,1940,10,3,7
William Alexander,Georgia Tech,1941,9,3,6
William Alexander,Georgia Tech,1942,11,9,2
William Alexander,Georgia Tech,1943,11,8,3
William Alexander,Georgia Tech,1944,11,8,3
Phog Allen,Kansas,1920,8,5,2
Pokey Allen,Boise State,1996,2,1,1
Terry Allen,Kansas,1997,11,5,6
Terry Allen,Kansas,1998,11,4,7
Terry Allen,Kansas,1999,12,5,7
Terry Allen,Kansas,2000,11,4,7
Terry Allen,Kansas,2001,8,2,6
Tom Allen,Indiana,2016,1,0,1
Tom Allen,Indiana,2017,12,5,7
Tom Allen,Indiana,2018,12,5,7
Tom Allen,Indiana,2019,13,8,5
Tom Allen,Indiana,2020,8,6,2
Tom Allen,Indiana,2021,12,2,10
Tom Allen,Indiana,2022,12,4,8
Tom Allen,Indiana,2023,2,1,1
Dave Allerdice,Texas,1911,7,5,2
Dave Allerdice,Texas,1912,8,7,1
Dave Allerdice,Texas,1913,8,7,1
Dave Allerdice,Texas,1914,8,8,0
Dave Allerdice,Texas,1915,9,6,3
Tom Alley,Louisville,1973,11,5,6
Tom Alley,Louisville,1974,11,4,7
Stub Allison,Washington,1920,6,1,5
Stub Allison,California,1935,10,9,1
Stub Allison,California,1936,11,6,5
Stub Allison,California,1937,11,10,0
Stub Allison,California,1938,11,10,1
Stub Allison,California,1939,10,3,7
Stub Allison,California,1940,10,4,6
Stub Allison,California,1941,9,4,5
Stub Allison,California,1942,10,5,5
Stub Allison,California,1943,10,4,6
Stub Allison,California,1944,10,3,6
Billy Alton,UTEP,1981,9,1,8
Barry Alvarez,Wisconsin,1990,11,1,10
Barry Alvarez,Wisconsin,1991,11,5,6
Barry Alvarez,Wisconsin,1992,11,5,6
Barry Alvarez,Wisconsin,1993,12,10,1
Barry Alvarez,Wisconsin,1994,12,7,4
Barry Alvarez,Wisconsin,1995,11,4,5
Barry Alvarez,Wisconsin,1996,13,8,5
Barry Alvarez,Wisconsin,1997,13,8,5
Barry Alvarez,Wisconsin,1998,12,11,1
Barry Alvarez,Wisconsin,1999,12,10,2
Barry Alvarez,Wisconsin,2000,13,9,4
Barry Alvarez,Wisconsin,2001,12,5,7
Barry Alvarez,Wisconsin,2002,14,8,6
Barry Alvarez,Wisconsin,2003,13,7,6
Barry Alvarez,Wisconsin,2004,12,9,3
Barry Alvarez,Wisconsin,2005,13,10,3
Barry Alvarez,Wisconsin,2012,1,0,1
Barry Alvarez,Wisconsin,2014,1,1,0
Chuck Amato,NC State,2000,12,8,4
Chuck Amato,NC State,2001,12,7,5
Chuck Amato,NC State,2002,14,11,3
Chuck Amato,NC State,2003,13,8,5
Chuck Amato,NC State,2004,11,5,6
Chuck Amato,NC State,2005,12,7,5
Chuck Amato,NC State,2006,12,3,9
Paul Amen,Wake Forest,1956,10,2,5
Paul Amen,Wake Forest,1957,10,0,10
Paul Amen,Wake Forest,1958,10,3,7
Paul Amen,Wake Forest,1959,10,6,4
Knowlton Ames,Purdue,1892,8,8,0
Knowlton Ames,Northwestern,1892,10,5,3
Tom Amstutz,Toledo,2001,12,10,2
Tom Amstutz,Toledo,2002,14,9,5
Tom Amstutz,Toledo,2003,12,8,4
Tom Amstutz,Toledo,2004,13,9,4
Tom Amstutz,Toledo,2005,12,9,3
Tom Amstutz,Toledo,2006,12,5,7
Tom Amstutz,Toledo,2007,12,5,7
Tom Amstutz,Toledo,2008,12,3,9
Gary Andersen,Utah State,2009,12,4,8
Gary Andersen,Utah State,2010,12,4,8
Gary Andersen,Utah State,2011,13,7,6
Gary Andersen,Utah State,2012,13,11,2
Gary Andersen,Wisconsin,2013,13,9,4
Gary Andersen,Wisconsin,2014,13,10,3
Gary Andersen,Oregon State,2015,12,2,10
Gary Andersen,Oregon State,2016,12,4,8
Gary Andersen,Oregon State,2017,6,1,5
Gary Andersen,Utah State,2019,13,7,6
Gary Andersen,Utah State,2020,3,0,3
Blake Anderson,Arkansas State,2014,13,7,6
Blake Anderson,Arkansas State,2015,13,9,4
Blake Anderson,Arkansas State,2016,13,8,5
Blake Anderson,Arkansas State,2017,12,7,5
Blake Anderson,Arkansas State,2018,13,8,5
Blake Anderson,Arkansas State,2019,13,8,5
Blake Anderson,Arkansas State,2020,11,4,7
Blake Anderson,Utah State,2021,14,11,3
Blake Anderson,Utah State,2022,13,6,7
Blake Anderson,Utah State,2023,2,1,1
Blake Anderson,Utah State,2021,0,0,0
Dick Anderson,Rutgers,1984,10,7,3
Dick Anderson,Rutgers,1985,11,2,8
Dick Anderson,Rutgers,1986,11,5,5
Dick Anderson,Rutgers,1987,11,6,5
Dick Anderson,Rutgers,1988,11,5,6
Dick Anderson,Rutgers,1989,11,2,7
Edward Anderson,Holy Cross,1938,9,8,1
Edward Anderson,Iowa,1939,8,6,1
Edward Anderson,Iowa,1940,8,4,4
Edward Anderson,Iowa,1941,8,3,5
Edward Anderson,Iowa,1942,10,6,4
Edward Anderson,Iowa,1946,9,5,4
Edward Anderson,Iowa,1947,9,3,5
Edward Anderson,Iowa,1948,9,4,5
Edward Anderson,Iowa,1949,9,4,5
Edward Anderson,Holy Cross,1950,10,4,5
Edward Anderson,Holy Cross,1951,10,8,2
Edward Anderson,Holy Cross,1952,10,8,2
Edward Anderson,Holy Cross,1953,10,5,5
Edward Anderson,Holy Cross,1954,10,3,7
Edward Anderson,Holy Cross,1955,10,6,4
Edward Anderson,Holy Cross,1956,9,5,3
Edward Anderson,Holy Cross,1957,9,5,3
Edward Anderson,Holy Cross,1958,9,6,3
Edward Anderson,Holy Cross,1959,10,6,4
Edward Anderson,Holy Cross,1960,10,6,4
Edward Anderson,Holy Cross,1961,10,7,3
Edward Anderson,Holy Cross,1962,10,6,4
Edward Anderson,Holy Cross,1963,9,2,6
Edward Anderson,Holy Cross,1964,10,5,5
Harry Anderson,San José State,1965,10,5,5
Harry Anderson,San José State,1966,10,3,7
Harry Anderson,San José State,1967,9,2,7
Harry Anderson,San José State,1968,10,3,7
Hunk Anderson,Notre Dame,1931,9,6,2
Hunk Anderson,Notre Dame,1932,9,7,2
Hunk Anderson,Notre Dame,1933,9,3,5
Hunk Anderson,NC State,1934,9,2,6
Hunk Anderson,NC State,1935,10,6,4
Hunk Anderson,NC State,1936,10,3,7
John Anderson,Rice,1918,7,1,5
John Anderson,Brown,1973,8,4,3
John Anderson,Brown,1974,9,5,4
John Anderson,Brown,1975,9,6,2
John Anderson,Brown,1976,9,8,1
John Anderson,Brown,1977,9,7,2
John Anderson,Brown,1978,9,6,3
John Anderson,Brown,1979,9,6,3
John Anderson,Brown,1980,10,6,4
John Anderson,Brown,1981,10,3,7
Lew Andreas,Syracuse,1927,10,5,3
Lew Andreas,Syracuse,1928,9,4,4
Lew Andreas,Syracuse,1929,9,6,3
Dee Andros,Idaho,1962,9,2,6
Dee Andros,Idaho,1963,9,5,4
Dee Andros,Idaho,1964,10,4,6
Dee Andros,Oregon State,1965,10,5,5
Dee Andros,Oregon State,1966,10,7,3
Dee Andros,Oregon State,1967,10,7,2
Dee Andros,Oregon State,1968,10,7,3
Dee Andros,Oregon State,1969,10,6,4
Dee Andros,Oregon State,1970,11,6,5
Dee Andros,Oregon State,1971,11,5,6
Dee Andros,Oregon State,1972,11,2,9
Dee Andros,Oregon State,1973,11,2,9
Dee Andros,Oregon State,1974,11,3,8
Dee Andros,Oregon State,1975,11,1,10
Moe Ankney,Bowling Green,1986,11,5,6
Moe Ankney,Bowling Green,1987,11,5,6
Moe Ankney,Bowling Green,1988,11,2,8
Moe Ankney,Bowling Green,1989,11,5,6
Moe Ankney,Bowling Green,1990,10,3,5
Major Applewhite,Houston,2016,1,0,1
Major Applewhite,Houston,2017,12,7,5
Major Applewhite,Houston,2018,13,8,5
Dave Aranda,Baylor,2020,9,2,7
Dave Aranda,Baylor,2021,14,12,2
Dave Aranda,Baylor,2022,13,6,7
Dave Aranda,Baylor,2023,2,0,2
Phillip Arbuckle,Rice,1914,8,3,2
Phillip Arbuckle,Rice,1915,8,5,3
Phillip Arbuckle,Rice,1916,9,6,1
Phillip Arbuckle,Rice,1917,8,7,1
Phillip Arbuckle,Rice,1919,9,8,1
Phillip Arbuckle,Rice,1920,8,4,2
Phillip Arbuckle,Rice,1921,9,4,4
Phillip Arbuckle,Rice,1922,8,4,4
Phillip Arbuckle,Rice,1923,8,3,5
Mike Archer,LSU,1987,12,10,1
Mike Archer,LSU,1988,12,8,4
Mike Archer,LSU,1989,11,4,7
Mike Archer,LSU,1990,11,5,6
Bruce Arians,Temple,1983,11,4,7
Bruce Arians,Temple,1984,11,6,5
Bruce Arians,Temple,1985,11,4,7
Bruce Arians,Temple,1986,11,6,5
Bruce Arians,Temple,1987,11,3,8
Bruce Arians,Temple,1988,11,4,7
Ike Armstrong,Utah,1925,8,6,2
Ike Armstrong,Utah,1926,7,7,0
Ike Armstrong,Utah,1927,7,3,3
Ike Armstrong,Utah,1928,7,5,0
Ike Armstrong,Utah,1929,7,7,0
Ike Armstrong,Utah,1930,8,8,0
Ike Armstrong,Utah,1931,9,7,2
Ike Armstrong,Utah,1932,8,6,1
Ike Armstrong,Utah,1933,8,5,3
Ike Armstrong,Utah,1934,8,5,3
Ike Armstrong,Utah,1935,8,4,3
Ike Armstrong,Utah,1936,9,6,3
Ike Armstrong,Utah,1937,8,5,3
Ike Armstrong,Utah,1938,10,7,1
Ike Armstrong,Utah,1939,9,6,1
Ike Armstrong,Utah,1940,9,7,2
Ike Armstrong,Utah,1941,8,6,0
Ike Armstrong,Utah,1942,9,6,3
Ike Armstrong,Utah,1943,7,0,7
Ike Armstrong,Utah,1944,8,5,2
Ike Armstrong,Utah,1945,8,4,4
Ike Armstrong,Utah,1946,11,8,3
Ike Armstrong,Utah,1947,10,8,1
Ike Armstrong,Utah,1948,10,8,1
Ike Armstrong,Utah,1949,10,2,7
Zach Arnett,Mississippi State,2022,1,1,0
Zach Arnett,Mississippi State,2023,2,2,0
Bill Arnsparger,LSU,1984,12,8,3
Bill Arnsparger,LSU,1985,12,9,2
Bill Arnsparger,LSU,1986,12,9,3
Marcus Arroyo,UNLV,2020,6,0,6
Marcus Arroyo,UNLV,2021,12,2,10
Marcus Arroyo,UNLV,2022,12,5,7
Dave Arslanian,Utah State,1998,11,3,8
Dave Arslanian,Utah State,1999,11,4,7
Sarkis Arslanian,Colorado State,1973,11,5,6
Sarkis Arslanian,Colorado State,1974,11,4,6
Sarkis Arslanian,Colorado State,1975,11,6,5
Sarkis Arslanian,Colorado State,1976,11,6,5
Sarkis Arslanian,Colorado State,1977,12,9,2
Sarkis Arslanian,Colorado State,1978,11,5,6
Sarkis Arslanian,Colorado State,1979,12,4,7
Sarkis Arslanian,Colorado State,1980,11,6,4
Sarkis Arslanian,Colorado State,1981,6,0,6
Tom Arth,Akron,2019,12,0,12
Tom Arth,Akron,2020,6,1,5
Tom Arth,Akron,2021,9,2,7
Chris Ash,Rutgers,2016,12,2,10
Chris Ash,Rutgers,2017,12,4,8
Chris Ash,Rutgers,2018,12,1,11
Chris Ash,Rutgers,2019,4,1,3
Charles Atkinson,BYU,1949,11,0,11
Charles Atkinson,BYU,1950,10,4,5
Charles Atkinson,BYU,1951,10,6,3
Charles Atkinson,BYU,1952,10,4,6
Charles Atkinson,BYU,1953,10,2,7
Charles Atkinson,BYU,1954,9,1,8
Charles Atkinson,BYU,1955,10,1,9
Chris Ault,Nevada,1992,12,7,5
Chris Ault,Nevada,1994,11,9,2
Chris Ault,Nevada,1995,12,9,3
Chris Ault,Nevada,2004,12,5,7
Chris Ault,Nevada,2005,12,9,3
Chris Ault,Nevada,2006,13,8,5
Chris Ault,Nevada,2007,13,6,7
Chris Ault,Nevada,2008,13,7,6
Chris Ault,Nevada,2009,13,8,5
Chris Ault,Nevada,2010,14,13,1
Chris Ault,Nevada,2011,13,7,6
Chris Ault,Nevada,2012,13,7,6
Andy Avalos,Boise State,2021,12,7,5
Andy Avalos,Boise State,2022,14,10,4
Andy Avalos,Boise State,2023,2,0,2
Joe Avezzano,Oregon State,1980,11,0,11
Joe Avezzano,Oregon State,1981,11,1,10
Joe Avezzano,Oregon State,1982,11,1,9
Joe Avezzano,Oregon State,1983,11,2,8
Joe Avezzano,Oregon State,1984,11,2,9
Dino Babers,Bowling Green,2014,14,8,6
Dino Babers,Bowling Green,2015,13,10,3
Dino Babers,Syracuse,2016,12,4,8
Dino Babers,Syracuse,2017,12,4,8
Dino Babers,Syracuse,2018,13,10,3
Dino Babers,Syracuse,2019,12,5,7
Dino Babers,Syracuse,2020,11,1,10
Dino Babers,Syracuse,2021,12,5,7
Dino Babers,Syracuse,2022,13,7,6
Dino Babers,Syracuse,2023,2,2,0
Charlie Bachman,Northwestern,1919,7,2,5
Charlie Bachman,Kansas State,1920,9,3,3
Charlie Bachman,Kansas State,1921,8,5,3
Charlie Bachman,Kansas State,1922,8,5,1
Charlie Bachman,Kansas State,1923,8,4,2
Charlie Bachman,Kansas State,1924,8,3,4
Charlie Bachman,Kansas State,1925,8,5,2
Charlie Bachman,Kansas State,1926,8,5,3
Charlie Bachman,Kansas State,1927,8,3,5
Charlie Bachman,Florida,1928,9,8,1
Charlie Bachman,Florida,1929,10,8,2
Charlie Bachman,Florida,1930,10,6,3
Charlie Bachman,Florida,1931,10,2,6
Charlie Bachman,Florida,1932,9,3,6
Charlie Bachman,Michigan State,1933,8,4,2
Charlie Bachman,Michigan State,1934,9,8,1
Charlie Bachman,Michigan State,1935,8,6,2
Charlie Bachman,Michigan State,1936,9,6,1
Charlie Bachman,Michigan State,1937,10,8,2
Charlie Bachman,Michigan State,1938,9,6,3
Charlie Bachman,Michigan State,1939,9,4,4
Charlie Bachman,Michigan State,1940,8,3,4
Charlie Bachman,Michigan State,1941,9,5,3
Charlie Bachman,Michigan State,1942,9,4,3
Charlie Bachman,Michigan State,1944,7,6,1
Charlie Bachman,Michigan State,1945,9,5,3
Charlie Bachman,Michigan State,1946,10,5,5
Walter Bachman,Texas A&M,1905,9,7,2
Walter Bachman,Texas A&M,1906,7,6,1
A.H. Badenoch,Stanford,1918,4,0,4
Enoch Bagshaw,Washington,1921,8,3,4
Enoch Bagshaw,Washington,1922,8,6,1
Enoch Bagshaw,Washington,1923,12,10,1
Enoch Bagshaw,Washington,1924,10,8,1
Enoch Bagshaw,Washington,1925,12,11,0
Enoch Bagshaw,Washington,1926,10,8,2
Enoch Bagshaw,Washington,1927,11,9,2
Enoch Bagshaw,Washington,1928,11,7,4
Enoch Bagshaw,Washington,1929,9,2,6
Charlie Bailey,Memphis,1986,11,1,10
Charlie Bailey,Memphis,1987,11,5,5
Charlie Bailey,Memphis,1988,11,6,5
Charlie Bailey,UTEP,1993,5,0,5
Charlie Bailey,UTEP,1994,11,3,7
Charlie Bailey,UTEP,1995,12,2,10
Charlie Bailey,UTEP,1996,11,2,9
Charlie Bailey,UTEP,1997,11,4,7
Charlie Bailey,UTEP,1998,11,3,8
Charlie Bailey,UTEP,1999,12,5,7
David Bailiff,Rice,2007,12,3,9
David Bailiff,Rice,2008,13,10,3
David Bailiff,Rice,2009,12,2,10
David Bailiff,Rice,2010,12,4,8
David Bailiff,Rice,2011,12,4,8
David Bailiff,Rice,2012,13,7,6
David Bailiff,Rice,2013,14,10,4
David Bailiff,Rice,2014,13,8,5
David Bailiff,Rice,2015,12,5,7
David Bailiff,Rice,2016,12,3,9
David Bailiff,Rice,2017,12,1,11
Art Baker,Furman,1973,11,7,4
Art Baker,Furman,1974,11,5,6
Art Baker,Furman,1975,11,5,5
Art Baker,Furman,1976,11,6,4
Art Baker,Furman,1977,11,4,5
Art Baker,The Citadel,1978,11,5,6
Art Baker,The Citadel,1979,11,6,5
Art Baker,The Citadel,1980,11,7,4
Art Baker,The Citadel,1981,11,7,3
Art Baker,East Carolina,1985,11,2,9
Art Baker,East Carolina,1986,11,2,9
Art Baker,East Carolina,1987,11,5,6
Art Baker,East Carolina,1988,11,3,8
Dave Baldwin,San José State,1997,11,4,7
Dave Baldwin,San José State,1998,12,4,8
Dave Baldwin,San José State,1999,10,3,7
Dave Baldwin,San José State,2000,12,7,5
James Baldwin,Lehigh,1922,9,3,5
James Baldwin,Lehigh,1923,9,6,2
James Baldwin,Wake Forest,1926,10,5,4
James Baldwin,Wake Forest,1927,10,2,6
Jerry Baldwin,Louisiana,1999,11,2,9
Jerry Baldwin,Louisiana,2000,11,1,10
Jerry Baldwin,Louisiana,2001,11,3,8
D.M. Balliet,Purdue,1893,8,5,2
D.M. Balliet,Purdue,1894,10,9,1
D.M. Balliet,Purdue,1895,7,4,3
D.M. Balliet,Purdue,1901,9,4,4
Chuck Banker,Iowa State,1986,2,1,1
Jeff Banks,Texas A&M,2017,1,0,1
Mark Banks,Drake,1918,5,3,2
Mark Banks,Drake,1919,7,4,3
Mark Banks,Drake,1920,10,4,5
Mark Banks,Tennessee,1921,9,6,2
Mark Banks,Tennessee,1922,10,8,2
Mark Banks,Tennessee,1923,10,5,4
Mark Banks,Tennessee,1924,8,3,5
Mark Banks,Tennessee,1925,8,5,2
W.H. Bannard,Northwestern,1898,14,9,4
Frank Barbour,Michigan,1892,12,7,5
Frank Barbour,Michigan,1893,10,7,3
George Barclay,Lafayette,1908,10,6,2
George Barclay,Washington & Lee,1949,9,3,5
George Barclay,Washington & Lee,1950,11,8,3
George Barclay,Washington & Lee,1951,10,6,4
George Barclay,North Carolina,1953,10,4,6
George Barclay,North Carolina,1954,10,4,5
George Barclay,North Carolina,1955,10,3,7
Doug Barfield,Auburn,1976,11,3,8
Doug Barfield,Auburn,1977,11,5,6
Doug Barfield,Auburn,1978,11,6,4
Doug Barfield,Auburn,1979,11,8,3
Doug Barfield,Auburn,1980,11,5,6
George Barlow,New Mexico,2011,8,1,7
Charles Barnard,Georgia,1904,6,1,5
Bill Barnes,UCLA,1958,7,2,4
Bill Barnes,UCLA,1959,10,5,4
Bill Barnes,UCLA,1960,10,7,2
Bill Barnes,UCLA,1961,11,7,4
Bill Barnes,UCLA,1962,10,4,6
Bill Barnes,UCLA,1963,10,2,8
Bill Barnes,UCLA,1964,10,4,6
Willis Barnes,New Mexico,1942,11,4,5
Willis Barnes,New Mexico,1944,8,1,7
Willis Barnes,New Mexico,1945,8,6,1
Willis Barnes,New Mexico,1946,12,5,5
Gary Barnett,Northwestern,1992,11,3,8
Gary Barnett,Northwestern,1993,11,2,9
Gary Barnett,Northwestern,1994,11,3,7
Gary Barnett,Northwestern,1995,12,10,2
Gary Barnett,Northwestern,1996,12,9,3
Gary Barnett,Northwestern,1997,12,5,7
Gary Barnett,Northwestern,1998,12,3,9
Gary Barnett,Colorado,1999,12,7,5
Gary Barnett,Colorado,2000,11,3,8
Gary Barnett,Colorado,2001,13,10,3
Gary Barnett,Colorado,2002,14,9,5
Gary Barnett,Colorado,2003,12,5,7
Gary Barnett,Colorado,2004,13,8,5
Gary Barnett,Colorado,2005,12,7,5
Harlon Barnett,Michigan State,2023,0,0,0
John Barnhill,Tennessee,1941,10,8,2
John Barnhill,Tennessee,1942,11,9,1
John Barnhill,Tennessee,1944,9,7,1
John Barnhill,Tennessee,1945,9,8,1
John Barnhill,Arkansas,1946,11,6,3
John Barnhill,Arkansas,1947,11,6,4
John Barnhill,Arkansas,1948,10,5,5
John Barnhill,Arkansas,1949,10,5,5
Sam Barry,USC,1941,9,2,6
Tom Barry,Wisconsin,1908,6,5,1
Tom Barry,Wisconsin,1909,5,3,1
Tom Barry,Wisconsin,1910,5,1,2
Doby Bartling,Vanderbilt,1945,9,3,6
Gil Bartosh,UTEP,1974,11,4,7
Gil Bartosh,UTEP,1975,11,1,10
Gil Bartosh,UTEP,1976,12,1,11
Marvin Bass,William & Mary,1951,10,7,3
Marvin Bass,South Carolina,1961,10,4,6
Marvin Bass,South Carolina,1962,10,4,5
Marvin Bass,South Carolina,1963,10,1,8
Marvin Bass,South Carolina,1964,10,3,5
Marvin Bass,South Carolina,1965,10,5,5
John Bateman,Rutgers,1960,9,8,1
John Bateman,Rutgers,1961,9,9,0
John Bateman,Rutgers,1962,10,5,5
John Bateman,Rutgers,1963,9,3,6
John Bateman,Rutgers,1964,9,6,3
John Bateman,Rutgers,1965,9,3,6
John Bateman,Rutgers,1966,9,5,4
John Bateman,Rutgers,1967,9,4,5
John Bateman,Rutgers,1968,10,8,2
John Bateman,Rutgers,1969,9,6,3
John Bateman,Rutgers,1970,10,5,5
John Bateman,Rutgers,1971,11,4,7
John Bateman,Rutgers,1972,11,7,4
Billy Bates,Auburn,1903,7,4,3
Mike Bath,Miami (OH),2013,7,0,7
Bill Battle,Tennessee,1970,12,11,1
Bill Battle,Tennessee,1971,12,10,2
Bill Battle,Tennessee,1972,12,10,2
Bill Battle,Tennessee,1973,12,8,4
Bill Battle,Tennessee,1974,12,7,3
Bill Battle,Tennessee,1975,12,7,5
Bill Battle,Tennessee,1976,11,6,5
Reaves Baysinger,Syracuse,1947,9,3,6
Reaves Baysinger,Syracuse,1948,9,1,8
Joseph Beacham,Cornell,1896,9,5,3
Joseph Beacham,Army,1911,8,6,1
Bill Beall,Baylor,1969,10,0,10
Bill Beall,Baylor,1970,11,2,9
Bill Beall,Baylor,1971,10,1,9
Frank Beamer,Virginia Tech,1987,11,2,9
Frank Beamer,Virginia Tech,1988,11,3,8
Frank Beamer,Virginia Tech,1989,11,6,4
Frank Beamer,Virginia Tech,1990,11,6,5
Frank Beamer,Virginia Tech,1991,11,5,6
Frank Beamer,Virginia Tech,1992,11,2,8
Frank Beamer,Virginia Tech,1993,12,9,3
Frank Beamer,Virginia Tech,1994,12,8,4
Frank Beamer,Virginia Tech,1995,12,10,2
Frank Beamer,Virginia Tech,1996,12,10,2
Frank Beamer,Virginia Tech,1997,12,7,5
Frank Beamer,Virginia Tech,1998,12,9,3
Frank Beamer,Virginia Tech,1999,12,11,1
Frank Beamer,Virginia Tech,2000,12,11,1
Frank Beamer,Virginia Tech,2001,12,8,4
Frank Beamer,Virginia Tech,2002,14,10,4
Frank Beamer,Virginia Tech,2003,13,8,5
Frank Beamer,Virginia Tech,2004,13,10,3
Frank Beamer,Virginia Tech,2005,13,11,2
Frank Beamer,Virginia Tech,2006,13,10,3
Frank Beamer,Virginia Tech,2007,14,11,3
Frank Beamer,Virginia Tech,2008,14,10,4
Frank Beamer,Virginia Tech,2009,13,10,3
Frank Beamer,Virginia Tech,2010,14,11,3
Frank Beamer,Virginia Tech,2011,14,11,3
Frank Beamer,Virginia Tech,2012,13,7,6
Frank Beamer,Virginia Tech,2013,13,8,5
Frank Beamer,Virginia Tech,2014,13,7,6
Frank Beamer,Virginia Tech,2015,13,7,6
Shane Beamer,South Carolina,2021,13,7,6
Shane Beamer,South Carolina,2022,13,8,5
Shane Beamer,South Carolina,2023,2,1,1
Ernest Bearg,Nebraska,1925,8,4,2
Ernest Bearg,Nebraska,1926,8,6,2
Ernest Bearg,Nebraska,1927,8,6,2
Ernest Bearg,Nebraska,1928,9,7,1
Ernest Bearg,Washburn,1935,10,4,6
David Beaty,Kansas,2015,12,0,12
David Beaty,Kansas,2016,12,2,10
David Beaty,Kansas,2017,12,1,11
David Beaty,Kansas,2018,12,3,9
Tim Beck,Coastal Carolina,2023,2,1,1
Tim Beckman,Toledo,2009,12,5,7
Tim Beckman,Toledo,2010,13,8,5
Tim Beckman,Illinois,2012,12,2,10
Tim Beckman,Illinois,2013,12,4,8
Tim Beckman,Illinois,2014,13,6,7
Joe Bedenk,Penn State,1949,9,5,4
Larry Beightol,Louisiana Tech,1979,10,1,9
Madison Bell,TCU,1923,9,4,5
Madison Bell,TCU,1924,9,4,5
Madison Bell,TCU,1925,9,7,1
Madison Bell,TCU,1926,9,6,1
Madison Bell,TCU,1927,9,4,3
Madison Bell,TCU,1928,10,8,2
Madison Bell,Texas A&M,1929,9,5,4
Madison Bell,Texas A&M,1930,9,2,7
Madison Bell,Texas A&M,1931,10,7,3
Madison Bell,Texas A&M,1932,10,4,4
Madison Bell,Texas A&M,1933,10,6,3
