name,team,conference,year,pick,round,position
Keiwan Ratliff,Florida,SEC,2004,17,2,Defensive Back
Devery Henderson,LSU,SEC,2004,18,2,Wide Receiver
Dwan Edwards,Oregon State,Pac-10,2004,19,2,Defensive Tackle
Jacob Rogers,USC,Pac-10,2004,20,2,Offensive Tackle
Michael Boulware,Florida State,ACC,2004,21,2,Defensive Back
Darius Watts,Marshall,Mid-American,2004,22,2,Wide Receiver
Greg Jones,Florida State,ACC,2004,23,2,Running Back
Madieu Williams,Maryland,ACC,2004,24,2,Defensive Back
Antwan Odom,Alabama,SEC,2004,25,2,Defensive End
Shawntae Spencer,Pittsburgh,Big East,2004,26,2,Defensive Back
Sean Jones,Georgia,SEC,2004,27,2,Defensive Back
Courtney Watson,Notre Dame,FBS Independents,2004,28,2,Linebacker
Kris Wilson,Pittsburgh,Big East,2004,29,2,Tight End
Keary Colbert,USC,Pac-10,2004,30,2,Wide Receiver
Marquise Hill,LSU,SEC,2004,31,2,Defensive End
Darnell Dockett,Florida State,ACC,2004,1,3,Defensive Tackle
Nate Kaeding,Iowa,Big Ten,2004,2,3,Place Kicker
Nick Hardwick,Purdue,Big Ten,2004,3,3,Center
Stuart Schweigert,Purdue,Big Ten,2004,4,3,Defensive Back
Ben Hartsock,Ohio State,Big Ten,2004,5,3,Tight End
Gilbert Gardner,Purdue,Big Ten,2004,6,3,Linebacker
Joey Thomas,Montana State,Big Sky,2004,7,3,Defensive Back
Randy Starks,Maryland,ACC,2004,8,3,Defensive Tackle
Donnell Washington,Clemson,ACC,2004,9,3,Defensive Tackle
Keith Smith,McNeese,Southland,2004,10,3,Defensive Back
Tim Anderson,Ohio State,Big Ten,2004,11,3,Defensive Tackle
Max Starks,Florida,SEC,2004,12,3,Offensive Tackle
Derrick Strait,Oklahoma,Big 12,2004,13,3,Defensive Back
Derrick Hamilton,Clemson,ACC,2004,14,3,Wide Receiver
Bernard Berrian,Fresno State,Western Athletic,2004,15,3,Wide Receiver
Marquis Cooper,Washington,Pac-10,2004,16,3,Linebacker
Caleb Miller,Arkansas,SEC,2004,17,3,Linebacker
Chris Cooley,Utah State,Sun Belt,2004,18,3,Tight End
Devard Darling,Washington State,Pac-10,2004,19,3,Wide Receiver
Stephen Peterman,LSU,SEC,2004,20,3,Offensive Guard
Sean Locklear,NC State,ACC,2004,21,3,Offensive Guard
Jeremy LeSueur,Michigan,Big Ten,2004,22,3,Defensive Back
Jorge Cordova,Nevada,Western Athletic,2004,23,3,Linebacker
B.J. Sander,Ohio State,Big Ten,2004,24,3,Punter
Darrion Scott,Ohio State,Big Ten,2004,25,3,Defensive End
Matt Ware,UCLA,Pac-10,2004,26,3,Defensive Back
Matt Schaub,Virginia,ACC,2004,27,3,Quarterback
Tony Hargrove,Georgia Tech,ACC,2004,28,3,Defensive End
Rich Gardner,Penn State,Big Ten,2004,29,3,Defensive Back
Keyaron Fox,Georgia Tech,ACC,2004,30,3,Linebacker
Travelle Wharton,South Carolina,SEC,2004,31,3,Offensive Tackle
Guss Scott,Florida,SEC,2004,32,3,Defensive Back
Landon Johnson,Purdue,Big Ten,2004,33,3,Linebacker
Reggie Torbor,Auburn,SEC,2004,1,4,Linebacker
Shaun Phillips,Purdue,Big Ten,2004,2,4,Defensive End
Carlos Francis,Texas Tech,Big 12,2004,3,4,Wide Receiver
Alex Stepanovich,Ohio State,Big Ten,2004,4,4,Center
Demorrio Williams,Nebraska,Big 12,2004,5,4,Linebacker
Will Poole,USC,Pac-10,2004,6,4,Defensive Back
Bo Schobel,TCU,Conference USA,2004,7,4,Defensive End
Isaac Sopoaga,Hawai'i,Western Athletic,2004,8,4,Defensive Tackle
Samie Parker,Oregon,Pac-10,2004,9,4,Wide Receiver
Luke McCown,Louisiana Tech,Western Athletic,2004,10,4,Quarterback
Kendyll Pope,Florida State,ACC,2004,11,4,Linebacker
Jerricho Cotchery,NC State,ACC,2004,12,4,Wide Receiver
Tim Euhus,Oregon State,Pac-10,2004,13,4,Tight End
Nathan Vasher,Texas,Big 12,2004,14,4,Defensive Back
Will Allen,Ohio State,Big Ten,2004,15,4,Defensive Back
Leon Joe,Maryland,ACC,2004,16,4,Linebacker
Dexter Reid,North Carolina,ACC,2004,17,4,Defensive Back
Matthias Askew,Michigan State,Big Ten,2004,18,4,Defensive Tackle
Nat Dorsey,Georgia Tech,ACC,2004,19,4,Offensive Tackle
Niko Koutouvides,Purdue,Big Ten,2004,20,4,Linebacker
Robert Geathers,Georgia,SEC,2004,21,4,Defensive End
Anthony Maddox,Delta State,,2004,22,4,Defensive Tackle
Mewelde Moore,Tulane,Conference USA,2004,23,4,Running Back
Ernest Wilford,Virginia Tech,Big East,2004,24,4,Wide Receiver
Bruce Thornton,Georgia,SEC,2004,25,4,Defensive Back
Glenn Earl,Notre Dame,FBS Independents,2004,26,4,Defensive Back
Stacy Andrews,Ole Miss,SEC,2004,27,4,Offensive Tackle
Michael Waddell,North Carolina,ACC,2004,28,4,Defensive Back
Jason David,Washington State,Pac-10,2004,29,4,Defensive Back
Jared Allen,Idaho State,Big Sky,2004,30,4,Defensive End
Richard Seigler,Oregon State,Pac-10,2004,31,4,Linebacker
Cedric Cobbs,Arkansas,SEC,2004,32,4,Running Back
J.R. Reed,South Florida,Conference USA,2004,33,4,Defensive Back
Brandon Chillar,UCLA,Pac-10,2004,34,4,Linebacker
Trey Darilek,UTEP,Western Athletic,2004,35,4,Offensive Tackle
Adrian Jones,Kansas,Big 12,2004,36,4,Offensive Tackle
Dave Ball,UCLA,Pac-10,2004,1,5,Defensive End
Johnnie Morant,Syracuse,Big East,2004,2,5,Wide Receiver
Antonio Smith,Oklahoma State,Big 12,2004,3,5,Defensive End
Gibril Wilson,Tennessee,SEC,2004,4,5,Defensive Back
Josh Scobee,Louisiana Tech,Western Athletic,2004,5,5,Place Kicker
Jacob Bell,Miami (OH),Mid-American,2004,6,5,Offensive Guard
Rodney Leisle,UCLA,Pac-10,2004,7,5,Defensive Tackle
Alex Lewis,Wisconsin,Big Ten,2004,8,5,Linebacker
Jake Scott,Idaho,Sun Belt,2004,9,5,Offensive Tackle
Chad Lavalais,LSU,SEC,2004,10,5,Defensive Tackle
Erik Coleman,Washington State,Pac-10,2004,11,5,Defensive Back
Sean Ryan,Boston College,Big East,2004,12,5,Tight End
Nathaniel Adibi,Virginia Tech,Big East,2004,13,5,Defensive End
Jeb Terry,North Carolina,ACC,2004,14,5,Offensive Guard
Claude Harriott,Pittsburgh,Big East,2004,15,5,Defensive End
Craig Krenzel,Ohio State,Big Ten,2004,16,5,Quarterback
Maurice Mann,Nevada,Western Athletic,2004,17,5,Wide Receiver
Chris Thompson,Nicholls,Southland,2004,18,5,Defensive Back
Mark Wilson,California,Pac-10,2004,19,5,Offensive Tackle
Jeff Shoate,San Diego State,Mountain West,2004,20,5,Defensive Back
Roderick Green,Central Missouri State,,2004,21,5,Defensive End
Michael Turner,Northern Illinois,Mid-American,2004,22,5,Running Back
Rod Davis,Southern Mississippi,Conference USA,2004,23,5,Linebacker
Mike Karney,Arizona State,Pac-10,2004,24,5,Running Back
D.J. Hackett,Colorado,Big 12,2004,25,5,Wide Receiver
Jason Shivers,Arizona State,Pac-10,2004,26,5,Defensive Back
Sean Bubin,Illinois,Big Ten,2004,27,5,Offensive Tackle
Tony Bua,Arkansas,SEC,2004,28,5,Linebacker
Amon Gordon,Stanford,Pac-10,2004,29,5,Defensive Tackle
Thomas Tapeh,Minnesota,Big Ten,2004,30,5,Running Back
Drew Carter,Ohio State,Big Ten,2004,31,5,Wide Receiver
P.K. Sam,Florida State,ACC,2004,32,5,Wide Receiver
Robert Reynolds,Ohio State,Big Ten,2004,33,5,Linebacker
Shawn Johnson,Delaware,Atlantic 10,2004,1,6,Defensive End
Nick Leckey,Kansas State,Big 12,2004,2,6,Center
Jamaar Taylor,Texas A&M,Big 12,2004,3,6,Wide Receiver
Ryan Krause,Nebraska-Omaha,,2004,4,6,Wide Receiver
Vontez Duff,Notre Dame,FBS Independents,2004,5,6,Defensive Back
Triandos Luke,Alabama,SEC,2004,6,6,Wide Receiver
Kelly Butler,Purdue,Big Ten,2004,7,6,Offensive Tackle
Von Hutchins,Ole Miss,SEC,2004,8,6,Defensive Back
Rex Hadnot,Houston,Conference USA,2004,9,6,Offensive Guard
Jammal Lord,Nebraska,Big 12,2004,10,6,Running Back
Kirk Chambers,Stanford,Pac-10,2004,11,6,Offensive Tackle
Bo Lacy,Arkansas,SEC,2004,12,6,Offensive Tackle
Marko Cavka,Sacramento State,Big Sky,2004,13,6,Offensive Tackle
Corey Williams,Arkansas State,Sun Belt,2004,14,6,Defensive Tackle
Jim Molinaro,Notre Dame,FBS Independents,2004,15,6,Offensive Tackle
Nate Lawrie,Yale,Ivy,2004,16,6,Tight End
Cody Spencer,North Texas,Sun Belt,2004,17,6,Linebacker
Greg Brooks,Southern Mississippi,Conference USA,2004,18,6,Defensive Back
Deandre' Eiland,South Carolina,SEC,2004,19,6,Defensive Back
Andrew Hall,Delaware,Atlantic 10,2004,20,6,Quarterback
Etric Pruitt,Southern Mississippi,Conference USA,2004,21,6,Defensive Back
Josh Harris,Bowling Green,Mid-American,2004,22,6,Quarterback
Andy Lee,Pittsburgh,Big East,2004,23,6,Punter
Craig Terrill,Purdue,Big Ten,2004,24,6,Defensive Tackle
Josh Sewell,Nebraska,Big 12,2004,25,6,Center
Troy Fleming,Tennessee,SEC,2004,26,6,Running Back
Dexter Wynn,Colorado State,Mountain West,2004,27,6,Defensive Back
Jim Sorgi,Wisconsin,Big Ten,2004,28,6,Quarterback
Matt Kranchick,Penn State,Big Ten,2004,29,6,Tight End
Jeris McIntyre,Auburn,SEC,2004,30,6,Wide Receiver
Sean Tufts,Colorado,Big 12,2004,31,6,Linebacker
Drew Caylor,Stanford,Pac-10,2004,32,6,Center
Keith Lewis,Oregon,Pac-10,2004,33,6,Defensive Back
Clarence Moore,Northern Arizona,Big Sky,2004,34,6,Wide Receiver
Charlie Anderson,Ole Miss,SEC,2004,35,6,Linebacker
Jeff Smoker,Michigan State,Big Ten,2004,36,6,Quarterback
John Navarre,Michigan,Big Ten,2004,1,7,Quarterback
Andrew Strojny,Duke,ACC,2004,2,7,Offensive Tackle
Ryon Bingham,Nebraska,Big 12,2004,3,7,Defensive Tackle
Nathan Jones,Rutgers,Big East,2004,4,7,Defensive Back
Mark Jones,Tennessee,SEC,2004,5,7,Wide Receiver
Dylan McFarland,Montana,Big Sky,2004,6,7,Offensive Tackle
Adimchinobe Echemandu,California,Pac-10,2004,7,7,Running Back
Shane Olivea,Ohio State,Big Ten,2004,8,7,Offensive Tackle
Raheem Orr,Rutgers,Big East,2004,9,7,Defensive End
Sloan Thomas,Texas,Big 12,2004,10,7,Wide Receiver
Eric Taylor,Memphis,Conference USA,2004,11,7,Defensive Tackle
Darrell McClover,Miami,Big East,2004,12,7,Linebacker
Jonathan Smith,Georgia Tech,ACC,2004,13,7,Wide Receiver
Alfonso Marshall,Miami,Big East,2004,14,7,Defensive Back
Patrick Crayton,Northwestern Oklahoma State,,2004,15,7,Wide Receiver
Cody Pickett,Washington,Pac-10,2004,16,7,Quarterback
Casey Bramlet,Wyoming,Mountain West,2004,17,7,Quarterback
Quincy Wilson,West Virginia,Big East,2004,18,7,Running Back
Jeff Dugan,Maryland,ACC,2004,19,7,Tight End
Tony Pape,Michigan,Big Ten,2004,20,7,Offensive Tackle
Derrick Pope,Alabama,SEC,2004,21,7,Linebacker
Jacques Reeves,Purdue,Big Ten,2004,22,7,Defensive Back
Donald Jones,LSU,SEC,2004,23,7,Punter
Matt Mauck,LSU,SEC,2004,24,7,Quarterback
Christian Ferrara,Syracuse,Big East,2004,25,7,Defensive Tackle
Adrien Clarke,Ohio State,Big Ten,2004,26,7,Offensive Guard
Casey Cramer,Dartmouth,Ivy,2004,27,7,Running Back
David Kimball,Penn State,Big Ten,2004,28,7,Place Kicker
Jared Clauss,Iowa,Big Ten,2004,29,7,Defensive Tackle
Kevin Sampson,Syracuse,Big East,2004,30,7,Offensive Tackle
Michael Gaines,UCF,Mid-American,2004,31,7,Tight End
Christian Morton,Illinois,Big Ten,2004,32,7,Defensive Back
Trevor Johnson,Nebraska,Big 12,2004,33,7,Defensive End
Derrick Ward,Ottawa,,2004,34,7,Running Back
Rashad Washington,Kansas State,Big 12,2004,35,7,Defensive Back
Erik Jensen,Iowa,Big Ten,2004,36,7,Tight End
Larry Turner,Eastern Kentucky,OVC,2004,37,7,Center
Eugene Amano,Southeast Missouri State,OVC,2004,38,7,Center
Colby Bockwoldt,BYU,Mountain West,2004,39,7,Linebacker
Sean McHugh,Penn State,Big Ten,2004,40,7,Running Back
Bruce Perry,Maryland,ACC,2004,41,7,Running Back
Dominic Furio,UNLV,Mountain West,2004,42,7,Center
Derek Abney,Kentucky,SEC,2004,43,7,Wide Receiver
Courtney Anderson,San José State,Western Athletic,2004,44,7,Tight End
Brian Rimpf,East Carolina,Conference USA,2004,45,7,Offensive Tackle
Brandon Miree,Pittsburgh,Big East,2004,46,7,Running Back
B.J. Symons,Texas Tech,Big 12,2004,47,7,Quarterback
Bobby McCray,Florida,SEC,2004,48,7,Defensive End
Bradlee Van Pelt,Colorado State,Mountain West,2004,49,7,Quarterback
Scott Wells,Tennessee,SEC,2004,50,7,Center
Lenny Williams,Southern,SWAC,2004,51,7,Defensive Back
Isaac Hilton,Hampton,MEAC,2004,52,7,Defensive End
Carlos Joseph,Miami,Big East,2004,53,7,Offensive Tackle
Andre Sommersell,Colorado State,Mountain West,2004,54,7,Linebacker
Alex Smith,Utah,Mountain West,2005,1,1,Quarterback
Ronnie Brown,Auburn,SEC,2005,2,1,Running Back
Braylon Edwards,Michigan,Big Ten,2005,3,1,Wide Receiver
Cedric Benson,Texas,Big 12,2005,4,1,Running Back
Carnell Williams,Auburn,SEC,2005,5,1,Running Back
Adam Jones,West Virginia,Big East,2005,6,1,Defensive Back
Troy Williamson,South Carolina,SEC,2005,7,1,Wide Receiver
Antrel Rolle,Miami,ACC,2005,8,1,Defensive Back
Carlos Rogers,Auburn,SEC,2005,9,1,Defensive Back
Mike Williams,USC,Pac-10,2005,10,1,Wide Receiver
DeMarcus Ware,Troy,Sun Belt,2005,11,1,Defensive End
Shawne Merriman,Maryland,ACC,2005,12,1,Linebacker
Jammal Brown,Oklahoma,Big 12,2005,13,1,Offensive Tackle
Thomas Davis,Georgia,SEC,2005,14,1,Defensive Back
Derrick Johnson,Texas,Big 12,2005,15,1,Linebacker
Travis Johnson,Florida State,ACC,2005,16,1,Defensive End
David Pollack,Georgia,SEC,2005,17,1,Linebacker
Erasmus James,Wisconsin,Big Ten,2005,18,1,Defensive End
Alex Barron,Florida State,ACC,2005,19,1,Offensive Tackle
Marcus Spears,LSU,SEC,2005,20,1,Defensive End
Matt Jones,Arkansas,SEC,2005,21,1,Wide Receiver
Mark Clayton,Oklahoma,Big 12,2005,22,1,Wide Receiver
Fabian Washington,Nebraska,Big 12,2005,23,1,Defensive Back
Aaron Rodgers,California,Pac-10,2005,24,1,Quarterback
Jason Campbell,Auburn,SEC,2005,25,1,Quarterback
Chris Spencer,Ole Miss,SEC,2005,26,1,Center
Roddy White,UAB,Conference USA,2005,27,1,Wide Receiver
Luis Castillo,Northwestern,Big Ten,2005,28,1,Defensive Tackle
Marlin Jackson,Michigan,Big Ten,2005,29,1,Defensive Back
Heath Miller,Virginia,ACC,2005,30,1,Tight End
Mike Patterson,USC,Pac-10,2005,31,1,Defensive Tackle
Logan Mankins,Fresno State,Western Athletic,2005,32,1,Offensive Guard
David Baas,Michigan,Big Ten,2005,1,2,Offensive Guard
Brodney Pool,Oklahoma,Big 12,2005,2,2,Defensive Back
Reggie Brown,Georgia,SEC,2005,3,2,Wide Receiver
Barrett Ruud,Nebraska,Big 12,2005,4,2,Linebacker
Shaun Cody,USC,Pac-10,2005,5,2,Defensive End
Stanford Routt,Houston,Conference USA,2005,6,2,Defensive Back
Mark Bradley,Oklahoma,Big 12,2005,7,2,Wide Receiver
Josh Bullocks,Nebraska,Big 12,2005,8,2,Defensive Back
Michael Roos,Eastern Washington,Big Sky,2005,9,2,Offensive Tackle
Kevin Burnett,Tennessee,SEC,2005,10,2,Linebacker
Corey Webster,LSU,SEC,2005,11,2,Defensive Back
J.J. Arrington,California,Pac-10,2005,12,2,Running Back
Lofa Tatupu,USC,Pac-10,2005,13,2,Linebacker
Matt Roth,Iowa,Big Ten,2005,14,2,Defensive End
Mike Nugent,Ohio State,Big Ten,2005,15,2,Place Kicker
Odell Thurman,Georgia,SEC,2005,16,2,Linebacker
Marcus Johnson,Ole Miss,SEC,2005,17,2,Offensive Guard
Ronald Bartell,Howard,MEAC,2005,18,2,Defensive Back
Nick Collins,Bethune-Cookman,MEAC,2005,19,2,Defensive Back
Khalif Barnes,Washington,Pac-10,2005,20,2,Offensive Tackle
Dan Cody,Oklahoma,Big 12,2005,21,2,Linebacker
Eric Shelton,Louisville,Conference USA,2005,22,2,Running Back
Roscoe Parrish,Miami,ACC,2005,23,2,Wide Receiver
Darrent Williams,Oklahoma State,Big 12,2005,24,2,Defensive Back
Justin Miller,Clemson,ACC,2005,25,2,Defensive Back
Terrence Murphy,Texas A&M,Big 12,2005,26,2,Wide Receiver
Jonathan Babineaux,Iowa,Big Ten,2005,27,2,Defensive Tackle
Kelvin Hayden,Illinois,Big Ten,2005,28,2,Defensive Back
Vincent Jackson,Northern Colorado,FCS Independents,2005,29,2,Wide Receiver
Bryant McFadden,Florida State,ACC,2005,30,2,Defensive Back
Matt McCoy,San Diego State,Mountain West,2005,31,2,Linebacker
Adam Terry,Syracuse,Big East,2005,32,2,Offensive Tackle
Frank Gore,Miami,ACC,2005,1,3,Running Back
Oshiomogho Atogwe,Stanford,Pac-10,2005,2,3,Defensive Back
Charlie Frye,Akron,Mid-American,2005,3,3,Quarterback
Courtney Roby,Indiana,Big Ten,2005,4,3,Wide Receiver
Andrew Walter,Arizona State,Pac-10,2005,5,3,Quarterback
Channing Crowder,Florida,SEC,2005,6,3,Linebacker
Alex Smith,Stanford,Pac-10,2005,7,3,Tight End
Stanley Wilson,Stanford,Pac-10,2005,8,3,Defensive Back
Vernand Morency,Oklahoma State,Big 12,2005,9,3,Running Back
Justin Tuck,Notre Dame,FBS Independents,2005,10,3,Defensive End
Eric Green,Virginia Tech,ACC,2005,11,3,Defensive Back
Karl Paymah,Washington State,Pac-10,2005,12,3,Defensive Back
Ryan Moats,Louisiana Tech,Western Athletic,2005,13,3,Running Back
Kirk Morrison,San Diego State,Mountain West,2005,14,3,Linebacker
Evan Mathis,Alabama,SEC,2005,15,3,Offensive Guard
Dustin Fox,Ohio State,Big Ten,2005,16,3,Defensive Back
Richie Incognito,Nebraska,Big 12,2005,17,3,Offensive Guard
Alfred Fincher,Connecticut,Big East,2005,18,3,Linebacker
Chris Henry,West Virginia,Big East,2005,19,3,Wide Receiver
Ellis Hobbs,Iowa State,Big 12,2005,20,3,Defensive Back
David Greene,Georgia,SEC,2005,21,3,Quarterback
Kevin Everett,Miami,ACC,2005,22,3,Tight End
Scott Starks,Wisconsin,Big Ten,2005,23,3,Defensive Back
Sione Pouha,Utah,Mountain West,2005,24,3,Defensive Tackle
Atiyyah Ellison,Missouri,Big 12,2005,25,3,Defensive Tackle
Jordan Beck,Cal Poly,FCS Independents,2005,26,3,Linebacker
Chris Colmer,NC State,ACC,2005,27,3,Offensive Tackle
Vincent Burns,Kentucky,SEC,2005,28,3,Defensive End
Trai Essex,Northwestern,Big Ten,2005,29,3,Offensive Tackle
Adam Snyder,Oregon,Pac-10,2005,30,3,Offensive Tackle
Darryl Blackstock,Virginia,ACC,2005,31,3,Linebacker
Brandon Jones,Oklahoma,Big 12,2005,32,3,Wide Receiver
Domonique Foxworth,Maryland,ACC,2005,33,3,Defensive Back
LeRoy Hill,Clemson,ACC,2005,34,3,Linebacker
Dustin Colquitt,Tennessee,SEC,2005,35,3,Punter
Nick Kaczur,Toledo,Mid-American,2005,36,3,Offensive Tackle
Maurice Clarett,Ohio State,Big Ten,2005,37,3,Running Back
Sean Considine,Iowa,Big Ten,2005,1,4,Defensive Back
Antonio Perkins,Oklahoma,Big 12,2005,2,4,Defensive Back
Travis Daniels,LSU,SEC,2005,3,4,Defensive Back
Ray Willis,Florida State,ACC,2005,4,4,Offensive Tackle
Kyle Orton,Purdue,Big Ten,2005,5,4,Quarterback
Dan Buenning,Wisconsin,Big Ten,2005,6,4,Offensive Guard
Vincent Fuller,Virginia Tech,ACC,2005,7,4,Defensive Back
Marion Barber,Minnesota,Big Ten,2005,8,4,Running Back
Brandon Jacobs,Southern Illinois,MVFC,2005,9,4,Running Back
Elton Brown,Virginia,ACC,2005,10,4,Offensive Guard
Ciatrick Fason,Florida,SEC,2005,11,4,Running Back
David Stewart,Mississippi State,SEC,2005,12,4,Offensive Tackle
Jerome Mathis,Hampton,MEAC,2005,13,4,Wide Receiver
Marviel Underwood,San Diego State,Mountain West,2005,14,4,Defensive Back
Craphonso Thorpe,Florida State,ACC,2005,15,4,Wide Receiver
Jerome Carter,Florida State,ACC,2005,16,4,Defensive Back
Chase Lyman,California,Pac-10,2005,17,4,Wide Receiver
Eric Ghiaciuc,Central Michigan,Mid-American,2005,18,4,Center
Manuel White,UCLA,Pac-10,2005,19,4,Running Back
Stefan LeFors,Louisville,Conference USA,2005,20,4,Quarterback
Duke Preston,Illinois,Big Ten,2005,21,4,Center
Kerry Rhodes,Louisville,Conference USA,2005,22,4,Defensive Back
Jason Brown,North Carolina,ACC,2005,23,4,Center
Brady Poppinga,BYU,Mountain West,2005,24,4,Linebacker
Todd Herremans,Saginaw Valley,,2005,25,4,Offensive Tackle
Alvin Pearman,Virginia,ACC,2005,26,4,Running Back
Chauncey Davis,Florida State,ACC,2005,27,4,Defensive End
Dylan Gandy,Texas Tech,Big 12,2005,28,4,Offensive Guard
Darren Sproles,Kansas State,Big 12,2005,29,4,Running Back
Fred Gibson,Georgia,SEC,2005,30,4,Wide Receiver
Chris Canty,Virginia,ACC,2005,31,4,Defensive End
James Sanders,Fresno State,Western Athletic,2005,32,4,Defensive Back
Claude Terrell,New Mexico,Mountain West,2005,33,4,Offensive Guard
Matt Giordano,California,Pac-10,2005,34,4,Defensive Back
Roydell Williams,Tulane,Conference USA,2005,35,4,Wide Receiver
Ronald Fields,Mississippi State,SEC,2005,1,5,Defensive Tackle
James Grigsby,Illinois State,MVFC,2005,2,5,Linebacker
David McMillan,Kansas,Big 12,2005,3,5,Linebacker
Airese Currie,Clemson,ACC,2005,4,5,Wide Receiver
Donte Nicholson,Oklahoma,Big 12,2005,5,5,Defensive Back
Damien Nash,Missouri,Big 12,2005,6,5,Running Back
Junius Coston,North Carolina A&T,MEAC,2005,7,5,Center
Jerome Collins,Notre Dame,FBS Independents,2005,8,5,Tight End
Dan Orlovsky,Connecticut,Big East,2005,9,5,Quarterback
Trent Cole,Cincinnati,Conference USA,2005,10,5,Linebacker
Alphonso Hodge,Miami (OH),Mid-American,2005,11,5,Defensive Back
Jonathan Welsh,Wisconsin,Big Ten,2005,12,5,Defensive End
Adam Seward,UNLV,Mountain West,2005,13,5,Linebacker
Daniel Loper,Texas Tech,Big 12,2005,14,5,Offensive Tackle
Drew Hodgdon,Arizona State,Pac-10,2005,15,5,Center
Adrian McPherson,Florida State,ACC,2005,16,5,Quarterback
Adam Kieft,Central Michigan,Mid-American,2005,17,5,Offensive Tackle
Robert McCune,Louisville,Conference USA,2005,18,5,Linebacker
Larry Brackins,Birmingham-Southern,,2005,19,5,Wide Receiver
Eric King,Wake Forest,ACC,2005,20,5,Defensive Back
Gerald Sensabaugh,North Carolina,ACC,2005,21,5,Defensive Back
Justin Green,Montana,Big Sky,2005,22,5,Running Back
Jeb Huckeba,Arkansas,SEC,2005,23,5,Defensive End
Michael Boley,Southern Mississippi,Conference USA,2005,24,5,Linebacker
Andre Maddox,NC State,ACC,2005,25,5,Defensive Back
Anthony Alabi,TCU,Conference USA,2005,26,5,Offensive Tackle
Frank Omiyale,Tennessee Tech,OVC,2005,27,5,Offensive Tackle
Wesley Britt,Alabama,SEC,2005,28,5,Offensive Tackle
Rob Hunt,North Dakota State,Great West,2005,29,5,Center
Rian Wallace,Temple,Big East,2005,30,5,Linebacker
Michael Hawkins,Oklahoma,Big 12,2005,31,5,Defensive Back
Lance Mitchell,Oklahoma,Big 12,2005,32,5,Linebacker
Geoff Hangartner,Texas A&M,Big 12,2005,33,5,Offensive Tackle
Ryan Claridge,UNLV,Mountain West,2005,34,5,Linebacker
Ben Emanuel,UCLA,Pac-10,2005,35,5,Defensive Back
Scott Young,BYU,Mountain West,2005,36,5,Offensive Guard
Tyjuan Hagler,Cincinnati,Conference USA,2005,37,5,Linebacker
Rasheed Marshall,West Virginia,Big East,2005,38,5,Wide Receiver
Anttaj Hawthorne,Wisconsin,Big Ten,2005,1,6,Defensive Tackle
Nick Speegle,New Mexico,Mountain West,2005,2,6,Linebacker
Wes Sims,Oklahoma,Big 12,2005,3,6,Offensive Guard
Anthony Bryant,Alabama,SEC,2005,4,6,Defensive Tackle
Bo Scaife,Texas,Big 12,2005,5,6,Tight End
Mike Montgomery,Texas A&M,Big 12,2005,6,6,Defensive End
Chris Harris,Louisiana Monroe,Sun Belt,2005,7,6,Defensive Back
Cedric Houston,Tennessee,SEC,2005,8,6,Running Back
Jared Newberry,Stanford,Pac-10,2005,9,6,Linebacker
Bill Swancutt,Oregon State,Pac-10,2005,10,6,Defensive End
Chad Owens,Hawai'i,Western Athletic,2005,11,6,Wide Receiver
Eric Moore,Florida State,ACC,2005,12,6,Defensive End
Will Svitek,Stanford,Pac-10,2005,13,6,Offensive Tackle
Ceandris Brown,Louisiana,Sun Belt,2005,14,6,Defensive Back
Jovan Haye,Vanderbilt,SEC,2005,15,6,Defensive End
Tab Perry,UCLA,Pac-10,2005,16,6,Wide Receiver
C.J. Mosley,Missouri,Big 12,2005,17,6,Defensive Tackle
Dante Ridgeway,Ball State,Mid-American,2005,18,6,Wide Receiver
Jason Jefferson,Wisconsin,Big Ten,2005,19,6,Defensive Tackle
Pat Thomas,NC State,ACC,2005,20,6,Linebacker
Craig Bragg,UCLA,Pac-10,2005,21,6,Wide Receiver
Tony Jackson,Iowa,Big Ten,2005,22,6,Running Back
Justin Geisinger,Vanderbilt,SEC,2005,23,6,Offensive Guard
Joel Dreessen,Colorado State,Mountain West,2005,24,6,Tight End
Khari Long,Baylor,Big 12,2005,25,6,Defensive End
Chris Myers,Miami,ACC,2005,26,6,Offensive Tackle
DeAndra Cobb,Michigan State,Big Ten,2005,27,6,Running Back
Dave Rayner,Michigan State,Big Ten,2005,28,6,Place Kicker
Andrew Hoffman,Virginia,ACC,2005,29,6,Defensive End
Chris Kemoeatu,Utah,Mountain West,2005,30,6,Offensive Guard
Derrick Johnson,Washington,Pac-10,2005,31,6,Defensive Back
Johnathan Goddard,Marshall,Mid-American,2005,32,6,Linebacker
Joe Berger,Michigan Tech,,2005,33,6,Offensive Tackle
Justin Beriault,Ball State,Mid-American,2005,34,6,Defensive Back
Rob Petitti,Pittsburgh,Big East,2005,35,6,Offensive Tackle
Reggie Hodges,Ball State,Mid-American,2005,36,6,Punter
Calvin Armstrong,Washington State,Pac-10,2005,37,6,Offensive Tackle
Ryan Riddle,California,Pac-10,2005,38,6,Linebacker
Derek Anderson,Oregon State,Pac-10,2005,39,6,Quarterback
Pete McMahon,Iowa,Big Ten,2005,40,6,Offensive Tackle
Daven Holly,Cincinnati,Conference USA,2005,1,7,Defensive Back
Kevin Vickerson,Michigan State,Big Ten,2005,2,7,Defensive Tackle
Jon Dunn,Virginia Tech,ACC,2005,3,7,Offensive Tackle
