name,team,conference,year,pick,round,position
Gregory Wesley,Arkansas-Pine Bluff,,2000,23,3,Defensive Back
Jeff Ulbrich,Hawai'i,Western Athletic,2000,24,3,Linebacker
Dustin Lyman,Wake Forest,ACC,2000,25,3,Tight End
Doug Chapman,Marshall,Mid-American,2000,26,3,Running Back
Corey Moore,Virginia Tech,Big East,2000,27,3,Linebacker
Nate Webster,Miami,Big East,2000,28,3,Linebacker
David Macklin,Penn State,Big Ten,2000,29,3,Defensive Back
T.J. Slaughter,Southern Mississippi,Conference USA,2000,30,3,Linebacker
Byron Frisch,BYU,Mountain West,2000,31,3,Defensive End
John St. Clair,Virginia,ACC,2000,32,3,Center
Lewis Sanders,Maryland,ACC,2000,1,4,Defensive Back
Terrelle Smith,Arizona State,Pac-10,2000,2,4,Running Back
Curtis Keaton,James Madison,,2000,3,4,Running Back
Na'il Diggs,Ohio State,Big Ten,2000,4,4,Linebacker
Gari Scott,Michigan State,Big Ten,2000,5,4,Wide Receiver
Michael Thompson,Tennessee State,,2000,6,4,Offensive Tackle
Jerry Johnson,Florida State,ACC,2000,7,4,Defensive Tackle
David Barrett,Arkansas,SEC,2000,8,4,Defensive Back
Danny Farmer,UCLA,Pac-10,2000,9,4,Wide Receiver
Kaulana Noa,Hawai'i,Western Athletic,2000,10,4,Offensive Tackle
Brandon Short,Penn State,Big Ten,2000,11,4,Linebacker
Antonio Wilson,Texas A&M-Commerce,,2000,12,4,Linebacker
Junior Ioane,Arizona State,Pac-10,2000,13,4,Defensive Tackle
John Keith,Furman,,2000,14,4,Defensive Back
Kareem Larrimore,West Texas A&M,,2000,15,4,Defensive Back
Aaron Shea,Michigan,Big Ten,2000,16,4,Tight End
Trevor Gaylor,Miami (OH),Mid-American,2000,17,4,Wide Receiver
Cooper Carlisle,Florida,SEC,2000,18,4,Offensive Tackle
Leonardo Carson,Auburn,SEC,2000,19,4,Defensive Tackle
Anthony Lucas,Arkansas,SEC,2000,20,4,Wide Receiver
Frank Moreau,Louisville,Conference USA,2000,21,4,Running Back
Marcus Bell,Arizona,Pac-10,2000,22,4,Linebacker
Deon Dyer,North Carolina,ACC,2000,23,4,Running Back
Tyrone Carter,Minnesota,Big Ten,2000,24,4,Defensive Back
Isaiah Kacyvenski,Harvard,Ivy,2000,25,4,Linebacker
Alvin McKinley,Mississippi State,SEC,2000,26,4,Defensive Tackle
Avion Black,Tennessee State,,2000,27,4,Wide Receiver
Josh Williams,Michigan,Big Ten,2000,28,4,Defensive Tackle
Joey Chustz,Louisiana Tech,FBS Independents,2000,29,4,Offensive Tackle
Bobby Myers,Wisconsin,Big Ten,2000,30,4,Defensive Back
Reggie Austin,Wake Forest,ACC,2000,31,4,Defensive Back
Gary Berry,Ohio State,Big Ten,2000,32,4,Defensive Back
Greg Robinson-Randall,Michigan State,Big Ten,2000,33,4,Offensive Tackle
Peter Sirmon,Oregon,Pac-10,2000,34,4,Linebacker
Michael Moore,Troy,,2000,35,4,Offensive Guard
Anthony Malbrough,Texas Tech,Big 12,2000,1,5,Defensive Back
Tutan Reyes,Ole Miss,SEC,2000,2,5,Offensive Tackle
Paul Smith,UTEP,Western Athletic,2000,3,5,Running Back
Robert Bean,Mississippi State,SEC,2000,4,5,Defensive Back
