team,year,conference,firstDowns,fourthDownConversions,fourthDowns,fumblesLost,fumblesRecovered,games,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,netPassingYards,passAttempts,passCompletions,passesIntercepted,passingTDs,penalties,penaltyYards,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,sacks,tacklesForLoss,thirdDownConversions,thirdDowns,totalYards,turnovers
Air Force,2022,Mountain West,266.0,21.0,29.0,11.0,8.0,13.0,0.0,89.0,2.0,0.0,54.0,5.0,916.0,87.0,41.0,9.0,8.0,51.0,386.0,28361.0,0.0,11.0,4.0,802.0,37.0,4254.0,24.0,66.0,79.0,176.0,5170.0,13.0
Air Force,2023,Mountain West,255.0,17.0,25.0,11.0,4.0,13.0,2.0,162.0,6.0,0.0,76.0,4.0,1105.0,105.0,55.0,10.0,7.0,39.0,322.0,26088.0,0.0,23.0,8.0,711.0,36.0,3648.0,30.0,68.0,78.0,168.0,4753.0,17.0
Akron,2007,Mid-American,209.0,3.0,15.0,14.0,9.0,12.0,1.0,178.0,14.0,,,,2408.0,374.0,201.0,15.0,15.0,84.0,635.0,12684.0,0.0,232.0,23.0,439.0,11.0,1534.0,,,65.0,183.0,3740.0,28.0
Akron,2008,Mid-American,255.0,11.0,18.0,8.0,17.0,12.0,0.0,122.0,14.0,,,,2888.0,404.0,232.0,9.0,20.0,66.0,558.0,12445.0,1.0,79.0,22.0,435.0,23.0,1982.0,,,65.0,160.0,4760.0,22.0
Akron,2009,Mid-American,198.0,3.0,14.0,11.0,6.0,12.0,2.0,180.0,13.0,1.0,1211.0,56.0,2351.0,342.0,190.0,13.0,12.0,70.0,610.0,11809.0,1.0,122.0,39.0,393.0,13.0,1421.0,,,48.0,149.0,3611.0,24.0
Akron,2010,Mid-American,175.0,5.0,12.0,8.0,8.0,12.0,0.0,70.0,14.0,0.0,1227.0,65.0,2069.0,349.0,174.0,8.0,12.0,65.0,546.0,12693.0,0.0,36.0,21.0,393.0,10.0,1361.0,,,61.0,175.0,3222.0,22.0
Akron,2011,Mid-American,189.0,13.0,24.0,13.0,11.0,12.0,0.0,0.0,11.0,0.0,1091.0,63.0,2182.0,376.0,171.0,2.0,12.0,63.0,523.0,12485.0,0.0,47.0,24.0,413.0,7.0,1373.0,,,50.0,180.0,3333.0,24.0
Akron,2012,Mid-American,287.0,9.0,20.0,9.0,8.0,12.0,1.0,62.0,18.0,0.0,745.0,46.0,3753.0,583.0,364.0,5.0,30.0,99.0,777.0,20216.0,0.0,165.0,24.0,365.0,9.0,1373.0,,,75.0,189.0,5126.0,27.0
Akron,2013,Mid-American,227.0,7.0,18.0,11.0,6.0,12.0,1.0,132.0,10.0,0.0,817.0,44.0,2633.0,419.0,234.0,13.0,18.0,78.0,642.0,21001.0,0.0,72.0,22.0,418.0,12.0,1471.0,,,72.0,183.0,4104.0,21.0
Akron,2014,Mid-American,259.0,7.0,21.0,12.0,11.0,12.0,1.0,201.0,14.0,0.0,626.0,32.0,2995.0,527.0,284.0,12.0,14.0,101.0,870.0,20988.0,0.0,75.0,19.0,363.0,18.0,1484.0,,,61.0,179.0,4479.0,26.0
Akron,2015,Mid-American,257.0,7.0,15.0,6.0,14.0,13.0,0.0,29.0,12.0,0.0,525.0,31.0,2508.0,370.0,184.0,14.0,18.0,98.0,839.0,25600.0,0.0,25.0,2.0,535.0,20.0,2134.0,,,73.0,200.0,4642.0,18.0
Akron,2016,Mid-American,232.0,10.0,21.0,8.0,5.0,12.0,1.0,107.0,14.0,0.0,683.0,37.0,3063.0,396.0,217.0,8.0,25.0,91.0,807.0,18707.0,3.0,298.0,18.0,380.0,13.0,1586.0,16.0,61.0,60.0,158.0,4649.0,22.0
Akron,2017,Mid-American,257.0,6.0,14.0,6.0,8.0,14.0,3.0,398.0,11.0,0.0,602.0,33.0,2949.0,447.0,242.0,19.0,24.0,88.0,873.0,24147.0,0.0,12.0,6.0,459.0,14.0,1480.0,22.0,74.0,81.0,203.0,4429.0,17.0
Akron,2018,Mid-American,202.0,5.0,17.0,12.0,9.0,12.0,2.0,209.0,14.0,0.0,343.0,24.0,2390.0,374.0,187.0,10.0,16.0,80.0,733.0,20269.0,1.0,150.0,17.0,390.0,5.0,1159.0,22.0,81.0,49.0,169.0,3549.0,26.0
Akron,2019,Mid-American,156.0,7.0,23.0,12.0,9.0,12.0,1.0,120.0,14.0,0.0,859.0,40.0,2344.0,398.0,204.0,5.0,12.0,81.0,628.0,19072.0,0.0,35.0,12.0,327.0,2.0,562.0,12.0,64.0,42.0,161.0,2906.0,26.0
Akron,2020,Mid-American,95.0,4.0,9.0,3.0,4.0,6.0,0.0,44.0,6.0,0.0,496.0,25.0,838.0,148.0,83.0,2.0,4.0,23.0,185.0,10800.0,1.0,-8.0,3.0,211.0,7.0,842.0,9.0,15.0,26.0,77.0,1680.0,9.0
Akron,2021,Mid-American,225.0,14.0,32.0,12.0,6.0,12.0,1.0,79.0,5.0,1.0,662.0,53.0,2610.0,352.0,226.0,6.0,21.0,68.0,553.0,22428.0,0.0,50.0,9.0,432.0,8.0,1463.0,15.0,45.0,62.0,163.0,4073.0,17.0
Akron,2022,Mid-American,254.0,12.0,24.0,12.0,2.0,12.0,1.0,119.0,10.0,0.0,866.0,42.0,3124.0,457.0,296.0,8.0,13.0,72.0,652.0,19937.0,0.0,88.0,17.0,348.0,15.0,1026.0,18.0,58.0,52.0,155.0,4150.0,22.0
Akron,2023,Mid-American,200.0,8.0,23.0,6.0,5.0,12.0,1.0,191.0,15.0,0.0,632.0,36.0,2371.0,425.0,258.0,6.0,10.0,83.0,722.0,21285.0,0.0,110.0,18.0,346.0,12.0,972.0,19.0,62.0,57.0,171.0,3343.0,21.0
Alabama,2007,SEC,294.0,6.0,12.0,10.0,5.0,13.0,0.0,235.0,12.0,0.0,88.0,3.0,3090.0,472.0,263.0,19.0,19.0,59.0,453.0,14949.0,1.0,370.0,33.0,490.0,19.0,1940.0,,,75.0,198.0,4349.0,22.0
Alabama,2008,SEC,263.0,8.0,10.0,11.0,11.0,14.0,4.0,305.0,9.0,,,,2574.0,334.0,195.0,15.0,10.0,56.0,505.0,16355.0,4.0,701.0,64.0,568.0,32.0,2585.0,,,76.0,183.0,4981.0,20.0
Alabama,2009,SEC,289.0,10.0,17.0,7.0,7.0,14.0,2.0,319.0,5.0,0.0,791.0,33.0,2743.0,346.0,212.0,24.0,17.0,69.0,598.0,17106.0,1.0,587.0,64.0,601.0,31.0,3011.0,,,76.0,194.0,5642.0,12.0
Alabama,2010,SEC,287.0,9.0,14.0,9.0,4.0,13.0,2.0,239.0,5.0,1.0,986.0,41.0,3562.0,362.0,253.0,22.0,24.0,66.0,490.0,15071.0,1.0,349.0,45.0,467.0,30.0,2378.0,,,68.0,151.0,5773.0,14.0
Alabama,2011,SEC,281.0,9.0,13.0,4.0,7.0,13.0,3.0,218.0,8.0,0.0,530.0,23.0,2894.0,357.0,237.0,13.0,16.0,49.0,369.0,16073.0,1.0,507.0,62.0,508.0,34.0,2788.0,,,78.0,168.0,5585.0,12.0
Alabama,2012,SEC,303.0,7.0,11.0,12.0,11.0,14.0,1.0,221.0,3.0,1.0,503.0,21.0,3052.0,328.0,219.0,18.0,31.0,54.0,467.0,29579.0,0.0,337.0,34.0,570.0,37.0,3171.0,,,80.0,167.0,6223.0,15.0
Alabama,2013,SEC,302.0,7.0,12.0,10.0,8.0,13.0,3.0,253.0,7.0,1.0,736.0,30.0,3230.0,365.0,244.0,11.0,30.0,63.0,520.0,24923.0,3.0,413.0,30.0,461.0,28.0,2673.0,,,70.0,147.0,5903.0,17.0
Alabama,2014,SEC,340.0,10.0,13.0,12.0,9.0,14.0,0.0,84.0,10.0,0.0,1006.0,50.0,3890.0,451.0,290.0,11.0,32.0,69.0,562.0,27657.0,0.0,234.0,25.0,567.0,35.0,2893.0,,,102.0,199.0,6783.0,22.0
Alabama,2015,SEC,329.0,12.0,24.0,7.0,8.0,15.0,4.0,462.0,10.0,1.0,803.0,39.0,3407.0,446.0,301.0,19.0,22.0,89.0,835.0,30191.0,5.0,597.0,47.0,642.0,33.0,2999.0,,,80.0,215.0,6406.0,17.0
Alabama,2016,SEC,315.0,10.0,17.0,10.0,11.0,15.0,6.0,398.0,9.0,0.0,547.0,28.0,3154.0,417.0,265.0,16.0,26.0,85.0,660.0,27839.0,4.0,528.0,36.0,639.0,33.0,3675.0,54.0,118.0,91.0,209.0,6829.0,19.0
Alabama,2017,SEC,311.0,15.0,18.0,7.0,4.0,14.0,2.0,279.0,3.0,0.0,438.0,20.0,2708.0,332.0,204.0,19.0,28.0,70.0,569.0,24993.0,0.0,301.0,39.0,612.0,36.0,3509.0,40.0,100.0,72.0,177.0,6217.0,10.0
Alabama,2018,SEC,372.0,7.0,16.0,8.0,6.0,15.0,4.0,276.0,8.0,1.0,523.0,24.0,4854.0,438.0,301.0,14.0,52.0,86.0,796.0,27411.0,1.0,250.0,20.0,572.0,33.0,2974.0,44.0,105.0,86.0,165.0,7828.0,16.0
Alabama,2019,SEC,318.0,13.0,19.0,4.0,17.0,13.0,2.0,245.0,6.0,1.0,637.0,31.0,4449.0,406.0,287.0,17.0,49.0,95.0,855.0,23390.0,3.0,531.0,24.0,436.0,27.0,2191.0,37.0,101.0,80.0,153.0,6640.0,10.0
Alabama,2020,SEC,365.0,6.0,9.0,8.0,10.0,13.0,3.0,212.0,4.0,0.0,276.0,18.0,4656.0,425.0,324.0,12.0,42.0,78.0,625.0,24032.0,1.0,299.0,20.0,475.0,37.0,2378.0,27.0,71.0,87.0,145.0,7034.0,12.0
Alabama,2021,SEC,367.0,9.0,17.0,6.0,6.0,15.0,2.0,189.0,7.0,2.0,480.0,20.0,5073.0,571.0,380.0,15.0,48.0,107.0,990.0,29142.0,2.0,260.0,33.0,548.0,21.0,2250.0,57.0,119.0,117.0,225.0,7323.0,13.0
Alabama,2022,SEC,310.0,9.0,15.0,8.0,9.0,13.0,1.0,74.0,8.0,0.0,372.0,21.0,3660.0,438.0,280.0,7.0,37.0,103.0,893.0,23330.0,2.0,456.0,30.0,458.0,26.0,2544.0,38.0,84.0,74.0,162.0,6204.0,16.0
Alabama,2023,SEC,277.0,5.0,7.0,5.0,7.0,14.0,1.0,125.0,6.0,0.0,533.0,25.0,3086.0,325.0,208.0,12.0,23.0,78.0,655.0,25815.0,1.0,178.0,21.0,561.0,32.0,2417.0,40.0,84.0,82.0,182.0,5503.0,11.0
Appalachian State,2014,Sun Belt,283.0,14.0,23.0,10.0,7.0,12.0,1.0,97.0,11.0,0.0,551.0,32.0,2637.0,340.0,205.0,12.0,21.0,88.0,755.0,22806.0,1.0,65.0,12.0,537.0,33.0,2901.0,,,84.0,172.0,5538.0,21.0
Appalachian State,2015,Sun Belt,292.0,15.0,24.0,13.0,6.0,13.0,3.0,280.0,9.0,0.0,804.0,38.0,2546.0,297.0,180.0,18.0,33.0,84.0,739.0,24402.0,0.0,99.0,20.0,605.0,25.0,3529.0,,,73.0,170.0,6075.0,22.0
Appalachian State,2016,Sun Belt,288.0,16.0,29.0,5.0,1.0,13.0,2.0,271.0,8.0,1.0,702.0,34.0,2327.0,334.0,203.0,20.0,16.0,79.0,750.0,26206.0,0.0,185.0,21.0,578.0,29.0,3262.0,33.0,79.0,59.0,175.0,5589.0,13.0
Appalachian State,2017,Sun Belt,272.0,13.0,24.0,8.0,8.0,13.0,0.0,382.0,6.0,0.0,666.0,30.0,2811.0,356.0,215.0,18.0,28.0,91.0,831.0,24382.0,0.0,222.0,26.0,529.0,27.0,2904.0,39.0,89.0,71.0,177.0,5715.0,14.0
Appalachian State,2018,Sun Belt,264.0,13.0,22.0,5.0,6.0,13.0,1.0,253.0,12.0,1.0,640.0,22.0,2478.0,319.0,196.0,17.0,27.0,80.0,747.0,23860.0,3.0,378.0,29.0,539.0,31.0,3117.0,28.0,84.0,71.0,170.0,5595.0,17.0
Appalachian State,2019,Sun Belt,294.0,14.0,16.0,3.0,15.0,14.0,4.0,149.0,6.0,1.0,562.0,25.0,2815.0,369.0,230.0,14.0,30.0,95.0,900.0,25733.0,1.0,220.0,24.0,599.0,35.0,3240.0,46.0,94.0,88.0,198.0,6055.0,9.0
Appalachian State,2020,Sun Belt,281.0,11.0,20.0,6.0,3.0,12.0,2.0,231.0,11.0,1.0,739.0,33.0,2244.0,300.0,190.0,15.0,21.0,88.0,816.0,22821.0,0.0,173.0,18.0,545.0,28.0,3180.0,26.0,66.0,83.0,162.0,5424.0,17.0
Appalachian State,2021,Sun Belt,317.0,25.0,38.0,14.0,7.0,14.0,4.0,347.0,12.0,2.0,1141.0,43.0,3487.0,413.0,255.0,15.0,29.0,85.0,744.0,25964.0,0.0,168.0,25.0,567.0,26.0,2691.0,37.0,111.0,68.0,188.0,6178.0,26.0
Appalachian State,2022,Sun Belt,276.0,18.0,37.0,5.0,18.0,12.0,0.0,32.0,6.0,1.0,699.0,28.0,3005.0,358.0,226.0,7.0,28.0,66.0,604.0,22029.0,0.0,78.0,16.0,474.0,27.0,2459.0,29.0,68.0,61.0,156.0,5464.0,11.0
Appalachian State,2023,Sun Belt,332.0,18.0,28.0,12.0,10.0,14.0,2.0,149.0,10.0,0.0,604.0,27.0,3827.0,471.0,299.0,15.0,34.0,61.0,567.0,26262.0,0.0,37.0,2.0,534.0,23.0,2402.0,35.0,84.0,79.0,189.0,6229.0,22.0
Arizona,2007,Pac-10,239.0,5.0,19.0,15.0,10.0,12.0,2.0,306.0,12.0,,,,3955.0,531.0,332.0,15.0,28.0,75.0,641.0,12478.0,2.0,279.0,42.0,320.0,7.0,921.0,,,62.0,177.0,4623.0,27.0
Arizona,2008,Pac-10,287.0,4.0,16.0,13.0,12.0,13.0,2.0,307.0,8.0,,,,3355.0,412.0,266.0,16.0,24.0,52.0,433.0,14652.0,3.0,587.0,42.0,504.0,33.0,2059.0,,,81.0,175.0,5231.0,21.0
Arizona,2009,Pac-10,263.0,11.0,23.0,8.0,7.0,13.0,2.0,148.0,12.0,1.0,1320.0,53.0,3023.0,484.0,301.0,12.0,20.0,70.0,544.0,14835.0,2.0,245.0,37.0,430.0,19.0,2072.0,,,77.0,186.0,4999.0,20.0
Arizona,2010,Pac-10,308.0,9.0,18.0,10.0,9.0,13.0,1.0,130.0,12.0,1.0,1103.0,48.0,4221.0,524.0,357.0,9.0,25.0,91.0,682.0,14285.0,0.0,129.0,41.0,435.0,20.0,1712.0,,,94.0,194.0,5712.0,22.0
Arizona,2011,Pac-12,308.0,14.0,26.0,6.0,5.0,12.0,3.0,234.0,15.0,0.0,1199.0,60.0,4633.0,577.0,398.0,11.0,29.0,95.0,786.0,12734.0,0.0,66.0,25.0,331.0,17.0,1134.0,,,71.0,164.0,5583.0,21.0
Arizona,2012,Pac-12,380.0,11.0,23.0,13.0,15.0,13.0,1.0,236.0,15.0,0.0,560.0,29.0,3879.0,538.0,326.0,12.0,30.0,83.0,716.0,21105.0,1.0,170.0,17.0,544.0,33.0,2961.0,,,80.0,182.0,6840.0,28.0
Arizona,2013,Pac-12,311.0,12.0,30.0,11.0,4.0,13.0,5.0,303.0,7.0,0.0,676.0,34.0,2516.0,383.0,233.0,18.0,16.0,52.0,478.0,22295.0,0.0,166.0,27.0,647.0,36.0,3444.0,,,100.0,212.0,5960.0,18.0
Arizona,2014,Pac-12,346.0,16.0,26.0,8.0,13.0,14.0,1.0,138.0,10.0,1.0,817.0,38.0,3945.0,564.0,320.0,13.0,29.0,92.0,881.0,23611.0,1.0,174.0,17.0,575.0,26.0,2546.0,,,89.0,234.0,6491.0,18.0
Arizona,2015,Pac-12,320.0,10.0,27.0,10.0,5.0,13.0,2.0,98.0,10.0,0.0,729.0,32.0,3548.0,466.0,273.0,11.0,27.0,74.0,633.0,20521.0,1.0,144.0,9.0,526.0,31.0,2886.0,,,77.0,189.0,6434.0,20.0
Arizona,2016,Pac-12,245.0,5.0,18.0,9.0,8.0,12.0,0.0,32.0,12.0,0.0,516.0,33.0,2137.0,306.0,157.0,8.0,13.0,76.0,768.0,18605.0,0.0,56.0,12.0,509.0,26.0,2820.0,22.0,59.0,57.0,157.0,4957.0,21.0
Arizona,2017,Pac-12,306.0,12.0,17.0,9.0,6.0,13.0,2.0,320.0,13.0,0.0,771.0,31.0,2343.0,295.0,183.0,19.0,19.0,68.0,705.0,22264.0,2.0,186.0,18.0,613.0,48.0,4021.0,30.0,73.0,71.0,170.0,6364.0,22.0
