name,team,year,games,wins,losses,cumulative_wins,cumulative_games,career_win_pct
Dana Bible,Texas A&M,1925,9,7,1,59,84,0.7023809523809523
Tom Sebring,Florida,1925,10,8,2,8,10,0.8
Mike Donahue,LSU,1925,9,5,3,112,166,0.6746987951807228
Charlie Bachman,Kansas State,1925,8,5,2,27,56,0.48214285714285715
Fred Murphy,Kentucky,1925,9,6,3,40,81,0.49382716049382713
William Fetzer,North Carolina,1925,9,7,1,61,96,0.6354166666666666
Ott Romney,Montana State,1925,11,6,5,16,27,0.5925925925925926
Enoch Bagshaw,Washington,1925,12,11,0,38,50,0.76
John Heisman,Rice,1925,9,4,4,142,204,0.696078431372549
C.J. Hart,BYU,1925,6,3,3,3,6,0.5
Amos Alonzo Stagg,Chicago,1925,8,3,4,253,364,0.695054945054945
Pete Reynolds,Syracuse,1925,10,8,1,13,20,0.65
Glenn Thistlethwaite,Northwestern,1925,8,5,3,14,31,0.45161290322580644
Paul Schissler,Oregon State,1925,9,7,2,10,17,0.5882352941176471
David Morey,Auburn,1925,9,5,3,5,9,0.5555555555555556
Bud Saunders,Clemson,1925,8,1,7,8,24,0.3333333333333333
Madison Bell,TCU,1925,9,7,1,15,27,0.5555555555555556
William Alexander,Georgia Tech,1925,9,6,2,37,54,0.6851851851851852
John McEwan,Army,1925,9,7,2,18,26,0.6923076923076923
Curley Byrd,Maryland,1925,8,2,5,39,78,0.5
Myron Witham,Colorado,1925,9,6,3,35,49,0.7142857142857143
Hank Garrity,Wake Forest,1925,9,6,2,19,27,0.7037037037037037
B.C. Cubbage,Virginia Tech,1925,10,5,3,30,48,0.625
Bennie Owen,Oklahoma,1925,8,4,3,88,142,0.6197183098591549
John Wilce,Ohio State,1925,8,4,3,62,96,0.6458333333333334
Ossie Solem,Drake,1925,8,5,3,27,37,0.7297297297297297
John Maulbetsch,Oklahoma State,1925,8,2,5,24,57,0.42105263157894735
Burton Ingwersen,Iowa,1925,8,5,3,11,16,0.6875
Ernest Bearg,Nebraska,1925,8,4,2,4,8,0.5
James Phelan,Purdue,1925,8,3,4,24,46,0.5217391304347826
William Ingram,Indiana,1925,8,3,4,16,32,0.5
Ray Morrison,SMU,1925,9,5,2,29,54,0.5370370370370371
Francis Schmidt,Arkansas,1925,9,4,4,22,37,0.5945945945945946
Ralph Young,Michigan State,1925,8,3,5,3,8,0.375
Harry Hughes,Colorado State,1925,10,9,1,60,101,0.594059405940594
Richard Smith,Oregon,1925,7,1,5,1,7,0.14285714285714285
Fielding Yost,Michigan,1925,8,7,1,158,196,0.8061224489795918
Dan McGugin,Vanderbilt,1925,9,6,3,137,185,0.7405405405405405
Edward Stewart,Texas,1925,9,6,2,36,60,0.6
Gus Tebell,NC State,1925,9,3,5,3,9,0.3333333333333333
Sam Willaman,Iowa State,1925,8,4,3,14,32,0.4375
Frank Dobson,Richmond,1925,9,3,6,31,71,0.43661971830985913
William Dietz,Wyoming,1925,9,6,3,15,31,0.4838709677419355
Potsy Clark,Kansas,1925,8,2,5,16,39,0.41025641025641024
D.C. Morrow,Washington & Jefferson,1925,9,6,2,52,76,0.6842105263157895
Greasy Neale,Virginia,1925,9,7,1,31,48,0.6458333333333334
Andy Smith,California,1925,9,6,3,86,118,0.7288135593220338
Ike Armstrong,Utah,1925,8,6,2,6,8,0.75
Jock Sutherland,Pittsburgh,1925,9,8,1,46,61,0.7540983606557377
Jack Owsley,Navy,1925,8,5,2,15,18,0.8333333333333334
Knute Rockne,Notre Dame,1926,10,9,1,74,85,0.8705882352941177
Bud Saunders,Clemson,1926,3,1,2,9,27,0.3333333333333333
Fielding Yost,Michigan,1926,8,7,1,165,204,0.8088235294117647
Howard Jones,USC,1926,10,8,2,92,132,0.696969696969697
Madison Bell,TCU,1926,9,6,1,21,36,0.5833333333333334
Homer Hazel,Ole Miss,1926,9,5,4,10,19,0.5263157894736842
Paul Schissler,Oregon State,1926,8,7,1,17,25,0.68
Rat Rogers,West Virginia,1926,10,6,4,14,19,0.7368421052631579
Robert Zuppke,Illinois,1926,8,6,2,70,103,0.6796116504854369
William Alexander,Georgia Tech,1926,9,4,5,41,63,0.6507936507936508
Wallace Wade,Alabama,1926,10,9,0,34,39,0.8717948717948718
Clark Shaughnessy,Tulane,1926,9,3,5,55,88,0.625
Edward Stewart,Texas,1926,9,5,4,41,69,0.5942028985507246
Glenn Thistlethwaite,Northwestern,1926,8,7,1,21,39,0.5384615384615384
Mike Donahue,LSU,1926,9,6,3,118,175,0.6742857142857143
Ott Romney,Montana State,1926,7,4,2,20,34,0.5882352941176471
Walter Steffen,Carnegie Mellon,1926,9,7,2,26,43,0.6046511627906976
John Maulbetsch,Oklahoma State,1926,8,3,4,27,65,0.4153846153846154
Dan McGugin,Vanderbilt,1926,9,8,1,145,194,0.7474226804123711
Walter Johnson,Presbyterian College,1926,9,7,2,47,91,0.5164835164835165
O.E. Hollingbery,Washington State,1926,7,6,1,6,7,0.8571428571428571
Branch Bocock,South Carolina,1926,10,6,4,58,86,0.6744186046511628
DeOrmond McLaughry,Brown,1926,10,9,0,9,10,0.9
Francis Schmidt,Arkansas,1926,10,5,5,27,47,0.574468085106383
Bob Higgins,Washington (MO),1926,8,1,7,3,16,0.1875
Jock Sutherland,Pittsburgh,1926,9,5,2,51,70,0.7285714285714285
Greasy Neale,Virginia,1926,10,6,2,37,58,0.6379310344827587
Amos Alonzo Stagg,Chicago,1926,8,2,6,255,372,0.6854838709677419
Morley Jennings,Baylor,1926,10,6,3,6,10,0.6
Gwinn Henry,Missouri,1926,8,5,1,20,33,0.6060606060606061
Harry Hughes,Colorado State,1926,9,6,2,66,110,0.6
John McEwan,Oregon,1926,7,2,4,20,33,0.6060606060606061
Gilmour Dobie,Cornell,1926,8,6,1,69,83,0.8313253012048193
Burton Ingwersen,Iowa,1926,8,3,5,14,24,0.5833333333333334
John Heisman,Rice,1926,9,4,4,146,213,0.6854460093896714
Tom Sebring,Florida,1926,10,2,6,10,20,0.5
Ralph Young,Michigan State,1926,8,3,4,6,16,0.375
Cappy Cappon,Kansas,1926,8,2,6,2,8,0.25
Ernest Bearg,Nebraska,1926,8,6,2,10,16,0.625
James Baldwin,Wake Forest,1926,10,5,4,14,28,0.5
William Ingram,Navy,1926,10,9,0,25,42,0.5952380952380952
Biff Jones,Army,1926,9,7,1,7,9,0.7777777777777778
Gus Tebell,NC State,1926,10,4,6,7,19,0.3684210526315789
Hugo Bezdek,Penn State,1926,9,5,4,90,137,0.656934306569343
Dana Bible,Texas A&M,1926,9,5,3,64,93,0.6881720430107527
Pete Reynolds,Syracuse,1926,10,7,2,20,30,0.6666666666666666
Charlie Bachman,Kansas State,1926,8,5,3,32,64,0.5
David Morey,Auburn,1926,9,5,4,10,18,0.5555555555555556
Curley Byrd,Maryland,1926,10,5,4,44,88,0.5
Andrew Kerr,Washington & Jefferson,1926,9,7,1,18,27,0.6666666666666666
Jimmy DeHart,Duke,1926,9,3,6,25,47,0.5319148936170213
Ossie Solem,Drake,1926,8,2,6,29,45,0.6444444444444445
Chuck Collins,North Carolina,1926,9,4,5,4,9,0.4444444444444444
George Little,Wisconsin,1926,8,5,2,17,24,0.7083333333333334
Myron Witham,Colorado,1926,9,3,5,38,58,0.6551724137931034
Clarence Spears,Minnesota,1926,8,5,3,40,54,0.7407407407407407
Ike Armstrong,Utah,1926,7,7,0,13,15,0.8666666666666667
Bernie Bierman,Mississippi State,1926,9,5,4,8,17,0.47058823529411764
Andy Gustafson,Virginia Tech,1926,9,5,3,5,9,0.5555555555555556
Nibs Price,California,1926,9,3,6,3,9,0.3333333333333333
Bob Neyland,Tennessee,1926,9,8,1,8,9,0.8888888888888888
George Woodruff,Georgia,1926,9,5,4,163,206,0.7912621359223301
George Hauser,Colgate,1926,9,5,2,5,9,0.5555555555555556
C.J. Hart,BYU,1926,7,1,5,4,13,0.3076923076923077
James Phelan,Purdue,1926,8,5,2,29,54,0.5370370370370371
Bob Williams,Clemson,1926,5,0,5,21,46,0.45652173913043476
Pat Page,Indiana,1926,8,3,5,3,8,0.375
William Dietz,Wyoming,1926,8,2,4,17,39,0.4358974358974359
Jesse Hawley,Dartmouth,1926,8,4,4,51,75,0.68
Fred Murphy,Kentucky,1926,9,2,6,42,90,0.4666666666666667
Bennie Owen,Oklahoma,1926,8,5,2,93,150,0.62
Enoch Bagshaw,Washington,1926,10,8,2,46,60,0.7666666666666667
Fred Dawson,Denver,1926,8,4,4,28,47,0.5957446808510638
John Wilce,Ohio State,1926,8,7,1,69,104,0.6634615384615384
Pop Warner,Stanford,1926,11,10,0,233,321,0.7258566978193146
Tad Jones,Yale,1926,8,4,4,59,88,0.6704545454545454
Ray Morrison,SMU,1926,9,8,0,37,63,0.5873015873015873
Lew Andreas,Syracuse,1927,10,5,3,5,10,0.5
Jock Sutherland,Pittsburgh,1927,10,8,1,59,80,0.7375
Morley Jennings,Baylor,1927,9,2,7,8,19,0.42105263157894735
Bob Neyland,Tennessee,1927,9,8,0,16,18,0.8888888888888888
Gus Tebell,NC State,1927,10,9,1,16,29,0.5517241379310345
Boozer Pitts,Auburn,1927,6,0,4,7,24,0.2916666666666667
Paul Schissler,Oregon State,1927,7,3,3,20,32,0.625
Dan McGugin,Vanderbilt,1927,11,8,1,153,205,0.7463414634146341
Andy Gustafson,Virginia Tech,1927,9,5,4,10,18,0.5555555555555556
Pat Page,Indiana,1927,8,3,4,6,16,0.375
Ernest Bearg,Nebraska,1927,8,6,2,16,24,0.6666666666666666
Glenn Thistlethwaite,Wisconsin,1927,8,4,4,25,47,0.5319148936170213
Walter Steffen,Carnegie Mellon,1927,10,5,4,31,53,0.5849056603773585
Ott Romney,Montana State,1927,8,4,4,24,42,0.5714285714285714
Jesse Hawley,Dartmouth,1927,8,7,1,58,83,0.6987951807228916
Gus Dorais,Detroit Mercy,1927,9,7,2,21,31,0.6774193548387096
John Maulbetsch,Oklahoma State,1927,8,4,4,31,73,0.4246575342465753
Francis Schmidt,Arkansas,1927,9,8,1,35,56,0.625
Myron Witham,Colorado,1927,9,4,5,42,67,0.6268656716417911
Ike Armstrong,Utah,1927,7,3,3,16,22,0.7272727272727273
Harry Hughes,Colorado State,1927,8,7,1,73,118,0.6186440677966102
Curley Byrd,Maryland,1927,11,4,7,48,99,0.48484848484848486
John McEwan,Oregon,1927,7,2,4,22,40,0.55
Burton Ingwersen,Iowa,1927,8,4,4,18,32,0.5625
John Wilce,Ohio State,1927,8,4,4,73,112,0.6517857142857143
Josh Cody,Clemson,1927,9,5,3,5,9,0.5555555555555556
Ossie Solem,Drake,1927,9,3,6,32,54,0.5925925925925926
Madison Bell,TCU,1927,9,4,3,25,45,0.5555555555555556
Greasy Neale,Virginia,1927,9,5,4,42,67,0.6268656716417911
David Morey,Auburn,1927,3,0,3,10,21,0.47619047619047616
Chuck Collins,North Carolina,1927,10,4,6,8,19,0.42105263157894735
James Phelan,Purdue,1927,8,6,2,35,62,0.5645161290322581
William Alexander,Georgia Tech,1927,10,8,1,49,73,0.6712328767123288
Ray Morrison,SMU,1927,9,7,2,44,72,0.6111111111111112
William Ingram,Navy,1927,9,6,3,31,51,0.6078431372549019
Harry Gamage,Kentucky,1927,10,3,6,3,10,0.3
Tad Wieman,Michigan,1927,8,6,2,6,8,0.75
Hugo Bezdek,Penn State,1927,9,6,2,96,146,0.6575342465753424
O.E. Hollingbery,Washington State,1927,8,3,3,9,15,0.6
Gwinn Henry,Missouri,1927,9,7,2,27,42,0.6428571428571429
Lou Little,Georgetown,1927,9,8,1,8,9,0.8888888888888888
Pop Warner,Stanford,1927,11,8,2,241,332,0.7259036144578314
Mike Donahue,LSU,1927,9,4,4,122,184,0.6630434782608695
John Heisman,Rice,1927,9,2,6,148,222,0.6666666666666666
C.J. Hart,BYU,1927,7,2,4,6,20,0.3
Dana Bible,Texas A&M,1927,9,8,0,72,102,0.7058823529411765
Tom Sebring,Florida,1927,10,7,3,17,30,0.5666666666666667
Cappy Cappon,Kansas,1927,8,3,4,5,16,0.3125
James Baldwin,Wake Forest,1927,10,2,6,16,38,0.42105263157894735
Charlie Bachman,Kansas State,1927,8,3,5,35,72,0.4861111111111111
Chet Wynne,Creighton,1927,8,6,1,6,8,0.75
Tad Jones,Yale,1927,8,7,1,66,96,0.6875
George Woodruff,Georgia,1927,10,9,1,172,216,0.7962962962962963
Howard Jones,USC,1927,10,8,1,100,142,0.704225352112676
Rat Rogers,West Virginia,1927,9,2,4,16,28,0.5714285714285714
George Hauser,Colgate,1927,9,4,2,9,18,0.5
Homer Hazel,Ole Miss,1927,9,5,3,15,28,0.5357142857142857
Fred Dawson,Denver,1927,7,5,2,33,54,0.6111111111111112
Enoch Bagshaw,Washington,1927,11,9,2,55,71,0.7746478873239436
Clyde Littlefield,Texas,1927,9,6,2,6,9,0.6666666666666666
Wallace Wade,Alabama,1927,10,5,4,39,49,0.7959183673469388
Robert Zuppke,Illinois,1927,8,7,0,77,111,0.6936936936936937
Frank Murray,Marquette,1927,9,6,3,6,9,0.6666666666666666
Knute Rockne,Notre Dame,1927,9,7,1,81,94,0.8617021276595744
Clarence Spears,Minnesota,1927,8,6,0,46,62,0.7419354838709677
Amos Alonzo Stagg,Chicago,1927,8,4,4,259,380,0.6815789473684211
Jimmy DeHart,Duke,1927,9,4,5,29,56,0.5178571428571429
Andrew Kerr,Washington & Jefferson,1927,9,7,0,25,36,0.6944444444444444
Nibs Price,California,1927,10,7,3,10,19,0.5263157894736842
DeOrmond McLaughry,Brown,1927,10,3,6,12,20,0.6
Biff Jones,Army,1927,10,9,1,16,19,0.8421052631578947
George McLaren,Wyoming,1927,9,4,5,12,25,0.48
Adrian Lindsey,Oklahoma,1927,8,3,3,3,8,0.375
Harry Lightsey,South Carolina,1927,9,4,5,4,9,0.4444444444444444
Ralph Young,Michigan State,1927,9,4,5,10,25,0.4
J.W. Hancock,Mississippi State,1927,8,5,3,5,8,0.625
Bernie Bierman,Tulane,1927,8,2,5,10,25,0.4
Gilmour Dobie,Cornell,1927,8,3,3,72,91,0.7912087912087912
Dick Hanley,Northwestern,1927,8,4,4,4,8,0.5
John Van Liew,Western State,1927,7,1,6,1,7,0.14285714285714285
Bob Higgins,Washington (MO),1927,9,5,2,8,25,0.32
Paul Schissler,Oregon State,1928,9,6,3,26,41,0.6341463414634146
Russ Cohen,LSU,1928,9,6,2,6,9,0.6666666666666666
Stanley Cofall,Wake Forest,1928,10,2,6,2,10,0.2
Josh Cody,Clemson,1928,11,8,3,13,20,0.65
Earl Abell,Colgate,1928,9,6,3,6,9,0.6666666666666666
William Spaulding,UCLA,1928,9,4,4,15,31,0.4838709677419355
Walter Steffen,Carnegie Mellon,1928,8,7,1,38,61,0.6229508196721312
Robert Zuppke,Illinois,1928,8,7,1,84,119,0.7058823529411765
Andrew Kerr,Washington & Jefferson,1928,9,2,5,27,45,0.6
Frank Cavanaugh,Fordham,1928,9,4,5,59,89,0.6629213483146067
Clyde Littlefield,Texas,1928,9,7,2,13,18,0.7222222222222222
Hugo Bezdek,Penn State,1928,9,3,5,99,155,0.6387096774193548
George Bohler,Auburn,1928,9,1,8,1,9,0.1111111111111111
Amos Alonzo Stagg,Chicago,1928,9,2,7,261,389,0.6709511568123393
Howard Jones,USC,1928,10,9,0,109,152,0.7171052631578947
Adrian Lindsey,Oklahoma,1928,8,5,3,8,16,0.5
Clarence Spears,Minnesota,1928,8,6,2,52,70,0.7428571428571429
Francis Schmidt,Arkansas,1928,9,7,2,42,65,0.6461538461538462
Lou Little,Georgetown,1928,10,8,2,16,19,0.8421052631578947
Ossie Solem,Drake,1928,8,7,1,39,62,0.6290322580645161
Morley Jennings,Baylor,1928,10,8,2,16,29,0.5517241379310345
Burton Ingwersen,Iowa,1928,8,6,2,24,40,0.6
Gus Dorais,Detroit Mercy,1928,9,9,0,30,40,0.75
Dana Bible,Texas A&M,1928,10,5,4,77,112,0.6875
Bernie Bierman,Tulane,1928,10,6,3,16,35,0.45714285714285713
Harry Kipke,Michigan State,1928,8,3,4,3,8,0.375
Biff Jones,Army,1928,10,8,2,24,29,0.8275862068965517
John Maulbetsch,Oklahoma State,1928,8,1,7,32,81,0.3950617283950617
Bob Neyland,Tennessee,1928,10,9,0,25,28,0.8928571428571429
William Ingram,Navy,1928,9,5,3,36,60,0.6
Chuck Collins,North Carolina,1928,10,5,3,13,29,0.4482758620689655
Mal Stevens,Yale,1928,8,4,4,4,8,0.5
Billy Laval,South Carolina,1928,10,6,2,6,10,0.6
Ray Morrison,SMU,1928,10,6,3,50,82,0.6097560975609756
J.W. Hancock,Mississippi State,1928,8,2,4,7,16,0.4375
Pat Page,Indiana,1928,8,4,4,10,24,0.4166666666666667
Dan McGugin,Vanderbilt,1928,10,8,2,161,215,0.7488372093023256
Gus Tebell,NC State,1928,10,4,5,20,39,0.5128205128205128
Pop Warner,Stanford,1928,12,8,3,249,344,0.7238372093023255
Knute Rockne,Notre Dame,1928,9,5,4,86,103,0.8349514563106796
Nibs Price,California,1928,10,6,2,16,29,0.5517241379310345
Ott Romney,BYU,1928,7,3,3,27,49,0.5510204081632653
Glenn Thistlethwaite,Wisconsin,1928,9,7,1,32,56,0.5714285714285714
O.E. Hollingbery,Washington State,1928,10,7,3,16,25,0.64
Gilmour Dobie,Cornell,1928,8,3,3,75,99,0.7575757575757576
George McLaren,Wyoming,1928,9,2,7,14,34,0.4117647058823529
DeOrmond McLaughry,Brown,1928,9,8,1,20,29,0.6896551724137931
Dick Hanley,Northwestern,1928,8,5,3,9,16,0.5625
Bill Hargiss,Kansas,1928,8,2,4,8,23,0.34782608695652173
Jimmy DeHart,Duke,1928,10,5,5,34,66,0.5151515151515151
Charlie Bachman,Florida,1928,9,8,1,43,81,0.5308641975308642
Gwinn Henry,Missouri,1928,8,4,4,31,50,0.62
Bo McMillin,Kansas State,1928,8,3,5,3,8,0.375
Fred Dawson,Denver,1928,9,4,4,37,63,0.5873015873015873
Chet Wynne,Creighton,1928,9,3,5,9,17,0.5294117647058824
Enoch Bagshaw,Washington,1928,11,7,4,62,82,0.7560975609756098
Rat Rogers,West Virginia,1928,10,8,2,24,38,0.631578947368421
Frank Murray,Marquette,1928,9,5,3,11,18,0.6111111111111112
Homer Hazel,Ole Miss,1928,9,5,4,20,37,0.5405405405405406
C. Noel Workman,Iowa State,1928,8,2,5,2,8,0.25
Wallace Wade,Alabama,1928,9,6,3,45,58,0.7758620689655172
Harry Mehre,Georgia,1928,9,4,5,4,9,0.4444444444444444
Andy Gustafson,Virginia Tech,1928,9,7,2,17,27,0.6296296296296297
Myron Witham,Colorado,1928,6,5,1,47,73,0.6438356164383562
Jesse Hawley,Dartmouth,1928,9,5,4,63,92,0.6847826086956522
Lew Andreas,Syracuse,1928,9,4,4,9,19,0.47368421052631576
Ernest Bearg,Nebraska,1928,9,7,1,23,33,0.696969696969697
William Saunders,Northern Colorado,1928,8,4,4,9,22,0.4090909090909091
John McEwan,Oregon,1928,11,9,2,31,51,0.6078431372549019
Harry Hughes,Colorado State,1928,8,6,2,79,126,0.626984126984127
Greasy Neale,Virginia,1928,9,2,6,44,76,0.5789473684210527
William Alexander,Georgia Tech,1928,10,10,0,59,83,0.7108433734939759
Curley Byrd,Maryland,1928,10,6,3,54,109,0.4954128440366973
Tad Wieman,Michigan,1928,8,3,4,9,16,0.5625
Madison Bell,TCU,1928,10,8,2,33,55,0.6
Claude Rothgeb,Rice,1928,9,2,7,2,9,0.2222222222222222
Jock Sutherland,Pittsburgh,1928,9,6,2,65,89,0.7303370786516854
Ike Armstrong,Utah,1928,7,5,0,21,29,0.7241379310344828
Harry Gamage,Kentucky,1928,8,4,3,7,18,0.3888888888888889
John Wilce,Ohio State,1928,8,5,2,78,120,0.65
James Phelan,Purdue,1928,8,5,2,40,70,0.5714285714285714
Russ Cohen,LSU,1929,9,6,3,12,18,0.6666666666666666
Pappy Waldorf,Oklahoma State,1929,9,4,3,4,9,0.4444444444444444
Ray Morrison,SMU,1929,10,6,0,56,92,0.6086956521739131
Charlie Bachman,Florida,1929,10,8,2,51,91,0.5604395604395604
Dana Bible,Nebraska,1929,8,4,1,81,120,0.675
Robert Zuppke,Illinois,1929,8,6,1,90,127,0.7086614173228346
Harry Kipke,Michigan,1929,9,5,3,8,17,0.47058823529411764
Enoch Bagshaw,Washington,1929,9,2,6,64,91,0.7032967032967034
Clyde Littlefield,Texas,1929,9,5,2,18,27,0.6666666666666666
Harry Gamage,Kentucky,1929,8,6,1,13,26,0.5
Harry Mehre,Georgia,1929,10,6,4,10,19,0.5263157894736842
Josh Cody,Clemson,1929,11,8,3,21,31,0.6774193548387096
Hugo Bezdek,Penn State,1929,9,6,3,105,164,0.6402439024390244
Frank Murray,Marquette,1929,8,4,3,15,26,0.5769230769230769
Sam Willaman,Ohio State,1929,8,4,3,18,40,0.45
Billy Laval,South Carolina,1929,11,6,5,12,21,0.5714285714285714
Clarence Spears,Minnesota,1929,8,6,2,58,78,0.7435897435897436
Red Floyd,Auburn,1929,4,0,4,0,4,0.0
F.S. Miller,Wake Forest,1929,12,6,5,6,12,0.5
Chuck Collins,North Carolina,1929,10,9,1,22,39,0.5641025641025641
Andy Gustafson,Virginia Tech,1929,9,5,4,22,36,0.6111111111111112
William Spaulding,UCLA,1929,8,4,4,19,39,0.48717948717948717
Andrew Kerr,Colgate,1929,9,8,1,35,54,0.6481481481481481
Pop Warner,Stanford,1929,11,9,2,258,355,0.7267605633802817
Myron Witham,Colorado,1929,7,5,1,52,80,0.65
Earl Abell,Virginia,1929,9,4,3,10,18,0.5555555555555556
Lew Andreas,Syracuse,1929,9,6,3,15,28,0.5357142857142857
Bernie Bierman,Tulane,1929,9,9,0,25,44,0.5681818181818182
Lou Little,Georgetown,1929,9,5,2,21,28,0.75
Ossie Solem,Drake,1929,9,5,3,44,71,0.6197183098591549
J.W. Hancock,Mississippi State,1929,8,1,5,8,24,0.3333333333333333
Curley Byrd,Maryland,1929,10,4,4,58,119,0.48739495798319327
James Phelan,Purdue,1929,8,8,0,48,78,0.6153846153846154
Adrian Lindsey,Oklahoma,1929,8,3,3,11,24,0.4583333333333333
Bob Neyland,Tennessee,1929,10,9,0,34,38,0.8947368421052632
Dick Hanley,Northwestern,1929,9,6,3,15,25,0.6
Bill Hargiss,Kansas,1929,8,4,4,12,31,0.3870967741935484
Ike Armstrong,Utah,1929,7,7,0,28,36,0.7777777777777778
Jimmy DeHart,Duke,1929,10,4,6,38,76,0.5
Nibs Price,California,1929,9,7,1,23,38,0.6052631578947368
Knute Rockne,Notre Dame,1929,9,9,0,95,112,0.8482142857142857
Pat Page,Indiana,1929,9,2,6,12,33,0.36363636363636365
John McEwan,Oregon,1929,10,7,3,38,61,0.6229508196721312
Jeff Cravath,Denver,1929,7,5,1,5,7,0.7142857142857143
William Alexander,Georgia Tech,1929,9,3,6,62,92,0.6739130434782609
Biff Jones,Army,1929,11,6,4,30,40,0.75
Burton Ingwersen,Iowa,1929,8,4,2,28,48,0.5833333333333334
Glenn Thistlethwaite,Wisconsin,1929,9,4,5,36,65,0.5538461538461539
DeOrmond McLaughry,Brown,1929,10,5,5,25,39,0.6410256410256411
George McLaren,Wyoming,1929,8,1,7,15,42,0.35714285714285715
O.E. Hollingbery,Washington State,1929,12,10,2,26,37,0.7027027027027027
Ott Romney,BYU,1929,8,5,3,32,57,0.5614035087719298
Gilmour Dobie,Cornell,1929,8,6,2,81,107,0.7570093457943925
Gus Dorais,Detroit Mercy,1929,9,7,1,37,49,0.7551020408163265
George Bohler,Auburn,1929,5,2,3,3,14,0.21428571428571427
Walter Steffen,Carnegie Mellon,1929,9,5,3,43,70,0.6142857142857143
Jimmy Crowley,Michigan State,1929,8,5,3,5,8,0.625
Gus Tebell,NC State,1929,9,1,8,21,48,0.4375
Dan McGugin,Vanderbilt,1929,9,7,2,168,224,0.75
Mal Stevens,Yale,1929,8,5,2,9,16,0.5625
Francis Schmidt,TCU,1929,10,9,0,51,75,0.68
Jock Sutherland,Pittsburgh,1929,10,9,1,74,99,0.7474747474747475
William Ingram,Navy,1929,10,6,2,42,70,0.6
Fred Thomsen,Arkansas,1929,9,7,2,7,9,0.7777777777777778
Morley Jennings,Baylor,1929,11,7,3,23,40,0.575
Amos Alonzo Stagg,Chicago,1929,10,7,3,268,399,0.6716791979949874
Chet Wynne,Creighton,1929,8,2,6,11,25,0.44
Harry Hughes,Colorado State,1929,9,5,4,84,135,0.6222222222222222
Paul Schissler,Oregon State,1929,9,5,4,31,50,0.62
Jack Meagher,Rice,1929,9,2,7,2,9,0.2222222222222222
Madison Bell,Texas A&M,1929,9,5,4,38,64,0.59375
Bo McMillin,Kansas State,1929,8,3,5,6,16,0.375
Gwinn Henry,Missouri,1929,8,5,2,36,58,0.6206896551724138
C. Noel Workman,Iowa State,1929,8,1,7,3,16,0.1875
Frank Cavanaugh,Fordham,1929,9,7,0,66,98,0.673469387755102
William Saunders,Northern Colorado,1929,7,4,3,13,29,0.4482758620689655
Howard Jones,USC,1929,12,10,2,119,164,0.725609756097561
Wallace Wade,Alabama,1929,9,6,3,51,67,0.7611940298507462
Homer Hazel,Ole Miss,1929,9,1,6,21,46,0.45652173913043476
Rat Rogers,West Virginia,1929,10,4,3,28,48,0.5833333333333334
Harry Stuhldreher,Villanova,1930,10,5,5,5,10,0.5
William Alexander,Georgia Tech,1930,9,2,6,64,101,0.6336633663366337
Sam Willaman,Ohio State,1930,8,5,2,23,48,0.4791666666666667
Chuck Collins,North Carolina,1930,10,5,3,27,49,0.5510204081632653
Harry Kipke,Michigan,1930,9,8,0,16,26,0.6153846153846154
Noble Kizer,Purdue,1930,8,6,2,6,8,0.75
Carl Snavely,Bucknell,1930,9,6,3,6,9,0.6666666666666666
Madison Bell,Texas A&M,1930,9,2,7,40,73,0.547945205479452
Gus Dorais,Detroit Mercy,1930,10,5,3,42,59,0.711864406779661
Burton Ingwersen,Iowa,1930,8,4,4,32,56,0.5714285714285714
Josh Cody,Clemson,1930,10,8,2,29,41,0.7073170731707317
Harry Gamage,Kentucky,1930,8,5,3,18,34,0.5294117647058824
Jock Sutherland,Pittsburgh,1930,9,6,2,80,108,0.7407407407407407
Billy Laval,South Carolina,1930,10,6,4,18,31,0.5806451612903226
Harry Hughes,Colorado State,1930,9,3,5,87,144,0.6041666666666666
William Ingram,Navy,1930,11,6,5,48,81,0.5925925925925926
Russ Cohen,LSU,1930,10,6,4,18,28,0.6428571428571429
Ossie Solem,Drake,1930,9,5,4,49,80,0.6125
Wallace Wade,Alabama,1930,10,10,0,61,77,0.7922077922077922
Walter Steffen,Carnegie Mellon,1930,9,6,3,49,79,0.620253164556962
Ike Armstrong,Utah,1930,8,8,0,36,44,0.8181818181818182
Howard Jones,USC,1930,10,8,2,127,174,0.7298850574712644
C. Noel Workman,Iowa State,1930,9,0,9,3,25,0.12
Charlie Bachman,Florida,1930,10,6,3,57,101,0.5643564356435643
Chet Wynne,Auburn,1930,10,3,7,14,35,0.4
Robert Zuppke,Illinois,1930,8,3,5,93,135,0.6888888888888889
Gwinn Henry,Missouri,1930,9,2,5,38,67,0.5671641791044776
Pappy Waldorf,Oklahoma State,1930,10,7,2,11,19,0.5789473684210527
Fred Thomsen,Arkansas,1930,9,3,6,10,18,0.5555555555555556
Dana Bible,Nebraska,1930,9,4,3,85,129,0.6589147286821705
Clarence Spears,Oregon,1930,9,7,2,65,87,0.7471264367816092
Amos Alonzo Stagg,Chicago,1930,9,2,5,270,408,0.6617647058823529
Bob Higgins,Penn State,1930,9,3,4,11,34,0.3235294117647059
Glenn Thistlethwaite,Wisconsin,1930,9,6,2,42,74,0.5675675675675675
Morley Jennings,Baylor,1930,10,6,3,29,50,0.58
Jimmy DeHart,Duke,1930,11,8,1,46,87,0.5287356321839081
