name,team,year,games,wins,losses,cumulative_wins,cumulative_games,career_win_pct
Dave Allerdice,Texas,1913,8,7,1,19,23,0.8260869565217391
John Heisman,Georgia Tech,1913,9,7,2,69,100,0.69
G.E. Pyle,Florida,1913,7,4,3,14,21,0.6666666666666666
Jesse Hawley,Iowa,1913,7,5,2,17,28,0.6071428571428571
Homer Hubbard,Iowa State,1913,8,4,4,4,8,0.5
Douglas Legate Howard,Navy,1913,9,7,1,19,27,0.7037037037037037
Fred Bennion,Utah,1913,7,2,4,16,27,0.5925925925925926
Harry Hughes,Colorado State,1913,5,3,2,6,16,0.375
N.B. Edgerton,South Carolina,1913,7,4,3,9,15,0.6
Howard Jones,Yale,1913,10,5,2,27,40,0.675
Edward Robinson,Brown,1913,9,4,5,74,125,0.592
Mike Donahue,Auburn,1913,8,8,0,43,62,0.6935483870967742
Percy Haughton,Harvard,1913,9,9,0,66,77,0.8571428571428571
Tom Keady,Lehigh,1913,8,5,3,14,19,0.7368421052631579
Henry Williams,Minnesota,1913,7,5,2,105,131,0.8015267175572519
Fred Folsom,Colorado,1913,7,5,1,68,85,0.8
Edwin Sweetland,West Virginia,1913,9,3,4,7,16,0.4375
Andy Smith,Purdue,1913,7,4,1,4,7,0.5714285714285714
Charley Moran,Texas A&M,1913,9,3,4,32,42,0.7619047619047619
Zora Clevenger,Tennessee,1913,9,6,3,13,26,0.5
Tom Keady,Lehigh,1914,9,8,1,22,28,0.7857142857142857
Tubby Long,Alabama,1914,9,5,4,5,9,0.5555555555555556
Jesse Hawley,Iowa,1914,7,4,3,21,35,0.6
Jumbo Stiehm,Nebraska,1914,8,7,0,27,32,0.84375
Paul Davis,Oklahoma State,1914,9,6,2,11,18,0.6111111111111112
E.C. Hayes,Mississippi State,1914,8,6,2,6,8,0.75
Robert Zuppke,Illinois,1914,7,7,0,11,14,0.7857142857142857
Branch Bocock,Virginia Tech,1914,9,6,2,41,58,0.7068965517241379
Amos Alonzo Stagg,Chicago,1914,7,4,2,205,281,0.7295373665480427
Jack Hegarty,NC State,1914,6,2,3,2,6,0.3333333333333333
W.C. Smith,Wake Forest,1914,9,3,6,3,9,0.3333333333333333
Andy Smith,Purdue,1914,7,5,2,9,14,0.6428571428571429
Fielding Yost,Michigan,1914,9,6,3,100,120,0.8333333333333334
W.A. Cunningham,Georgia,1914,9,3,5,28,43,0.6511627906976745
Nelson Norgren,Utah,1914,6,3,3,3,6,0.5
Zora Clevenger,Tennessee,1914,9,9,0,22,35,0.6285714285714286
Percy Haughton,Harvard,1914,9,7,0,73,86,0.8488372093023255
Jesse Harper,Notre Dame,1914,8,6,2,13,15,0.8666666666666667
Mike Donahue,Auburn,1914,9,8,0,51,71,0.7183098591549296
Joseph Duff,Pittsburgh,1914,9,8,1,14,18,0.7777777777777778
Guy Lowman,Kansas State,1914,7,1,5,16,33,0.48484848484848486
Pop Warner,Carlisle,1914,16,5,10,149,216,0.6898148148148148
Fred Murphy,Northwestern,1914,7,1,6,2,15,0.13333333333333333
Charles Daly,Army,1914,9,9,0,17,18,0.9444444444444444
John Heisman,Georgia Tech,1914,8,6,2,75,108,0.6944444444444444
William Juneau,Wisconsin,1914,7,4,2,20,31,0.6451612903225806
Bob Williams,Clemson,1914,9,5,3,19,33,0.5757575757575758
George Sanford,Rutgers,1914,9,5,3,29,45,0.6444444444444445
Charley Moran,Texas A&M,1914,8,6,1,38,50,0.76
Dan McGugin,Vanderbilt,1914,8,2,6,74,97,0.7628865979381443
Ralph Thacker,Wyoming,1914,6,1,5,1,11,0.09090909090909091
Bennie Owen,Oklahoma,1914,11,9,1,33,47,0.7021276595744681
Fred Folsom,Colorado,1914,6,5,1,73,91,0.8021978021978022
Edwin Sweetland,Tulane,1914,7,3,3,10,23,0.43478260869565216
Henry Williams,Minnesota,1914,7,6,1,111,138,0.8043478260869565
Edward Robinson,Brown,1914,9,5,2,79,134,0.5895522388059702
Harry Hughes,Colorado State,1914,7,3,4,9,23,0.391304347826087
N.B. Edgerton,South Carolina,1914,11,5,5,14,26,0.5384615384615384
Douglas Legate Howard,Navy,1914,9,6,3,25,36,0.6944444444444444
Homer Hubbard,Iowa State,1914,7,4,3,8,15,0.5333333333333333
Joseph Wood,Virginia,1914,9,8,1,8,9,0.8888888888888888
Sol Metzger,West Virginia,1914,9,5,4,18,29,0.6206896551724138
Dave Allerdice,Texas,1914,8,8,0,27,31,0.8709677419354839
George Brooke,Pennsylvania,1914,9,4,4,49,72,0.6805555555555556
Bill Hollenback,Penn State,1914,9,5,3,32,49,0.6530612244897959
E.T. Pickering,Arkansas,1914,9,4,5,11,18,0.6111111111111112
T.C. Trenchard,North Carolina,1914,11,10,1,15,20,0.75
E.T. McDonald,LSU,1914,9,4,4,4,9,0.4444444444444444
John Wilce,Ohio State,1914,7,5,2,9,14,0.6428571428571429
Bubs Mosley,Baylor,1914,10,3,5,3,10,0.3
Daddy Boles,TCU,1914,10,4,4,4,10,0.4
Clarence Childs,Indiana,1914,7,3,4,3,7,0.42857142857142855
Henry Schulte,Missouri,1914,8,5,3,5,8,0.625
Frank Cavanaugh,Dartmouth,1914,9,8,1,38,54,0.7037037037037037
H.M. Wheaton,Kansas,1914,8,5,2,5,8,0.625
Phillip Arbuckle,Rice,1914,8,3,2,3,8,0.375
C.J. McCoy,Florida,1914,7,5,2,5,7,0.7142857142857143
E.C. Hayes,Mississippi State,1915,8,5,2,11,16,0.6875
T.C. Trenchard,North Carolina,1915,8,4,3,19,28,0.6785714285714286
Nelson Norgren,Utah,1915,7,5,2,8,13,0.6153846153846154
Harry Varner,Virginia,1915,9,8,1,8,9,0.8888888888888888
Bubs Mosley,Baylor,1915,8,7,1,10,18,0.5555555555555556
N.B. Edgerton,South Carolina,1915,9,5,3,19,35,0.5428571428571428
Percy Haughton,Harvard,1915,9,8,1,81,95,0.8526315789473684
Henry Schulte,Missouri,1915,8,2,5,7,16,0.4375
Mike Donahue,Auburn,1915,8,6,2,57,79,0.7215189873417721
Jack Hegarty,NC State,1915,7,3,3,5,13,0.38461538461538464
Fred Robbins,Ole Miss,1915,8,2,6,2,8,0.25
Clarence Childs,Indiana,1915,7,3,3,6,14,0.42857142857142855
George Brooke,Pennsylvania,1915,10,3,5,52,82,0.6341463414634146
Phillip Arbuckle,Rice,1915,8,5,3,8,16,0.5
