,win_pct,recent_win_pct,prev_win_pct,elo,fpi,conference_rating,recruiting_rank,recruiting_rating,talent_level,blue_chip_ratio,passing_usage,rushing_usage,usages,totalYards,turnover_margin,total_tds,games,off_drives,def_drives,off_explode,def_explode,off_success_rate,def_success_rate,career_win_pct,sor,sos
win_pct,1.0,0.4387475909712866,0.52107170613653,0.5653103690206603,0.5238615945898302,0.16326241648452106,-0.3314494564277172,0.3552447337496668,0.34603237190248126,0.3500047320157919,0.13756512687988362,0.1332314016524009,0.1888027846764957,0.3698611642436823,0.2950678386800124,0.42840882870865304,0.19110168839671116,0.15388922839907912,0.174563633006239,-0.009417723330771552,-0.013492922985857653,0.43173952691084144,-0.3878874229530641,0.3851498474019606,-0.49663044296420084,-0.15536532193973895
recent_win_pct,0.4387475909712866,1.0,0.5246850684261053,0.6730406279274072,0.6899925577409213,0.40574160545194593,-0.6118242491276826,0.6329408524132326,0.6609957918164924,0.6199115045647959,-0.03777288122885334,-0.047463874651956034,-0.05563020685033608,0.3511856953965387,0.21831505309446775,0.38391250120494214,0.1754719203235052,0.18218663828336176,0.20020797741396681,0.002398595827898045,0.016685515780840973,0.42268385308847384,-0.40448011199657263,0.4282054166662206,-0.6241689301595733,-0.4561958854174275
prev_win_pct,0.52107170613653,0.5246850684261053,1.0,0.8351380486892258,0.7745977012117858,0.18505687469088286,-0.3712603536943293,0.401676197842484,0.37715349136222803,0.377416159889622,-0.02683787192146169,-0.028241372622214194,-0.048642335642414575,0.6189641786708572,0.5529439474850245,0.7065002225041791,0.3609001301562923,0.2964875368797264,0.32105247222799327,0.019999432772515747,-0.01588529730118101,0.6626348484758593,-0.5641733573667427,0.4622830684143974,-0.8757440115262308,-0.18739288879002156
elo,0.5653103690206603,0.6730406279274072,0.8351380486892258,1.0,0.955179600293147,0.48270855159432835,-0.6455503227710252,0.6613994942589634,0.6611918219867626,0.6030380933125613,-0.028998927237402265,-0.050757117367013695,-0.0632531911274082,0.5794483474997847,0.50017370592024,0.6661033800751837,0.29301315736640016,0.259472148171336,0.2903918254735711,-0.0059559908640440095,-0.06110831813816946,0.6705401756834236,-0.5769832314716075,0.501350526569737,-0.8904898403989855,-0.4688984087338964
fpi,0.5238615945898302,0.6899925577409213,0.7745977012117858,0.955179600293147,1.0,0.6404079598332005,-0.759515055310384,0.7531202125907289,0.7637711325788797,0.6700270846621903,-0.026008310945637842,-0.045175361312756096,-0.05617697919057225,0.5633693132080869,0.43713004917979204,0.6323246002245031,0.28481597271157133,0.28329379321723813,0.31255716123123584,-0.02637564747630783,-0.09104068183636566,0.6375417975557482,-0.5205509734636522,0.49995125615370817,-0.9194214266124654,-0.6171949964876805
conference_rating,0.16326241648452106,0.40574160545194593,0.18505687469088286,0.48270855159432835,0.6404079598332005,1.0,-0.7988690982036636,0.7474932677898255,0.7811820416285916,0.5650676281968259,-0.013377076706836672,-0.042302740444861264,-0.033009053164246634,0.17094277648096284,0.07239527846612276,0.1605718696263313,0.11628042473290642,0.15892517468991982,0.17099246040298213,-0.038296683781564415,-0.06845211689694287,0.19169136478221066,-0.14753328780540273,0.26293309219219296,-0.5525083710781564,-0.8415850736461056
recruiting_rank,-0.3314494564277172,-0.6118242491276826,-0.3712603536943293,-0.6455503227710252,-0.759515055310384,-0.7988690982036636,1.0,-0.961324378224784,-0.929471617028935,-0.7674942776259626,0.016010976215626572,0.03560619308000755,0.032599038365092196,-0.2821994539542601,-0.14340616670135947,-0.281866503751207,-0.14231984970851486,-0.18165460913689024,-0.20033414361567883,0.010736701770761576,0.06506791696219835,-0.3284771519642717,0.2637229672008808,-0.378455398109948,0.6713493228174865,0.7803856361482032
recruiting_rating,0.3552447337496668,0.6329408524132326,0.401676197842484,0.6613994942589634,0.7531202125907289,0.7474932677898255,-0.961324378224784,1.0,0.9549176555378582,0.8566179942104742,-0.01864350076018361,-0.03997551539430336,-0.03510945966071509,0.29300788844698494,0.17013726650932495,0.3078062113483867,0.15283796216949166,0.17192053177395492,0.19082531553065155,0.03531675194706809,-0.023730383179569096,0.36008231550948905,-0.28123588710362246,0.3826034409667126,-0.6664373833297261,-0.7433528881448046
talent_level,0.34603237190248126,0.6609957918164924,0.37715349136222803,0.6611918219867626,0.7637711325788797,0.7811820416285916,-0.929471617028935,0.9549176555378582,1.0,0.8881088591307925,-0.03062937982632481,-0.030288594507347086,-0.0362836506712932,0.2539321697182495,0.15568953294343457,0.2724452201819742,0.10564948749867656,0.12999052090125132,0.1483090090725506,0.053094714508214534,-0.015647087567566064,0.3379992628195383,-0.2713441128340996,0.3753092186729455,-0.6646562277567684,-0.7806341003945656
blue_chip_ratio,0.3500047320157919,0.6199115045647959,0.377416159889622,0.6030380933125613,0.6700270846621903,0.5650676281968259,-0.7674942776259626,0.8566179942104742,0.8881088591307925,1.0,-0.04431639312074221,-0.03534303583979136,-0.048891413379424015,0.2694609054400351,0.15060673797407337,0.29968747783550104,0.13009446195196583,0.12393082065568077,0.14073557254178615,0.02719500984950249,-0.05532167720085168,0.3485250849154503,-0.2533898247890803,0.3445117553319383,-0.5768479388650907,-0.6221459380759325
