,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted
581,303100052,North Carolina,37,away,0,1,44,0,3,3,49,0,2,13,20,4-13,0-1,473,463,24-35,12.5,34,33,1.0,9-56,0,0,0,19:12,Florida State,35,home,0,2,2,0,5,3,193,0,7,5,,,,18,7-14,0-0,374,285,24-35,7.5,110,33,3.3,7-74,0,0,0,22:16,,,
582,303100154,Wake Forest,13,home,0,0,2,0,2,1,85,0,4,7,15,6-15,0-2,287,242,19-31,7.0,69,31,2.2,6-51,5,1,4,18:15,Boston College,23,away,1,3,0,0,3,0,52,0,4,5,47,0,4,14,3-12,1-1,298,147,12-16,8.3,165,43,3.8,7-63,2,0,2,19:16,23,0,2
583,303100228,NC State,13,away,2,0,0,0,3,1,52,0,3,7,16,5-15,0-1,275,233,22-36,5.9,63,29,2.2,4-25,2,1,1,17:50,Clemson,14,home,1,1,8,0,1,1,131,0,5,2,0,0,1,16,8-17,1-1,260,242,20-30,7.1,46,41,1.1,7-77,3,2,1,18:12,8,0,1
584,303080259,Georgia Tech,21,away,1,3,10,0,3,0,88,0,3,3,15,5-13,2-3,426,93,2-10,8.0,346,51,6.8,9-52,2,0,2,17:18,Virginia Tech,28,home,0,2,6,0,3,1,122,1,3,4,28,0,2,23,6-12,1-1,335,137,15-25,5.5,198,40,4.9,2-17,2,1,1,23:57,7,0,1
585,303100150,Duke,55,home,0,6,26,0,1,1,125,0,6,11,26,8-15,1-1,489,284,18-31,8.4,230,45,5.1,3-20,1,1,0,16:47,Virginia,48,away,1,3,0,0,1,4,92,0,6,6,,,,33,9-15,2-2,643,421,24-46,9.1,226,42,5.4,10-88,3,0,3,19:10,35,0,3
586,303102229,Florida International,42,home,0,2,14,0,2,3,182,1,6,6,25,7-12,1-1,469,245,17-27,8.4,242,43,5.6,6-33,2,0,2,17:53,Louisiana Monroe,35,away,0,1,4,0,2,3,42,0,3,9,56,0,2,25,6-15,1-2,482,388,29-40,9.1,116,39,3.0,5-45,1,0,1,18:02,14,0,1
587,303172426,Central Michigan,37,away,1,2,5,0,1,3,156,0,7,7,29,9-19,5-7,495,403,36-59,6.7,101,32,3.2,4-40,0,0,0,21:37,Navy,38,home,0,5,0,0,1,0,92,0,5,8,,,,24,4-7,0-1,470,33,2-5,6.6,437,52,8.4,5-52,1,1,0,15:03,,,
588,303170356,Minnesota,38,away,0,3,4,0,2,2,113,0,3,8,21,7-15,0-0,361,227,20-37,6.1,136,36,3.8,3-25,1,1,0,19:17,Illinois,34,home,1,3,0,0,4,2,36,0,2,4,,,,20,6-14,1-2,410,228,11-24,8.7,201,43,4.7,5-50,1,0,1,17:25,24,0,1
589,303170275,Indiana,20,away,0,0,,,,2,223,0,11,8,13,4-14,0-0,316,148,11-24,6.2,167,34,4.9,7-80,3,2,1,16:21,Wisconsin,83,home,2,6,22,0,3,4,151,0,4,17,37,1,1,28,7-10,1-1,598,263,17-21,12.4,338,47,7.2,2-25,0,0,0,19:14,,,
590,303170077,Northwestern,21,home,0,1,,,,2,,,,3,26,9-16,0-0,419,346,32-43,7.4,101,39,2.6,6-62,1,0,1,19:09,Iowa,17,away,0,0,-1,0,4,2,,,,5,4,0,1,17,2-14,3-4,371,291,23-43,6.3,101,28,3.6,6-39,1,0,1,17:31,25,0,1
591,303172509,Purdue,16,home,3,0,-9,0,2,0,105,0,4,10,12,2-17,2-3,256,142,17-33,4.0,124,36,3.4,3-25,5,3,2,17:50,Michigan,27,away,3,2,0,0,1,1,54,0,3,3,25,0,2,21,7-17,0-1,395,208,14-25,7.7,202,55,3.7,6-60,5,3,2,19:07,107,1,2
592,303170194,Penn State,14,away,0,0,8,0,3,2,111,0,6,2,15,3-13,2-3,272,159,15-33,4.8,113,32,3.5,3-21,2,0,2,17:27,Ohio State,38,home,0,1,23,0,4,2,40,0,2,8,64,2,2,20,4-9,0-0,453,142,8-13,10.7,314,43,7.3,8-62,1,0,1,18:34,0,0,1
593,303170012,Arizona,21,home,0,0,2,0,1,3,36,0,3,3,24,11-16,0-0,404,372,32-48,7.4,51,18,2.8,6-40,2,2,0,13:30,USC,24,away,2,2,11,0,1,1,64,0,3,6,,,,24,7-15,2-3,382,177,22-36,4.9,205,46,4.5,8-60,1,0,1,22:22,0,0,1
594,303170009,Stanford,17,away,1,2,56,0,5,0,32,0,3,5,27,10-18,0-1,420,303,33-41,7.1,128,42,3.0,2-20,2,1,1,25:24,Arizona State,13,home,1,1,3,0,3,1,79,0,3,1,30,0,1,12,1-9,1-1,268,163,16-26,6.1,110,23,4.8,8-67,2,1,1,10:41,0,0,1
595,303170025,Oregon,15,away,1,0,79,1,5,1,67,0,3,1,20,8-21,4-6,313,176,15-29,5.3,158,56,2.8,8-62,1,1,0,19:42,California,13,home,1,1,8,0,2,0,67,0,3,1,,,,13,4-13,0-0,193,73,10-28,2.5,124,31,4.0,4-25,1,1,0,16:18,,,
596,303170204,Washington State,31,away,2,3,0,0,1,1,83,0,3,7,22,10-17,1-1,378,181,10-15,10.5,221,61,3.6,9-99,2,2,0,26:14,Oregon State,14,home,2,0,17,0,3,2,95,0,5,2,,,,13,2-10,1-3,261,207,13-23,7.1,97,25,3.9,6-60,3,2,1,11:57,0,0,1
597,303170164,Rutgers,10,home,2,1,2,0,3,0,111,0,4,4,17,8-19,0-1,280,143,10-25,4.4,169,48,3.5,6-45,1,1,0,20:08,Syracuse,13,away,1,0,2,0,3,1,72,0,3,7,,,,16,5-14,0-1,305,257,16-31,6.9,91,37,2.5,5-35,3,2,1,16:32,0,0,1
598,303150041,Connecticut,30,home,1,0,-3,0,3,2,171,1,5,12,19,3-14,3-3,349,99,9-20,5.0,249,46,5.4,2-15,1,0,1,17:17,Pittsburgh,28,away,0,3,15,0,4,1,153,0,7,4,0,0,1,18,7-14,0-0,363,234,20-28,7.9,143,34,4.2,3-35,3,1,2,19:13,54,0,2
599,303170277,Cincinnati,10,away,1,1,0,0,2,0,135,0,6,4,15,0-12,1-1,281,253,25-45,4.9,60,16,3.8,10-96,4,2,2,14:10,West Virginia,37,home,2,1,18,0,8,4,45,0,2,5,25,0,2,28,7-16,1-2,419,188,15-25,7.0,245,59,4.2,2-20,2,1,1,22:06,-2,0,1
600,303170158,Kansas,3,away,1,0,1,0,3,0,139,0,5,3,5,2-13,0-1,87,43,3-13,1.2,72,34,2.1,1-9,1,0,1,14:31,Nebraska,20,home,0,2,0,0,2,0,63,0,2,8,0,0,1,20,9-17,0-0,397,172,14-26,6.4,230,49,4.7,6-54,2,1,1,22:14,8,0,1
601,303170038,Iowa State,14,away,1,1,13,0,5,1,183,0,7,2,16,3-14,1-3,229,288,27-42,5.6,-6,26,-0.2,9-70,2,2,0,17:18,Colorado,34,home,2,0,-4,0,1,3,89,0,1,10,,,,18,5-15,1-2,384,266,16-24,11.1,118,45,2.6,9-79,1,1,0,20:28,,,
602,303170142,Missouri,38,home,3,2,0,0,3,2,55,0,3,8,21,3-10,0-1,440,218,17-26,8.0,232,38,6.1,8-60,1,0,1,17:05,Kansas State,28,away,0,2,0,0,3,2,104,0,6,2,17,0,1,22,8-15,2-2,422,270,15-26,9.0,187,44,4.3,5-49,4,3,1,19:06,0,0,1
603,303170251,Oklahoma State,33,away,1,3,2,0,3,1,47,0,3,9,25,10-16,0-0,532,429,29-43,9.5,123,32,3.8,4-41,2,1,1,18:24,Texas,16,home,1,2,0,0,3,0,83,0,4,4,0,0,1,18,7-16,1-1,358,231,20-33,6.5,142,37,3.8,2-10,2,1,1,18:14,0,0,1
604,303170201,Oklahoma,45,home,0,1,11,0,5,5,18,0,1,9,26,5-15,2-2,562,321,23-31,10.2,246,44,5.6,5-63,1,1,0,17:42,Texas Tech,7,away,1,0,2,0,2,1,123,0,7,1,,,,15,6-18,0-3,326,163,20-41,3.5,182,38,4.8,9-115,2,0,2,18:11,29,0,2
605,303170239,Baylor,30,home,1,4,0,0,3,0,113,0,6,6,26,12-21,0-2,503,244,28-38,5.6,291,52,5.6,8-78,0,0,0,21:30,Texas A&M,42,away,0,4,,,,1,185,1,6,6,,,,24,8-14,1-2,427,280,27-38,7.4,147,35,4.2,11-106,1,1,0,15:36,,,
606,303170087,Notre Dame,28,home,1,0,27,1,5,3,53,0,2,4,13,2-10,0-1,256,136,13-20,6.4,127,29,4.4,5-45,0,0,0,15:25,Utah,3,away,0,0,-2,0,4,0,69,0,3,3,,,,16,4-15,1-4,265,211,24-40,4.8,71,29,2.4,11-70,2,1,1,21:15,0,0,1
607,303170036,Colorado State,10,home,2,0,,,,1,57,0,4,4,20,8-14,1-1,375,302,28-42,7.0,83,24,3.5,5-60,4,2,2,18:12,BYU,49,away,2,2,5,0,1,4,35,0,2,7,4,0,2,26,12-13,1-1,526,242,15-20,12.1,284,44,6.5,2-23,2,2,0,18:34,,,
608,303172439,UNLV,42,home,1,3,-3,0,2,3,117,0,4,6,23,5-13,3-3,376,181,14-19,9.4,197,44,4.5,8-89,1,1,0,28:14,Wyoming,16,away,1,1,0,0,3,1,86,0,5,4,,,,15,3-11,1-2,273,150,14-23,6.1,133,30,4.4,9-64,2,1,1,21:58,1,0,1
609,303172628,TCU,40,home,0,1,92,0,9,4,113,0,4,10,27,7-18,1-1,466,257,21-36,6.7,226,54,4.2,6-45,2,1,1,24:28,San Diego State,35,away,1,2,33,0,4,2,111,0,7,5,0,0,1,7,2-11,0-0,300,285,11-26,10.1,38,21,1.8,6-46,2,0,2,11:07,29,0,2
