,id,team1,team1_pts,team1_home_away,team1_rushingTDs,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_fumblesRecovered,team1_totalFumbles,team1_possessionTime,team1_interceptions,team1_fumblesLost,team1_turnovers,team1_totalPenaltiesYards,team1_yardsPerRushAttempt,team1_rushingAttempts,team1_rushingYards,team1_yardsPerPass,team1_completionAttempts,team1_netPassingYards,team1_totalYards,team1_fourthDownEff,team1_thirdDownEff,team1_firstDowns,team2,team2_pts,team2_home_away,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_fumblesRecovered,team2_totalFumbles,team2_possessionTime,team2_interceptions,team2_fumblesLost,team2_turnovers,team2_totalPenaltiesYards,team2_yardsPerRushAttempt,team2_rushingAttempts,team2_rushingYards,team2_yardsPerPass,team2_completionAttempts,team2_netPassingYards,team2_totalYards,team2_fourthDownEff,team2_thirdDownEff,team2_firstDowns,team1_tacklesForLoss,team1_defensiveTDs,team1_tackles,team1_sacks,team1_qbHurries,team1_passesDeflected,team2_tacklesForLoss,team2_defensiveTDs,team2_tackles,team2_sacks,team2_qbHurries,team2_passesDeflected,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns
1241,401531911,Southern Mississippi,34,away,3,2,72,0,4,4,,,,2,4,33:33,0,2,2,5-28,4.3,53,229,6.2,14-26,161,390,0-0,10-18,22,Louisiana,31,home,1,,,,2,137,1,3,7,,,,2,6,26:27,0,2,2,10-94,4.1,32,130,6.8,24-38,260,390,2-5,4-15,20,4,0,37,1,1,1,7,1,53,2,6,4,-8,0,1
1242,401531915,Troy,45,away,1,5,47,0,2,9,,,,1,0,32:21,0,0,0,4-35,2.8,29,82,5.7,28-46,264,346,1-2,6-14,26,Louisiana Monroe,14,home,0,4,0,2,2,74,0,2,2,,,,0,3,27:39,0,1,1,8-76,2.1,31,66,6.8,20-36,243,309,0-4,4-15,16,11,0,29,9,1,3,4,0,28,2,4,5,4,0,2
1243,401540055,Georgetown,50,away,2,4,144,1,6,6,6,0,2,1,1,31:18,2,0,2,8-84,2.1,29,61,9.5,27-38,361,422,0-0,5-13,20,Bucknell,47,home,3,4,0,2,3,89,0,6,7,18,0,2,0,1,28:42,2,1,3,3-35,3.5,39,136,7.2,20-41,296,432,2-4,6-17,24,,,,,,,,,,,,,30,0,1
1244,401540084,Lehigh,21,away,1,2,105,0,6,3,,,,1,1,22:15,0,1,1,8-76,5.2,24,125,6.5,17-33,216,341,1-3,5-13,16,Colgate,37,home,2,0,0,1,3,21,0,2,7,,,,1,1,37:45,0,1,1,5-65,3.0,42,125,10.6,28-34,360,485,1-2,8-15,25,,,,,,,,,,,,,-1,0,1
1245,401540076,Lafayette,24,home,2,1,0,0,1,6,,,,0,,31:49,0,0,0,3-24,5.6,38,211,6.5,16-21,137,348,1-1,7-12,19,Fordham,16,away,1,5,0,1,1,47,0,3,4,,,,1,1,28:11,0,0,0,9-59,3.5,32,113,7.4,23-34,253,366,1-2,6-13,23,,,,,,,,,,,,,,,
1246,401540519,Drake,16,home,1,0,0,0,1,10,,,,2,1,34:15,1,0,1,9-78,3.2,40,126,4.3,18-36,153,279,1-2,7-18,18,Presbyterian College,14,away,1,4,0,2,1,,,,2,0,0,1,0,4,25:45,0,2,2,8-66,4.9,33,162,3.2,8-21,67,229,0-0,2-12,15,,,,,,,,,,,,,45,0,4
1247,401540560,San Diego,14,home,1,1,59,0,2,2,14,0,1,0,,32:21,2,0,2,6-55,4.7,40,186,5.8,20-26,152,338,0-1,7-13,21,St. Thomas (MN),20,away,2,0,0,1,1,25,0,1,2,12,0,2,0,1,27:39,1,0,1,6-65,3.8,33,126,5.9,10-16,94,220,2-2,3-11,13,,,,,,,,,,,,,,,
1248,401540381,Nicholls,37,home,2,3,65,0,3,7,16,0,2,1,1,33:46,0,0,0,3-19,7.3,48,349,6.2,9-17,106,455,1-1,7-13,24,Lamar,24,away,1,-2,0,1,2,181,0,8,2,,,,0,1,26:14,2,1,3,5-39,4.1,31,127,8.3,17-35,289,416,3-6,5-14,18,,,,,,,,,,,,,,,
1249,401540154,Lincoln University (CA),0,away,0,0,39,0,3,,,,,1,1,26:30,2,0,2,6-68,1.4,23,32,5.1,14-27,139,171,1-2,3-12,11,Florida A&M,28,home,3,35,0,2,0,0,0,1,4,46,1,2,0,1,33:30,0,1,1,10-103,3.8,37,141,5.0,9-19,95,236,2-2,3-9,20,,,,,,,,,,,,,1,0,1
1250,401540113,Bethune-Cookman,31,home,4,0,11,0,1,7,0,0,1,2,2,32:48,1,2,3,2-20,7.1,58,412,3.6,9-19,68,480,1-1,8-15,25,Alabama A&M,14,away,1,,,,1,64,0,4,2,0,0,1,3,1,27:12,2,1,3,7-70,3.7,35,130,5.2,18-33,173,303,1-2,6-15,18,,,,,,,,,,,,,13,0,1
