,id,date,home_team,away_team,home_pregame_elo,away_pregame_elo,conference_game,season_type,home_division,away_division
0,401426532,2022-08-27T16:00:00.000Z,Western Kentucky,Austin Peay,1684.0,,False,regular,fbs,fcs
1,401405059,2022-08-27T16:30:00.000Z,Northwestern,Nebraska,1361.0,1636.0,True,regular,fbs,fbs
2,401439512,2022-08-27T19:00:00.000Z,Florida Memorial University,Edward Waters,,,False,regular,,ii
3,401413256,2022-08-27T19:30:00.000Z,UNLV,Idaho State,1300.0,,False,regular,fbs,fcs
4,401413213,2022-08-27T19:30:00.000Z,Jacksonville State,Stephen F. Austin,,,False,regular,fcs,fcs
5,401404146,2022-08-27T20:00:00.000Z,Utah State,Connecticut,1566.0,1117.0,False,regular,fbs,fbs
6,401405058,2022-08-27T20:00:00.000Z,Illinois,Wyoming,1496.0,1497.0,False,regular,fbs,fbs
7,401411090,2022-08-27T21:00:00.000Z,Florida State,Duquesne,1501.0,,False,regular,fbs,fcs
8,401426530,2022-08-27T23:00:00.000Z,Florida Atlantic,Charlotte,1427.0,1272.0,True,regular,fbs,fbs
9,401422922,2022-08-27T23:00:00.000Z,Mercer,Morehead State,,,False,regular,fcs,fcs
10,401423448,2022-08-27T23:00:00.000Z,Alabama State,Howard,,,False,regular,fcs,fcs
11,401411091,2022-08-28T00:15:00.000Z,North Carolina,Florida A&M,1555.0,,False,regular,fbs,fcs
12,401426531,2022-08-28T01:00:00.000Z,UTEP,North Texas,1360.0,1426.0,True,regular,fbs,fbs
13,401409235,2022-08-28T02:00:00.000Z,New Mexico State,Nevada,1184.0,1564.0,False,regular,fbs,fbs
14,401403853,2022-08-28T02:30:00.000Z,Hawai'i,Vanderbilt,1432.0,1222.0,False,regular,fbs,fbs
15,401437007,2022-09-01T18:00:00.000Z,New Mexico Highlands,Eastern New Mexico,,,False,regular,ii,ii
16,401433043,2022-09-01T21:30:00.000Z,Southern Connecticut State,Shepherd,,,False,regular,ii,ii
17,401430716,2022-09-01T22:00:00.000Z,Bluefield,Johnson C Smith,,,False,regular,ii,ii
18,401431978,2022-09-01T22:00:00.000Z,Chowan,Barton College,,,False,regular,ii,ii
19,401431571,2022-09-01T22:00:00.000Z,Ashland,Notre Dame College,,,False,regular,ii,ii
20,401421137,2022-09-01T22:00:00.000Z,Campbell,The Citadel,,,False,regular,fcs,fcs
21,401432134,2022-09-01T22:00:00.000Z,Clarion,West Liberty,,,False,regular,ii,ii
22,401428480,2022-09-01T22:00:00.000Z,Wagner,Fordham,,,False,regular,fcs,fcs
23,401431561,2022-09-01T22:00:00.000Z,Saginaw Valley,WV Wesleyan,,,False,regular,ii,ii
24,401416568,2022-09-01T22:00:00.000Z,Akron,St Francis (PA),1096.0,,False,regular,fbs,fcs
25,401431542,2022-09-01T22:00:00.000Z,Michigan Tech,Wisconsin-Platteville,,,False,regular,ii,iii
26,401430722,2022-09-01T22:00:00.000Z,Tusculum,St. Augustine's,,,False,regular,ii,ii
27,401418776,2022-09-01T22:00:00.000Z,Indiana State,North Alabama,,,False,regular,fcs,fcs
28,401432987,2022-09-01T22:30:00.000Z,California (PA),Fairmont State,,,False,regular,ii,ii
29,401432152,2022-09-01T23:00:00.000Z,Wheeling Jesuit,Seton Hill College,,,False,regular,ii,ii
30,401431472,2022-09-01T23:00:00.000Z,Southeastern Oklahoma,Arkansas Tech,,,True,regular,ii,ii
31,401431484,2022-09-01T23:00:00.000Z,Southern Nazarene,Arkansas-Monticello,,,True,regular,ii,ii
32,401430986,2022-09-01T23:00:00.000Z,Millsaps,Belhaven College,,,False,regular,iii,iii
33,401431408,2022-09-01T23:00:00.000Z,East Central,Harding,,,True,regular,ii,ii
34,401455581,2022-09-01T23:00:00.000Z,Pace,East Stroudsburg,,,False,regular,ii,ii
35,401432383,2022-09-01T23:00:00.000Z,St. Anselm,Millersville,,,False,regular,ii,ii
36,401431214,2022-09-01T23:00:00.000Z,Trine,Anderson (IN),,,False,regular,iii,iii
