,id,team1,team1_pts,team1_home_away,team1_tacklesForLoss,team1_defensiveTDs,team1_tackles,team1_sacks,team1_qbHurries,team1_passesDeflected,team1_fumblesRecovered,team1_rushingTDs,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_possessionTime,team1_interceptions,team1_fumblesLost,team1_turnovers,team1_totalPenaltiesYards,team1_yardsPerRushAttempt,team1_rushingAttempts,team1_rushingYards,team1_yardsPerPass,team1_completionAttempts,team1_netPassingYards,team1_totalYards,team1_fourthDownEff,team1_thirdDownEff,team1_firstDowns,team2,team2_pts,team2_home_away,team2_tacklesForLoss,team2_defensiveTDs,team2_tackles,team2_sacks,team2_qbHurries,team2_passesDeflected,team2_fumblesRecovered,team2_rushingTDs,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_possessionTime,team2_interceptions,team2_fumblesLost,team2_turnovers,team2_totalPenaltiesYards,team2_yardsPerRushAttempt,team2_rushingAttempts,team2_rushingYards,team2_yardsPerPass,team2_completionAttempts,team2_netPassingYards,team2_totalYards,team2_fourthDownEff,team2_thirdDownEff,team2_firstDowns,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team1_totalFumbles,team2_totalFumbles
440,401249031,Colorado State,17,away,11,0,49,3,3,2,0,2,0,108,0,5,20:03,2,0,2,5-36,2.9,38,112,4.2,13-30,125,237,1-1,3-17,14,San Diego State,29,home,11,2,39,2,2,4,0,0,1,176,1,4,11,15,0,2,54:50,0,0,0,3-24,2.2,52,113,4.9,15-24,118,231,2-3,4-17,17,5,,,,10,0,3,94,1,5,,
441,401249033,Hawai'i,24,away,2,0,34,1,4,2,0,1,2,89,0,5,29:23,1,0,1,5-30,3.9,26,101,5.4,28-44,238,339,3-3,5-16,22,San José State,35,home,4,0,49,1,1,4,0,3,2,20,0,1,5,0,0,1,30:37,1,0,1,5-58,6.3,46,288,7.2,12-25,180,468,2-2,5-12,21,6,0,0,1,0,0,1,29,0,2,,
442,401249425,UCLA,25,away,7,0,39,5,0,1,1,2,1,12,0,1,27:16,0,0,0,5-37,4.4,39,171,8.0,18-24,192,363,1-1,5-13,22,Arizona State,18,home,10,0,39,5,1,2,0,1,1,137,0,5,4,,,,32:44,1,1,2,12-83,4.7,35,165,7.7,22-36,277,442,0-1,6-11,25,5,21,0,1,,,,4,0,1,,
443,401249426,Colorado,24,away,12,0,50,5,0,4,0,3,0,,,,29:03,2,1,3,5-47,8.8,46,407,4.6,12-20,92,499,0-0,5-11,18,Arizona,13,home,7,0,43,1,0,3,1,1,0,33,0,2,7,15,0,2,30:57,1,0,1,6-56,6.2,43,268,4.8,19-32,154,422,0-2,3-14,23,6,2,0,1,31,0,2,33,0,1,,
444,401249878,Ball State,45,away,11,0,50,4,0,0,2,2,4,49,0,3,35:28,1,0,1,3-18,2.9,52,153,8.5,26-43,366,519,1-2,12-20,28,Central Michigan,20,home,7,0,59,4,1,6,0,1,2,76,0,5,2,0,0,1,24:32,2,2,4,6-58,4.3,36,154,6.3,20-30,188,342,2-4,4-14,17,9,0,0,2,0,0,1,-25,0,2,,
445,401249879,Eastern Michigan,53,away,4,0,42,2,0,3,3,3,3,44,0,3,35:13,0,0,0,5-40,4.7,46,218,10.5,19-30,315,533,2-2,9-16,24,Western Michigan,42,home,8,0,33,3,1,4,0,2,4,71,0,8,6,,,,24:37,0,3,3,13-93,5.9,38,225,11.1,18-26,288,513,1-1,5-8,23,17,,,,,,,-1,0,1,,
446,401249880,Toledo,41,away,5.5,0,35,2.5,2,3,1,2,3,76,0,5,33:15,2,0,2,11-112,4.8,37,178,9.8,29-44,432,610,3-4,3-9,34,Northern Illinois,24,home,3,0,39,0,0,6,0,1,2,140,0,7,6,8,0,2,26:45,0,1,1,8-77,3.9,28,109,7.0,19-39,273,382,1-2,4-14,21,11,,,,9,0,2,,,,,
447,401249881,Bowling Green,3,away,9,0,34,4,1,2,0,0,0,101,0,4,29:55,1,2,3,3-35,4.2,38,160,5.0,14-27,135,295,0-2,7-16,13,Akron,31,home,6,1,42,3,1,4,2,2,1,14,0,1,7,44,0,1,30:05,0,0,0,3-12,5.0,39,195,5.1,9-17,87,282,0-1,4-12,15,3,,,,33,0,3,-9,1,2,,
448,401249034,Wyoming,16,away,5,0,33,0,0,0,1,1,0,107,0,4,25:28,2,1,3,2-20,7.4,38,283,5.4,5-17,91,374,1-3,1-11,12,New Mexico,17,home,3,0,22,1,0,3,1,1,1,136,0,4,5,5,0,2,34:32,1,1,2,5-50,4.5,50,223,5.1,11-18,92,315,0-1,5-15,16,10,0,0,1,,,,,,,,
449,401247335,Nebraska,37,away,9,0,42,3,0,5,0,3,1,38,0,2,33:49,0,0,0,9-107,2.8,40,111,8.2,24-31,253,364,0-1,6-15,20,Purdue,27,home,6,0,47,1,0,2,0,0,3,116,0,4,9,,,,26:11,0,0,0,11-126,-0.1,17,-2,7.1,33-47,334,332,1-3,3-13,19,13,,,,66,0,2,12,0,2,,
