,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted
0,332430120,Florida International,10,away,2,1,15,0,2,0,110,0,6,4,9,4-17,1-3,171,80,10-22,3.6,91,40,2.3,3-24,2,1,1,25:29,Maryland,43,home,1,2,0,0,1,3,70,0,3,13,0,0,1,26,4-13,0-1,576,325,25-29,11.2,251,42,6.0,2-10,2,2,0,39:53,,,
1,332432572,Texas State,22,away,4,1,29,0,1,1,13,0,2,2,13,5-16,0-0,207,134,14-21,6.4,73,41,1.8,6-60,1,1,0,34:16,Southern Mississippi,15,home,1,0,52,0,2,1,114,0,4,7,,,,15,6-21,0-3,400,377,28-53,7.1,23,24,1.0,2-10,6,4,2,25:44,27,0,2
2,332430151,Old Dominion,38,away,0,2,5,0,1,3,45,0,3,8,26,8-14,0-1,460,370,39-52,7.1,90,23,3.9,4-35,1,1,0,28:50,East Carolina,52,home,1,1,35,0,2,5,23,0,1,10,,,,26,12-17,0-0,481,447,46-54,8.3,34,22,1.5,9-85,0,0,0,31:10,,,
3,332432653,Troy,34,home,0,3,0,0,1,1,50,0,2,10,25,6-13,2-2,497,319,30-33,9.7,178,39,4.6,5-60,2,2,0,30:49,UAB,31,away,2,0,,,,3,205,1,6,7,,,,19,2-13,2-3,447,339,21-35,9.7,108,30,3.6,13-96,0,0,0,28:53,,,
4,332410189,Bowling Green,34,home,2,3,76,1,3,0,29,0,1,10,23,3-13,1-1,396,163,12-28,5.8,233,53,4.4,6-60,1,0,1,38:40,Tulsa,7,away,0,0,15,0,4,1,120,0,6,1,11,0,1,12,6-17,0-2,273,222,20-41,5.4,51,24,2.1,4-25,2,2,0,27:25,,,
5,332412655,Jackson State,7,away,0,1,8,0,3,0,22,0,2,1,18,9-20,2-2,356,244,15-29,8.4,112,48,2.3,9-78,6,2,4,33:56,Tulane,34,home,2,2,10,0,2,2,47,0,2,10,24,0,4,16,5-12,0-0,308,150,7-16,9.4,158,43,3.7,4-27,0,0,0,25:59,,,
6,332430098,Kentucky,26,away,2,2,54,0,2,1,74,0,3,8,15,6-15,1-1,419,203,18-28,7.3,216,32,6.8,10-69,1,1,0,24:37,Western Kentucky,35,home,1,4,17,0,4,1,41,0,2,5,,,,22,2-10,1-1,487,271,27-34,8.0,216,41,5.3,5-35,2,2,0,34:50,,,
7,332430275,UMass,0,away,0,0,,,,0,144,0,6,0,13,6-14,0-1,212,112,14-30,3.7,100,29,3.4,8-50,2,1,1,27:00,Wisconsin,45,home,1,4,0,0,2,2,28,0,1,9,0,0,1,22,8-11,0-0,598,205,10-18,11.4,393,44,8.9,4-35,1,0,1,32:11,15,0,1
8,332430213,Syracuse,17,away,2,2,16,0,2,0,70,0,2,5,11,6-20,0-2,260,189,16-37,5.1,71,37,1.9,8-70,3,1,2,28:53,Penn State,23,home,1,0,44,0,3,2,66,0,3,11,4,0,2,14,1-16,2-2,353,296,23-32,9.3,57,38,1.5,4-20,4,2,2,30:32,52,0,2
9,332432132,Cincinnati,42,home,2,4,-2,0,4,1,22,0,1,6,20,9-15,3-4,425,204,17-25,8.2,221,47,4.7,2-10,3,1,2,33:48,Purdue,7,away,1,1,,,,0,76,0,4,1,0,0,2,12,4-12,1-3,226,161,18-35,4.6,65,22,3.0,7-40,4,2,2,26:12,41,1,2
10,332430194,Buffalo,20,away,1,0,,,,2,75,0,6,2,19,3-14,1-2,258,185,19-32,5.8,73,35,2.1,6-62,1,0,1,27:22,Ohio State,40,home,0,2,44,0,4,3,81,0,3,6,0,0,1,23,7-12,0-1,460,199,16-23,8.7,261,45,5.8,9-94,2,1,1,32:13,45,1,1
11,332430356,Southern Illinois,34,away,1,1,6,0,1,3,73,0,2,10,17,5-15,0-1,407,341,26-41,8.3,66,26,2.5,6-56,1,1,0,30:48,Illinois,42,home,1,2,19,0,3,2,135,1,4,10,,,,21,6-14,0-0,464,415,29-37,11.2,49,30,1.6,8-70,2,1,1,28:55,28,0,1
