,id,date,home_team,away_team,home_pregame_elo,away_pregame_elo,conference_game,season_type,home_division,away_division
0,292390282,2009-08-27T22:05:00.000Z,Indiana State,Quincy,,,False,regular,fcs,
1,292460311,2009-09-03T23:00:00.000Z,Maine,St. Cloud State,,,False,regular,fcs,
2,292462309,2009-09-03T23:00:00.000Z,Kent State,Coastal Carolina,1313.0,1405.0,False,regular,fbs,fcs
3,292462534,2009-09-03T23:00:00.000Z,Sam Houston State,Western Illinois,,,False,regular,fcs,fcs
4,292462546,2009-09-03T23:00:00.000Z,Southeast Missouri State,Quincy,,,False,regular,fcs,
5,292462630,2009-09-03T23:00:00.000Z,UT Martin,Iowa Wesleyan,,,False,regular,fcs,
6,292460236,2009-09-03T23:00:00.000Z,Chattanooga,Glenville State,,,False,regular,fcs,
7,292460152,2009-09-03T23:00:00.000Z,NC State,South Carolina,1512.0,1550.0,False,regular,fbs,fbs
8,292460189,2009-09-03T23:00:00.000Z,Bowling Green,Troy,1488.0,1585.0,False,regular,fbs,fbs
9,292460218,2009-09-03T23:00:00.000Z,Temple,Villanova,,,False,regular,fbs,fcs
10,292462050,2009-09-03T23:30:00.000Z,Ball State,North Texas,1530.0,1035.0,False,regular,fbs,fbs
11,292460084,2009-09-04T00:00:00.000Z,Indiana,Eastern Kentucky,,,False,regular,fbs,fcs
12,292460093,2009-09-04T00:00:00.000Z,Murray State,Kentucky Wesleyan,,,False,regular,fcs,
13,292460233,2009-09-04T00:00:00.000Z,South Dakota,William Penn,,,False,regular,fcs,
14,292462197,2009-09-04T00:00:00.000Z,Eastern Illinois,Illinois State,,,False,regular,fcs,fcs
15,292460066,2009-09-04T00:00:00.000Z,Iowa State,North Dakota State,,,False,regular,fbs,fcs
16,292460253,2009-09-04T00:00:00.000Z,Southern Utah,Utah Tech,,,False,regular,fcs,
17,292460254,2009-09-04T01:00:00.000Z,Utah,Utah State,1799.0,1359.0,False,regular,fbs,fbs
18,292460068,2009-09-04T02:15:00.000Z,Boise State,Oregon,1813.0,1799.0,False,regular,fbs,fbs
19,292470048,2009-09-04T23:00:00.000Z,Delaware,West Chester,,,False,regular,fcs,
20,292472655,2009-09-05T00:00:00.000Z,Tulane,Tulsa,1128.0,1698.0,True,regular,fbs,fbs
21,292480062,2009-09-05T05:05:00.000Z,Hawai'i,Central Arkansas,,,False,regular,fbs,fcs
22,292480193,2009-09-05T16:00:00.000Z,Miami (OH),Kentucky,1208.0,1509.0,False,regular,fbs,fbs
23,292480213,2009-09-05T16:00:00.000Z,Penn State,Akron,1879.0,1360.0,False,regular,fbs,fbs
24,292480194,2009-09-05T16:00:00.000Z,Ohio State,Navy,1829.0,1546.0,False,regular,fbs,fbs
25,292480183,2009-09-05T16:00:00.000Z,Syracuse,Minnesota,1303.0,1401.0,False,regular,fbs,fbs
26,292480077,2009-09-05T16:00:00.000Z,Northwestern,Towson,,,False,regular,fbs,fcs
27,292480127,2009-09-05T16:00:00.000Z,Michigan State,Montana State,,,False,regular,fbs,fcs
28,292480151,2009-09-05T16:00:00.000Z,East Carolina,Appalachian State,1529.0,1451.0,False,regular,fbs,fcs
29,292480277,2009-09-05T16:00:00.000Z,West Virginia,Liberty,1701.0,1419.0,False,regular,fbs,fcs
30,292480160,2009-09-05T16:00:00.000Z,New Hampshire,St Francis (PA),,,False,regular,fcs,fcs
31,292482509,2009-09-05T16:00:00.000Z,Purdue,Toledo,1559.0,1304.0,False,regular,fbs,fbs
32,292482294,2009-09-05T16:05:00.000Z,Iowa,Northern Iowa,,,False,regular,fbs,fcs
33,292482633,2009-09-05T16:21:00.000Z,Tennessee,Western Kentucky,1586.0,1222.0,False,regular,fbs,fbs
34,292482329,2009-09-05T16:30:00.000Z,Lehigh,Central Connecticut,,,False,regular,fcs,fcs
35,292480221,2009-09-05T17:00:00.000Z,Pittsburgh,Youngstown State,,,False,regular,fbs,fcs
36,292480059,2009-09-05T17:00:00.000Z,Georgia Tech,Jacksonville State,,,False,regular,fbs,fcs
37,292480227,2009-09-05T17:00:00.000Z,Rhode Island,Fordham,,,False,regular,fcs,fcs
38,292482097,2009-09-05T17:00:00.000Z,Campbell,Methodist,,,False,regular,fcs,
39,292482681,2009-09-05T17:00:00.000Z,Wagner,Stonehill,,,False,regular,fcs,
40,292482086,2009-09-05T17:00:00.000Z,Butler,Albion,,,False,regular,fcs,
41,292480107,2009-09-05T17:00:00.000Z,Holy Cross,Georgetown,,,True,regular,fcs,fcs
42,292482601,2009-09-05T17:00:00.000Z,St. Joseph's (IN),Valparaiso,,,False,regular,,fcs
43,292482678,2009-09-05T17:30:00.000Z,VMI,Robert Morris,,,False,regular,fcs,fcs
44,292480103,2009-09-05T18:00:00.000Z,Boston College,Northeastern,,,False,regular,fbs,fcs
45,292482005,2009-09-05T18:00:00.000Z,Air Force,Nicholls,,,False,regular,fbs,fcs
46,292480204,2009-09-05T18:30:00.000Z,Oregon State,Portland State,,,False,regular,fbs,fcs
47,292482803,2009-09-05T19:00:00.000Z,Bryant,Southern Connecticut State,,,False,regular,fcs,
48,292482751,2009-09-05T19:00:00.000Z,Wyoming,Weber State,,,False,regular,fbs,fcs
49,292480331,2009-09-05T19:05:00.000Z,Eastern Washington,Western Oregon,,,False,regular,fcs,
50,292480149,2009-09-05T19:05:00.000Z,Montana,Western State,,,False,regular,fcs,
51,292480344,2009-09-05T19:30:00.000Z,Mississippi State,Jackson State,,,False,regular,fbs,fcs
52,292480030,2009-09-05T19:30:00.000Z,USC,San José State,1980.0,1337.0,False,regular,fbs,fbs
53,292480154,2009-09-05T19:30:00.000Z,Wake Forest,Baylor,1567.0,1481.0,False,regular,fbs,fbs
54,292480130,2009-09-05T19:30:00.000Z,Michigan,Western Michigan,1489.0,1414.0,False,regular,fbs,fbs
55,292480087,2009-09-05T19:30:00.000Z,Notre Dame,Nevada,1555.0,1511.0,False,regular,fbs,fbs
56,292480197,2009-09-05T19:30:00.000Z,Oklahoma State,Georgia,1689.0,1696.0,False,regular,fbs,fbs
57,292480356,2009-09-05T19:40:00.000Z,Illinois,Missouri,1577.0,1755.0,False,regular,fbs,fbs
58,292480005,2009-09-05T20:00:00.000Z,UAB,Rice,1268.0,1562.0,True,regular,fbs,fbs
59,292482065,2009-09-05T20:00:00.000Z,Bethune-Cookman,Shaw,,,False,regular,fcs,
60,292480276,2009-09-05T20:30:00.000Z,Marshall,Southern Illinois,,,False,regular,fbs,fcs
61,292480231,2009-09-05T21:00:00.000Z,Furman,Presbyterian College,,,False,regular,fcs,fcs
62,292482029,2009-09-05T21:00:00.000Z,Arkansas-Pine Bluff,Arkansas-Monticello,,,False,regular,fcs,
63,292482691,2009-09-05T21:00:00.000Z,Webber International,Jacksonville,,,False,regular,,fcs
64,292480258,2009-09-05T22:00:00.000Z,Virginia,William & Mary,,,False,regular,fbs,fcs
65,292482450,2009-09-05T22:00:00.000Z,Norfolk State,Virginia State,,,False,regular,fcs,
66,292482736,2009-09-05T22:00:00.000Z,Winston-Salem,North Carolina A&T,,,False,regular,fcs,fcs
67,292482142,2009-09-05T22:00:00.000Z,Colgate,Monmouth,,,False,regular,fcs,fcs
68,292482940,2009-09-05T22:00:00.000Z,Livingstone,Savannah State,,,False,regular,,fcs
69,292482529,2009-09-05T22:00:00.000Z,Sacred Heart,Marist,,,False,regular,fcs,fcs
70,292482241,2009-09-05T22:00:00.000Z,Gardner-Webb,Mars Hill,,,False,regular,fcs,
71,292480265,2009-09-05T22:00:00.000Z,Washington State,Stanford,1064.0,1513.0,True,regular,fbs,fbs
72,292480290,2009-09-05T22:00:00.000Z,Georgia Southern,Albany,,,False,regular,fcs,fcs
73,292480228,2009-09-05T22:00:00.000Z,Clemson,Middle Tennessee,1645.0,1371.0,False,regular,fbs,fbs
74,292482261,2009-09-05T22:00:00.000Z,Hampton,North Carolina Central,,,False,regular,fcs,fcs
75,292480050,2009-09-05T22:00:00.000Z,Florida A&M,Delaware State,,,True,regular,fcs,fcs
