,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickingPoints,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns
51,272440087,Georgia Tech,33,away,4,3,17,0,4,0,15,20,4-13,0-0,380,131,11-24,5.0,259,43,6.0,6-53,0,0,0,18:20,Notre Dame,3,home,0,0,-1,0,2,0,3,,,,13,5-16,2-2,122,204,15-22,5.9,-8,41,-0.2,3-25,4,4,0,18:20,,,,,,,,,
52,272442579,Louisiana,14,away,0,2,35,0,2,0,2,17,5-14,1-3,315,66,12-19,3.3,252,47,5.4,8-59,0,0,0,17:02,South Carolina,28,home,0,2,1,0,2,2,4,,,,27,7-13,1-2,433,244,21-29,8.2,195,41,4.8,5-32,1,0,1,19:38,0,0,1,,,,,,
53,272440096,Eastern Kentucky,10,away,1,0,,,,1,4,13,0-0,0-0,202,59,16-31,2.3,130,30,4.3,4-39,2,0,2,17:31,Kentucky,50,home,0,4,56,0,8,3,8,22,0,2,31,7-12,1-2,568,294,23-33,8.5,288,44,6.5,7-65,2,1,1,21:13,-2,0,1,,,,,,
54,272440238,Richmond,17,away,1,1,,,,0,5,18,0-0,0-0,310,154,18-30,5.4,149,35,4.3,6-41,3,0,3,20:35,Vanderbilt,41,home,0,1,62,0,3,4,11,18,0,3,19,7-13,0-0,446,290,19-26,10.9,162,35,4.6,4-29,1,1,0,16:05,,,,,,,,,
55,272440333,Western Carolina,6,away,0,0,,,,0,6,15,0-0,0-0,247,149,14-27,6.3,76,39,1.9,6-65,2,2,0,19:09,Alabama,52,home,2,6,36,0,3,1,10,,,,35,6-10,0-0,575,264,25-34,7.7,313,44,7.1,5-42,0,0,0,17:31,,,,,,,,,
56,272420344,LSU,45,away,1,3,5,0,1,3,9,22,6-14,0-0,347,168,14-22,6.8,198,50,4.0,8-60,0,0,0,19:59,Mississippi State,0,home,0,0,18,0,4,0,,,,,9,3-14,0-2,146,173,14-33,4.1,10,26,0.4,7-39,7,1,6,16:21,122,0,6,,,,,,
57,272440008,Troy,26,away,2,2,0,0,2,1,8,20,5-17,1-3,376,220,17-49,4.4,162,31,5.2,9-75,1,0,1,16:14,Arkansas,46,home,0,3,-5,0,5,1,16,0,0,1,22,5-15,1-1,507,168,13-22,7.1,350,50,7.0,6-58,2,2,0,27:37,,,,,,,,,
58,272420166,Southeastern Louisiana,14,away,0,1,9,0,2,0,2,11,0-0,0-0,268,109,14-28,5.2,123,37,3.3,6-79,1,0,1,20:54,New Mexico State,35,home,0,0,5,0,5,4,5,68,1,1,19,5-12,0-0,442,304,25-37,7.8,153,27,5.7,8-55,4,0,4,15:08,0,0,3,15,0,2,,,
59,272422050,Ball State,13,home,0,0,37,0,3,1,7,17,7-18,1-2,338,200,19-36,5.5,140,34,4.1,5-48,0,0,0,16:37,Miami (OH),14,away,0,2,110,0,5,0,2,,,,16,6-14,0-0,296,136,14-24,4.9,178,38,4.7,6-53,2,0,2,19:37,1,0,2,,,,,,
60,272440195,Gardner-Webb,14,away,1,0,,,,2,2,23,0-0,0-0,333,253,27-47,5.6,68,24,2.8,7-39,2,0,2,15:09,Ohio,36,home,0,3,2,0,1,1,10,3,0,2,21,8-19,3-3,435,243,17-31,7.3,209,47,4.4,9-83,1,1,0,21:11,,,,,,,,,
