,id,date,home_team,away_team,home_pregame_elo,away_pregame_elo,conference_game,season_type,home_division,away_division
0,242412535,2004-08-28T23:00:00.000Z,Samford,West Alabama,,,False,regular,fcs,
1,242410093,2004-08-28T23:00:00.000Z,Murray State,Glenville State,,,False,regular,fcs,
2,242410193,2004-08-28T23:00:00.000Z,Miami (OH),Indiana State,,,False,regular,fbs,fcs
3,242410259,2004-08-28T23:40:00.000Z,Virginia Tech,USC,1748.0,1925.0,True,regular,fbs,fbs
4,242460222,2004-09-02T23:00:00.000Z,Villanova,Bucknell,,,False,regular,fcs,fcs
5,242462717,2004-09-02T23:00:00.000Z,Western Carolina,West Virginia State,,,False,regular,fcs,
6,242462199,2004-09-02T23:00:00.000Z,Eastern Michigan,Buffalo,1219.0,1172.0,True,regular,fbs,fbs
7,242460048,2004-09-02T23:00:00.000Z,Delaware,New Hampshire,,,True,regular,fcs,fcs
8,242462623,2004-09-02T23:00:00.000Z,Missouri State,Drake,,,False,regular,fcs,fcs
9,242462275,2004-09-02T23:00:00.000Z,Hofstra,Albany,,,False,regular,fcs,fcs
10,242460254,2004-09-02T23:30:00.000Z,Utah,Texas A&M,1629.0,1399.0,False,regular,fbs,fbs
11,242462754,2004-09-02T23:30:00.000Z,Youngstown State,Slippery Rock,,,False,regular,fcs,
12,242462447,2004-09-02T23:30:00.000Z,Nicholls,Eastern Washington,,,False,regular,fcs,fcs
13,242462617,2004-09-03T00:00:00.000Z,Stephen F. Austin,Henderson State,,,False,regular,fcs,
14,242460079,2004-09-03T00:00:00.000Z,Southern Illinois,Southeast Missouri State,,,False,regular,fcs,fcs
15,242462050,2004-09-03T00:00:00.000Z,Ball State,Boston College,1289.0,1647.0,False,regular,fbs,fbs
16,242462545,2004-09-03T00:00:00.000Z,Southeastern Louisiana,Arkansas-Monticello,,,False,regular,fcs,
17,242462711,2004-09-03T00:00:00.000Z,Western Michigan,UT Martin,,,False,regular,fbs,fcs
18,242462287,2004-09-03T00:00:00.000Z,Illinois State,St. Xavier (IL),,,False,regular,fcs,
19,242462628,2004-09-03T01:30:00.000Z,TCU,Northwestern,1592.0,1425.0,True,regular,fbs,fbs
20,242460009,2004-09-03T02:00:00.000Z,Arizona State,UTEP,1517.0,1094.0,False,regular,fbs,fbs
21,242462502,2004-09-03T02:05:00.000Z,Portland State,Western State,,,False,regular,fcs,
22,242470167,2004-09-04T00:00:00.000Z,New Mexico,Washington State,1557.0,1715.0,True,regular,fbs,fbs
23,242480130,2004-09-04T16:00:00.000Z,Michigan,Miami (OH),1841.0,1824.0,False,regular,fbs,fbs
24,242480201,2004-09-04T16:00:00.000Z,Oklahoma,Bowling Green,1999.0,1596.0,False,regular,fbs,fbs
25,242482294,2004-09-04T16:00:00.000Z,Iowa,Kent State,1781.0,1330.0,False,regular,fbs,fbs
26,242480275,2004-09-04T16:00:00.000Z,Wisconsin,UCF,1637.0,1332.0,False,regular,fbs,fbs
27,242480218,2004-09-04T16:00:00.000Z,Temple,Virginia,1378.0,1681.0,False,regular,fbs,fbs
28,242480041,2004-09-04T16:00:00.000Z,Connecticut,Murray State,,,False,regular,fbs,fcs
29,242482005,2004-09-04T16:00:00.000Z,Air Force,California,1515.0,1720.0,True,regular,fbs,fbs
30,242480194,2004-09-04T16:00:00.000Z,Ohio State,Cincinnati,1735.0,1482.0,True,regular,fbs,fbs
31,242480238,2004-09-04T16:30:00.000Z,Vanderbilt,South Carolina,1321.0,1453.0,True,regular,fbs,fbs
32,242480107,2004-09-04T16:30:00.000Z,Holy Cross,Duquesne,,,False,regular,fcs,fcs
33,242480046,2004-09-04T17:00:00.000Z,Georgetown,St Francis (PA),,,False,regular,fcs,fcs
34,242482169,2004-09-04T17:00:00.000Z,Delaware State,UMass,,,False,regular,fcs,fcs
35,242482011,2004-09-04T17:00:00.000Z,Alabama State,Howard,,,False,regular,fcs,fcs
36,242482230,2004-09-04T17:00:00.000Z,Fordham,Rhode Island,,,False,regular,fcs,fcs
37,242482329,2004-09-04T17:00:00.000Z,Lehigh,Stony Brook,,,False,regular,fcs,fcs
38,242482529,2004-09-04T17:00:00.000Z,Sacred Heart,Central Connecticut,,,True,regular,fcs,fcs
39,242480059,2004-09-04T17:00:00.000Z,Georgia Tech,Samford,,,False,regular,fbs,fcs
40,242480322,2004-09-04T17:00:00.000Z,Lafayette,Marist,,,False,regular,fcs,fcs
41,242482325,2004-09-04T17:00:00.000Z,La Salle,Wagner,,,False,regular,fcs,fcs
42,242480314,2004-09-04T17:00:00.000Z,Iona,Montclair State,,,False,regular,fcs,
