,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_passingTDs,team1_kickingPoints,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickingPoints,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns
621,263150008,Arkansas,31,home,0,2,2,7,18,7-13,0-0,425,166,11-16,10.4,259,45,5.8,5-65,1,1,0,19:15,Tennessee,14,away,1,0,-1,0,4,2,2,19,4-13,0-0,266,191,16-34,5.1,92,29,3.2,5-16,1,0,1,17:25,20,0,7,,,,,,,25,0,1,,,
622,263150096,Vanderbilt,26,away,2,3,1,2,27,2-9,0-2,621,460,23-37,12.1,175,30,5.8,1-5,4,2,2,18:04,Kentucky,38,home,2,1,,,,4,8,26,7-16,1-1,597,476,29-43,10.5,147,37,4.0,6-58,2,2,0,18:36,17,0,3,49,0,2,,,,,,,,,
623,263150099,LSU,28,home,2,1,3,4,20,3-10,3-3,418,224,18-21,9.9,211,34,6.2,7-61,0,0,0,17:23,Alabama,14,away,0,0,12,0,3,2,2,23,3-11,1-1,369,319,22-36,8.1,78,28,2.8,5-45,3,2,1,18:09,-1,0,3,,,,,,,0,0,1,,,
624,263152440,Utah State,0,away,2,0,0,,13,2-13,0-2,207,100,9-21,3.9,125,38,3.3,8-69,3,0,3,17:23,Nevada,42,home,0,5,29,0,6,1,6,21,6-11,1-2,342,162,12-20,7.0,202,44,4.6,4-34,2,2,0,18:33,,,,16,0,3,,,,,,,,,
625,263150278,Fresno State,23,home,6,2,1,5,14,4-13,0-1,263,115,11-19,5.2,164,41,4.0,9-49,0,0,0,18:00,New Mexico State,18,away,0,1,0,0,4,2,0,22,6-15,1-3,376,387,39-51,7.2,9,22,0.4,4-39,6,6,0,17:59,5,0,2,,,,,,,,,,,,
626,263150259,Virginia Tech,23,home,3,1,0,11,14,7-16,0-1,214,155,12-22,6.4,73,36,2.0,5-50,1,1,0,17:06,Kent State,0,away,1,0,27,0,3,0,0,9,3-11,1-1,182,129,6-16,6.1,84,34,2.5,9-71,4,3,1,19:34,49,0,3,,,,,,,0,0,1,,,
627,263132006,Buffalo,16,away,1,2,0,4,13,3-12,0-1,248,167,15-24,6.3,98,36,2.7,6-39,2,1,1,18:26,Akron,31,home,1,0,15,0,3,4,7,16,3-11,1-1,418,278,14-21,13.0,144,37,3.9,9-71,1,1,0,17:05,0,0,1,0,0,1,,,,,,,,,
628,263112459,Northern Illinois,13,home,0,0,1,7,17,3-16,1-2,267,283,20-47,5.2,23,22,1.0,6-38,3,2,1,15:19,Toledo,17,away,2,1,0,0,4,1,5,16,7-17,0-2,287,48,8-21,2.3,238,49,4.9,7-73,1,0,1,20:37,44,0,5,8,0,1,,,,0,0,1,,,
629,263142117,Central Michigan,31,home,3,3,1,7,17,4-14,1-1,305,167,17-27,6.0,142,35,4.1,2-20,1,0,1,19:18,Western Michigan,7,away,0,0,3,0,1,1,1,14,6-15,0-2,234,71,12-23,2.6,175,38,4.6,4-41,4,3,1,17:22,0,0,1,23,0,1,,,,49,0,1,,,
630,263150052,Wake Forest,30,away,0,1,1,12,18,3-14,0-0,307,143,13-20,6.9,169,46,3.7,4-40,0,0,0,21:43,Florida State,0,home,0,0,0,0,4,0,0,9,1-13,0-0,139,141,9-28,4.0,26,23,1.1,9-69,4,0,4,14:31,12,0,3,,,,,,,69,1,4,,,
