,id,team1,team1_pts,team1_home_away,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_fumblesRecovered,team1_totalFumbles,team1_tacklesForLoss,team1_defensiveTDs,team1_tackles,team1_sacks,team1_qbHurries,team1_passesDeflected,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_rushingTDs,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_fumblesRecovered,team2_totalFumbles,team2_tacklesForLoss,team2_defensiveTDs,team2_tackles,team2_sacks,team2_qbHurries,team2_passesDeflected,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns
746,401012791,UCLA,34,home,3,,,,1,,,,10,0,0,2,0,,3,0,30,1,0,4,25,8-14,0-0,479,166,13-22,7.5,313,52,6.0,2-15,1,0,1,28:04,USC,27,away,0,2,40,0,2,9,0,,6,0,40,1,0,1,19,4-13,2-3,449,337,20-34,9.9,112,27,4.1,9-63,2,0,2,29:17,0,0,1,14,0,1
747,401013446,New Mexico State,10,away,0,26,0,4,1,44,0,4,4,,,,1,2,5,0,49,2,2,4,20,8-23,0-0,312,264,25-61,4.3,48,26,1.8,5-39,3,1,2,26:59,BYU,45,home,6,0,42,0,4,9,1,,,,,,,,25,8-17,0-1,510,193,13-30,6.4,317,51,6.2,2-20,2,1,1,33:01,4,0,2,7,0,2
748,401012792,Colorado,7,home,1,1,0,2,0,23,0,2,1,,,,0,4,7,0,50,1,2,3,14,4-15,1-3,196,162,21-33,4.9,34,34,1.0,4-38,3,1,2,29:11,Utah,30,away,1,2,29,0,2,12,1,2,16,0,41,6,3,2,19,5-16,0-0,390,221,11-23,9.6,169,47,3.6,5-64,0,0,0,30:49,21,0,2,11,0,4
749,401015045,North Texas,41,home,3,10,0,3,2,42,0,2,11,28,0,2,0,3,11,0,42,0,1,3,25,2-12,0-1,511,303,23-35,8.7,208,37,5.6,4-40,2,0,2,31:43,Florida Atlantic,38,away,3,2,23,0,1,9,0,1,6,0,38,3,0,1,20,4-18,2-3,489,294,21-35,8.4,195,47,4.1,5-58,2,0,2,28:17,0,0,2,-1,0,1
750,401015044,Charlotte,35,home,4,,,,1,,,,5,,,,0,1,4,0,29,0,0,3,28,5-12,3-4,534,253,16-22,11.5,281,57,4.9,7-65,2,1,1,35:55,Florida International,42,away,2,2,16,0,2,10,1,,2,0,4,1,0,0,21,2-8,0-0,490,294,25-32,9.2,196,23,8.5,6-47,0,0,0,24:05,0,0,1,,,
751,401015047,Marshall,23,home,0,15,0,3,2,,,,11,5,0,1,1,0,9,0,21,5,16,5,22,5-16,0-1,505,387,19-36,10.8,118,37,3.2,6-49,0,0,0,34:04,UT San Antonio,0,away,0,0,101,0,6,,0,1,6,0,26,1,4,5,10,4-15,0-1,137,163,17-34,4.8,-26,21,-1.2,10-73,2,1,1,25:33,,,,25,0,1
752,401015046,Southern Mississippi,21,home,2,5,0,1,1,47,0,3,3,,,,0,,,,,,,,19,8-14,1-2,280,226,26-31,7.3,54,33,1.6,4-38,1,1,0,31:57,Louisiana Tech,20,away,1,1,,,,8,1,0,11,0,43,4,0,2,20,9-17,1-1,311,243,27-43,5.7,68,23,3.0,3-45,0,0,0,28:03,,,,17,0,2
753,401019533,South Florida,17,away,2,-1,0,1,0,56,0,5,6,27,0,1,1,3,6,0,55,2,0,6,15,6-16,1-2,266,82,14-23,3.6,184,48,3.8,7-55,5,3,2,29:41,Temple,27,home,1,0,47,0,1,9,3,2,4,1,58,2,0,2,18,5-17,1-3,337,264,20-35,7.5,73,40,1.8,7-61,2,1,1,30:19,0,0,2,67,1,3
754,401019531,UCF,38,home,2,16,0,2,3,14,0,1,8,,,,3,2,7,0,48,4,4,5,20,7-13,0-1,402,268,13-25,10.7,134,36,3.7,5-45,1,1,0,22:48,Cincinnati,13,away,1,0,70,0,4,1,1,3,5,0,34,3,2,2,20,10-20,0-1,379,127,11-26,4.9,252,55,4.6,9-70,3,3,0,37:12,,,,-3,0,2
755,401019529,Tulane,17,away,2,2,0,1,0,203,0,9,3,11,0,1,0,2,8,0,48,3,3,5,18,5-13,0-2,359,147,10-24,6.1,212,43,4.9,5-43,4,1,3,29:44,Houston,48,home,3,3,50,0,2,12,0,1,5,0,47,1,2,4,24,6-14,0-1,488,190,17-30,6.3,298,48,6.2,6-54,1,0,1,30:16,56,0,3,5,0,1
