,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns
662,253260189,Bowling Green,41,home,1,2,0,0,1,3,,,,,31,5-13,0-1,495,322,25-43,7.3,180,34,5.3,0-0,0,0,0,15:41,Toledo,44,away,0,2,0,0,1,4,8,,,,29,8-18,1-3,582,306,23-36,8.3,284,52,5.5,0-0,1,1,0,20:10,,,,,,
663,253272459,Northern Illinois,42,home,0,5,12,0,3,1,6,-3,0,2,24,5-9,0-0,526,160,8-13,12.3,366,50,7.3,0-0,1,1,0,15:19,Western Michigan,7,away,1,0,0,0,1,1,1,,,,19,7-16,0-2,289,190,26-42,4.4,104,32,3.3,0-0,2,0,2,21:20,,,,,,
664,253300259,North Carolina,3,away,1,0,24,0,2,0,3,21,0,1,11,6-17,1-2,196,182,15-41,3.9,36,22,1.6,0-0,1,0,1,17:23,Virginia Tech,30,home,0,3,12,0,4,1,6,0,0,1,22,4-9,0-0,338,83,8-15,4.1,277,53,5.2,0-0,2,1,1,19:17,,,,,,
665,253302390,Virginia,17,away,1,0,,,,2,5,,,,17,8-18,0-2,407,326,16-29,10.2,111,41,2.7,0-0,0,0,0,18:58,Miami,25,home,0,2,59,0,5,1,7,,,,20,5-11,0-0,399,254,23-30,8.3,151,34,4.4,0-0,1,1,0,17:42,,,,,,
666,253302433,Louisiana Monroe,21,home,1,2,6,0,5,1,3,,,,14,3-15,1-4,202,136,17-37,3.7,66,29,2.3,0-0,2,1,1,16:00,Louisiana,54,away,1,6,59,0,5,0,10,53,1,1,23,5-13,1-1,425,82,8-14,5.9,343,57,6.0,0-0,1,1,0,20:04,,,,,,
667,253302226,Florida International,52,away,0,3,0,0,4,0,10,205,4,5,26,11-16,0-1,380,114,10-20,5.7,266,52,5.1,0-0,1,0,1,12:08,Florida Atlantic,6,home,0,0,0,0,2,1,0,0,0,1,16,5-14,0-0,254,188,14-28,6.1,82,34,2.4,0-0,5,0,5,00:00,,,,,,
668,253370062,Hawai'i,49,home,3,2,,,,5,7,13,0,1,34,5-7,0-0,588,335,25-39,8.4,262,39,6.7,0-0,4,3,1,18:15,San Diego State,38,away,3,1,0,0,2,,8,15,0,1,31,12-17,1-2,554,426,33-51,8.3,133,37,3.6,0-0,4,3,1,18:25,,,,,,
669,253372229,Middle Tennessee,31,away,0,1,0,0,1,3,7,13,0,2,24,3-13,4-4,423,338,27-38,8.3,107,38,2.8,0-0,0,0,0,20:52,Florida International,35,home,0,3,27,0,4,2,5,,,,23,3-8,0-0,438,324,22-32,9.8,124,24,5.2,0-0,2,0,2,15:09,,,,,,
670,253370349,Navy,42,away,0,6,12,0,2,0,6,,,,24,5-11,1-2,531,48,3-6,6.8,490,58,8.4,0-0,1,1,0,07:02,Army,23,home,1,0,1,0,2,3,5,,,,20,7-16,2-2,337,280,23-35,7.3,82,34,2.4,0-0,0,0,0,11:49,,,,,,
671,253372116,Tulsa,44,away,4,3,6,0,3,2,14,71,0,2,23,6-15,0-0,401,219,13-20,10.3,196,48,4.1,0-0,0,0,0,21:26,UCF,27,home,0,1,82,1,2,1,,,,,17,6-14,1-2,339,221,13-27,7.0,149,35,4.3,0-0,6,4,2,15:13,,,,,,
672,253370041,Louisville,30,away,5,3,0,0,4,1,6,,,,23,5-16,0-3,471,292,16-25,10.8,200,51,3.9,0-0,2,1,1,18:22,Connecticut,20,home,1,0,13,0,3,3,2,0,0,1,21,7-17,1-1,342,277,18-32,8.0,87,38,2.3,0-0,5,5,0,18:17,,,,,,
673,253370058,West Virginia,28,away,0,3,,,,1,4,4,0,3,16,5-11,1-1,394,89,5-10,8.9,305,44,6.9,0-0,2,1,1,17:33,South Florida,13,home,1,1,18,0,1,0,,0,0,1,23,9-19,2-5,370,227,19-38,5.8,149,43,3.5,0-0,3,0,3,20:15,,,,,,
674,253370259,Virginia Tech,22,away,0,2,23,0,4,1,4,,,,24,9-20,0-1,376,373,26-52,6.4,41,31,1.3,0-0,2,1,1,21:12,Florida State,27,home,1,1,98,1,3,1,9,0,0,1,15,3-13,0-0,272,228,21-35,6.4,47,24,2.0,0-0,0,0,0,15:08,,,,,,
675,253370099,Georgia,34,away,0,1,20,0,6,2,10,15,1,2,16,5-12,0-1,250,118,6-12,9.3,138,42,3.3,0-0,0,0,0,17:29,LSU,14,home,0,1,0,0,2,1,2,,,,18,5-12,0-2,230,212,14-30,5.2,74,36,2.1,0-0,2,0,2,19:11,,,,,,
676,253370251,Texas,70,away,3,5,42,1,8,3,10,11,0,1,26,7-16,0-1,486,218,16-19,11.5,268,57,4.7,0-0,1,0,1,22:05,Colorado,3,home,0,0,3,0,2,0,3,21,0,1,12,3-14,1-2,191,109,15-32,3.4,82,26,3.2,0-0,4,3,1,14:33,,,,,,
677,253370030,UCLA,19,away,1,1,,,,1,7,11,0,1,19,2-15,3-4,275,169,14-32,4.6,129,33,3.9,0-0,4,4,0,00:00,USC,66,home,4,5,1,0,1,3,12,,,,35,10-16,4-5,679,253,23-44,5.7,430,51,8.4,0-0,2,1,1,18:00,,,,,,
678,253360278,Louisiana Tech,40,away,2,2,0,0,1,3,10,35,0,3,22,7-17,1-2,398,261,13-22,11.4,147,53,2.8,0-0,1,1,0,22:20,Fresno State,28,home,1,0,7,0,3,3,4,,,,25,3-12,5-7,444,358,33-54,6.6,86,24,3.6,0-0,5,2,3,14:10,,,,,,
679,253352459,Akron,31,away,0,3,0,0,2,1,7,,,,27,5-14,1-1,518,429,30-52,7.9,105,32,3.3,0-0,2,1,1,16:34,Northern Illinois,30,home,1,2,13,0,3,1,12,0,0,1,19,6-15,0-0,360,137,7-17,6.5,250,52,4.8,0-0,0,0,0,19:43,,,,,,
