,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns
412,312880251,Texas,26,home,1,2,0,262,1,7,6,,,,24,8-19,1-3,370,180,22-40,3.5,231,49,4.7,3-30,3,1,2,23:09,Oklahoma State,38,away,1,3,8,0,6,1,127,1,2,8,11,0,2,21,2-12,2-3,420,219,23-41,5.3,202,27,7.5,2-20,1,1,0,12:34,7,0,3
413,312882641,Texas Tech,34,home,0,3,1,72,0,4,10,,,,32,6-14,0-1,580,468,43-63,7.3,119,33,3.6,7-62,4,1,3,16:27,Kansas State,41,away,1,3,2,0,2,1,148,1,3,5,37,1,3,16,7-14,0-1,339,148,12-18,8.1,193,47,4.1,10-78,0,0,0,20:39,2,0,5
414,312882305,Kansas,17,home,2,2,0,181,0,9,5,0,0,1,9,3-17,1-2,252,139,13-25,4.3,144,38,3.8,7-38,0,0,0,17:32,Oklahoma,47,away,0,2,84,0,6,3,80,0,4,17,,,,29,7-16,1-1,610,363,29-48,7.6,247,40,6.2,3-15,3,2,1,18:06,12,0,3
415,312870023,Hawai'i,27,away,3,2,2,113,0,5,3,7,0,3,19,5-11,1-1,445,318,27-46,6.6,142,17,8.4,4-17,6,3,3,15:20,San José State,28,home,3,1,,,,1,56,0,4,8,30,0,3,22,10-17,0-0,469,391,27-41,8.9,103,40,2.6,6-45,6,3,3,21:29,0,0,1
416,312880276,Marshall,24,home,2,3,0,80,0,4,6,,,,19,6-14,0-1,328,118,14-27,4.1,217,43,5.0,3-20,1,0,1,17:13,Rice,20,away,0,1,0,0,3,1,69,0,4,8,0,0,1,20,2-12,0-1,361,195,12-21,8.0,194,41,4.7,5-35,2,2,0,19:27,15,0,5
417,312882483,Arizona State,27,away,1,1,2,138,0,8,9,21,0,1,22,5-16,1-1,460,309,29-46,6.3,169,35,4.8,8-95,2,0,2,20:25,Oregon,41,home,0,3,26,0,5,2,106,0,5,11,70,0,2,26,3-11,0-1,536,209,15-22,9.5,327,49,6.7,7-75,2,1,1,16:15,5,0,3
418,312880265,Washington State,14,home,1,2,0,142,0,5,2,0,0,1,17,5-15,1-2,257,240,24-39,5.4,48,28,1.7,4-42,1,1,0,18:12,Stanford,44,away,1,1,-1,0,4,4,147,1,3,8,,,,21,9-14,1-1,475,336,23-36,9.3,139,30,4.6,3-14,2,1,1,17:35,,,
419,312880264,Colorado,24,away,1,2,1,133,0,8,6,,,,17,8-17,0-0,269,254,22-38,5.4,62,27,2.3,3-30,0,0,0,15:06,Washington,52,home,0,3,9,0,6,4,89,0,4,10,,,,31,8-10,0-0,562,274,23-30,8.9,295,40,7.4,6-65,1,1,0,18:09,3,0,2
420,312860025,USC,30,away,2,1,2,62,0,3,12,19,0,3,18,6-15,0-1,313,195,19-35,5.6,118,37,3.2,5-30,2,2,0,19:07,California,9,home,2,1,42,0,5,0,112,0,6,3,,,,18,6-15,0-3,329,324,25-43,6.8,35,26,1.3,7-68,5,2,3,16:40,8,0,2
421,312880204,BYU,38,away,2,2,3,40,0,2,8,43,0,2,25,11-14,0-0,499,228,17-29,7.5,282,48,5.9,10-79,2,1,1,20:05,Oregon State,28,home,1,2,,,,1,171,0,7,4,51,1,1,21,5-12,2-2,365,309,27-43,7.1,59,23,2.6,8-55,4,2,2,15:44,,,
