,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted
297,400603880,Eastern Kentucky,27,away,1,2,14,0,3,2,127,0,5,3,22,0,2,20,8-18,1-3,363,183,19-32,5.7,180,51,3.5,8-77,1,1,0,31:15,Kentucky,34,home,1,2,3,22,0,1,4,24,7-16,2-2,384,329,29-42,7.8,55,36,1.5,6-46,3,1,2,28:45,19,0,1,,,
298,400603882,Middle Tennessee,13,home,1,0,5,0,2,1,25,0,1,7,25,0,2,18,8-19,0-2,320,286,32-51,5.6,34,23,1.5,5-30,2,2,0,28:45,Vanderbilt,17,away,2,2,0,50,0,3,5,18,7-17,1-1,414,177,18-31,5.7,237,41,5.8,6-40,3,1,2,31:15,12,0,1,,,
299,400603885,Texas A&M,30,home,2,1,41,0,3,2,18,0,1,12,,,,23,10-20,1-2,516,322,25-41,7.9,194,45,4.3,5-53,0,0,0,33:48,Mississippi State,17,away,0,2,0,39,0,3,5,20,5-14,0-2,406,210,20-34,6.2,196,34,5.8,3-30,2,2,0,26:12,7,0,1,,,
300,400603877,San José State,21,away,0,2,,,,1,59,0,2,3,,,,22,6-12,1-3,406,224,21-33,6.8,182,38,4.8,2-15,4,2,2,33:57,Auburn,35,home,2,5,0,142,0,3,5,15,6-11,1-1,342,108,6-10,10.8,234,48,4.9,1-15,0,0,0,26:03,,,,11,0,2
301,400603881,Eastern Michigan,22,away,1,2,,,,1,149,0,7,2,13,0,1,16,5-11,0-0,255,161,17-24,6.7,94,33,2.8,7-70,3,0,3,31:31,LSU,44,home,0,4,0,48,0,2,14,28,1-6,0-0,471,80,4-14,5.7,391,50,7.8,7-51,1,1,0,28:29,2,0,1,26,1,3
302,400787319,Kent State,20,home,0,1,10,0,4,1,23,0,1,8,47,0,4,13,2-14,1-2,320,136,12-21,6.5,184,41,4.5,7-57,1,1,0,27:14,Miami (OH),14,away,1,1,1,104,0,5,2,23,5-20,3-4,386,295,21-51,5.8,91,36,2.5,10-67,4,0,4,32:46,,,,,,
303,400787316,Akron,12,home,0,0,,,,0,36,0,2,12,0,0,1,21,5-17,2-3,319,231,18-38,6.1,88,35,2.5,10-79,1,0,1,32:04,Ohio,14,away,0,1,1,77,0,4,2,17,7-15,0-0,227,179,18-29,6.2,48,32,1.5,8-71,1,0,1,27:56,2,0,1,16,0,1
304,400787317,Ball State,10,home,0,0,0,0,1,1,86,0,5,4,0,0,2,19,6-17,1-2,262,236,23-37,6.4,26,30,0.9,3-35,1,1,0,27:31,Toledo,24,away,1,1,2,,,,6,21,6-13,0-1,444,164,16-22,7.5,280,48,5.8,14-135,2,0,2,32:29,37,0,3,,,
305,400787315,Northern Illinois,19,away,0,2,39,0,3,0,99,0,3,7,18,0,1,17,6-20,4-7,316,105,12-30,3.5,211,59,3.6,8-69,4,3,1,30:59,Central Michigan,29,home,3,1,2,53,0,3,11,14,6-17,0-1,265,182,16-32,5.7,83,34,2.4,1-5,1,0,1,29:01,,,,,,
306,400787318,Bowling Green,28,away,0,3,,,,1,88,0,6,4,0,0,1,25,7-12,1-3,536,324,23-29,11.2,212,42,5.0,7-70,0,0,0,26:15,Buffalo,22,home,0,1,1,52,0,4,10,34,10-19,2-3,500,348,35-59,5.9,152,37,4.1,8-85,1,0,1,33:45,-2,0,1,,,
