,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickingPoints,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted
520,243110166,New Mexico State,44,home,1,2,71,0,3,3,,31,7-16,3-3,606,403,26-37,10.8,208,53,3.9,0-0,2,2,0,22:40,Middle Tennessee,10,away,2,0,15,0,2,1,4,,,,11,4-14,0-1,151,149,15-33,4.0,18,24,0.8,0-0,4,1,3,13:15,0,0,3
521,243100309,Louisiana,17,home,0,1,9,0,3,1,5,17,3-12,0-1,247,188,24-36,4.7,78,28,2.8,0-0,3,2,1,16:22,North Texas,27,away,2,3,10,0,4,0,9,7,0,1,16,2-13,1-1,314,111,9-15,6.9,210,47,4.5,0-0,1,0,1,20:19,23,0,1
522,243110070,Arkansas State,31,away,3,1,8,0,2,2,7,26,6-14,0-3,416,270,19-43,6.1,152,36,4.2,0-0,5,1,4,16:13,Idaho,45,home,1,4,12,0,3,1,7,74,1,4,22,4-12,0-0,457,160,16-21,7.6,297,58,5.1,0-0,3,3,0,19:27,,,
523,243112116,Ohio,17,away,2,1,31,0,7,1,5,13,4-17,0-0,259,195,16-32,5.2,94,39,2.4,0-0,2,0,2,19:35,UCF,16,home,0,0,27,0,8,2,,0,0,2,11,3-15,0-0,204,162,8-20,6.3,78,41,1.9,0-0,3,2,1,17:39,20,0,1
524,243110189,Western Michigan,0,away,1,0,1,0,1,0,,19,8-18,0-2,295,222,20-48,4.4,82,32,2.6,0-0,4,1,3,18:36,Bowling Green,52,home,1,3,111,0,5,4,10,21,0,3,30,2-7,0-0,666,326,18-22,14.4,350,43,8.1,0-0,1,1,0,17:38,,,
525,243112433,Louisiana Monroe,32,home,0,2,0,0,1,2,6,25,6-14,1-1,412,284,22-32,8.9,128,36,3.6,0-0,2,0,2,17:54,Utah State,25,away,0,1,-1,0,1,1,5,57,0,2,24,7-15,0-2,393,294,22-36,7.7,115,35,3.3,0-0,1,0,1,18:32,7,0,1
526,243110062,Hawai'i,34,home,1,0,33,0,4,4,2,20,7-13,0-0,371,285,26-42,6.8,86,20,4.3,0-0,2,1,1,16:21,Louisiana Tech,23,away,1,2,18,0,4,1,5,,,,23,5-16,2-3,422,164,12-26,5.7,275,48,5.7,0-0,1,1,0,20:20,,,
527,243112633,Tennessee,13,home,0,0,24,0,5,1,7,17,5-17,0-3,327,313,21-36,7.5,58,39,1.5,0-0,1,0,1,19:30,Notre Dame,17,away,0,0,18,0,3,1,5,26,1,1,13,3-14,0-0,216,139,12-23,5.1,98,36,2.7,0-0,0,0,0,16:45,,,
528,243110096,Kentucky,17,home,3,1,3,0,1,1,5,17,3-14,0-2,344,290,25-44,6.6,54,23,2.3,0-0,3,1,2,16:06,Georgia,62,away,1,5,103,0,5,3,14,19,0,2,24,7-14,2-2,589,352,19-30,11.5,245,45,5.4,0-0,3,3,0,19:15,,,
529,243110238,Vanderbilt,17,home,4,1,,,,0,5,24,9-17,0-2,372,127,12-26,4.5,254,52,4.9,0-0,0,0,0,20:41,Florida,34,away,0,2,3,0,2,2,10,,,,27,6-10,1-1,500,315,22-29,10.6,193,38,5.1,0-0,5,4,1,15:58,0,0,1
530,243112579,Arkansas,32,away,0,1,13,0,2,,6,23,6-11,1-1,385,138,12-24,5.8,247,45,5.5,0-0,3,1,2,19:01,South Carolina,35,home,1,3,12,0,2,1,5,35,0,2,20,4-11,1-2,370,159,16-24,6.6,211,41,5.1,0-0,1,0,1,17:24,52,1,1
531,243110333,Mississippi State,14,away,1,1,7,0,2,1,2,12,6-16,0-2,240,145,7-20,5.7,126,41,3.1,0-0,1,1,0,17:32,Alabama,30,home,1,2,44,0,4,1,12,,,,19,3-12,0-0,379,119,9-15,7.9,260,47,5.5,0-0,3,1,2,18:55,14,0,2
532,243112440,San José State,24,away,1,2,16,0,3,0,6,14,4-11,0-1,305,314,16-27,10.1,32,28,1.1,0-0,3,3,0,15:43,Nevada,42,home,3,4,1,0,2,2,6,,,,27,6-13,1-2,454,258,25-35,7.2,202,42,4.8,0-0,1,1,0,20:29,,,
533,243070193,Toledo,16,away,2,1,,,,1,4,18,3-14,5-8,380,241,23-36,5.6,177,36,4.9,0-0,4,3,1,16:57,Miami (OH),23,home,3,2,,,,0,11,0,0,1,24,6-15,1-2,371,328,24-41,7.2,76,40,1.9,0-0,2,2,0,19:12,,,
