,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickingPoints,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted
564,243182751,Wyoming,28,home,1,2,,,,2,4,20,5-14,3-4,410,281,17-28,9.9,132,39,3.4,0-0,3,1,2,18:11,Utah,45,away,1,3,27,0,3,3,9,6,0,2,27,7-12,1-1,488,248,17-27,9.0,244,42,5.8,0-0,1,1,0,18:35,,,
565,243180252,New Mexico,21,away,2,2,0,0,2,1,3,13,6-15,0-0,257,157,7-12,11.9,114,46,2.5,0-0,1,0,1,18:30,BYU,14,home,0,0,23,0,3,2,2,24,0,1,20,6-17,2-2,317,305,23-38,6.8,58,34,1.7,0-0,3,2,1,18:25,4,0,1
566,243180036,UNLV,10,away,0,1,52,0,6,0,4,15,7-17,0-1,287,113,11-28,3.9,179,41,4.4,0-0,3,2,1,17:36,Colorado State,45,home,2,2,38,0,5,3,9,0,0,1,18,5-14,1-1,384,263,14-19,13.4,129,40,3.2,0-0,0,0,0,18:26,,,
567,243182005,Air Force,31,home,1,4,9,0,1,0,7,29,6-14,1-2,486,133,10-20,6.7,353,65,5.4,0-0,6,4,2,18:10,San Diego State,37,away,4,2,29,0,4,,13,14,0,2,24,6-15,0-1,456,232,17-33,7.0,224,43,5.2,0-0,2,1,1,17:56,17,0,1
568,243182393,Louisiana Monroe,24,away,1,1,37,0,3,2,6,26,4-16,1-1,428,308,25-47,6.2,137,36,3.8,0-0,2,0,2,18:27,Middle Tennessee,37,home,0,1,40,0,4,2,13,11,0,2,22,5-15,0-0,454,241,26-37,6.5,213,38,5.6,0-0,1,1,0,17:45,,,
569,243180249,Idaho,29,away,0,2,-4,0,1,2,1,28,6-14,1-1,426,350,24-42,7.8,98,36,2.7,0-0,3,0,3,19:31,North Texas,51,home,0,4,4,0,2,2,9,72,0,3,25,7-12,0-0,502,190,13-18,9.3,334,44,7.6,0-0,0,0,0,17:10,,,
570,243182226,Florida Atlantic,7,home,0,0,10,0,1,1,1,16,5-15,1-2,293,143,10-23,5.7,161,45,3.6,0-0,4,3,1,17:06,New Mexico State,35,away,3,3,24,0,4,2,,32,0,1,19,5-17,2-4,429,250,18-31,7.7,190,44,4.3,0-0,0,0,0,19:15,,,
571,243182050,Ball State,21,home,2,1,13,0,2,2,3,10,3-13,1-1,254,120,12-20,5.8,137,31,4.4,0-0,1,0,1,14:28,UCF,17,away,0,1,1,0,5,1,,,,,18,4-16,2-4,327,158,13-21,6.2,196,53,3.7,0-0,2,2,0,21:46,,,
572,243162032,Arkansas State,16,home,1,0,64,1,3,0,10,16,2-16,2-3,313,115,11-23,4.5,210,49,4.3,0-0,2,1,1,20:56,Utah State,7,away,1,0,11,0,2,1,1,5,0,1,14,3-13,0-2,266,228,17-40,5.4,51,23,2.2,0-0,4,1,3,15:04,89,0,3
573,243182348,Tulsa,21,away,2,2,38,0,3,1,3,21,5-13,1-3,354,175,13-27,5.8,198,47,4.2,0-0,6,4,2,18:16,Louisiana Tech,38,home,4,3,45,1,3,1,8,,,,21,4-13,0-0,433,184,11-26,6.3,269,43,6.3,0-0,2,2,0,18:34,,,
574,243180023,San José State,49,home,2,5,32,0,3,2,7,26,10-21,1-4,467,313,16-33,8.7,179,58,3.1,0-0,2,1,1,18:49,Boise State,56,away,1,8,21,0,3,0,8,30,0,1,27,3-10,0-1,480,227,15-24,8.3,280,56,5.0,0-0,3,2,1,17:51,0,0,1
575,243180002,Auburn,24,home,1,1,77,0,5,2,6,21,3-9,0-1,404,218,19-23,9.5,186,37,5.0,0-0,1,0,1,20:35,Georgia,6,away,0,0,36,0,3,1,0,0,0,1,15,5-13,1-1,279,214,17-27,7.2,85,29,2.9,0-0,2,1,1,15:38,0,0,1
576,243180057,South Carolina,14,away,0,1,9,0,1,1,2,17,6-16,0-0,279,150,14-29,4.6,147,42,3.5,0-0,4,0,4,21:10,Florida,48,home,0,0,16,0,4,6,12,46,0,4,16,7-15,0-0,411,319,18-31,10.3,92,28,3.3,0-0,2,0,2,15:31,0,0,2
577,243180099,LSU,26,home,2,1,38,0,5,1,8,14,4-13,0-0,283,121,6-14,6.5,192,44,4.4,0-0,1,1,0,17:08,Alabama,10,away,1,1,4,0,4,0,4,,,,8,2-16,1-1,196,143,7-15,7.6,82,43,1.9,0-0,3,2,1,19:11,44,0,1
578,243180008,Arkansas,35,home,1,2,14,0,4,0,5,22,9-16,1-1,452,155,13-20,7.8,297,51,5.8,0-0,0,0,0,21:11,Ole Miss,3,away,0,0,5,0,3,0,3,,,,17,2-12,0-3,343,174,15-34,4.9,175,28,6.3,0-0,1,1,0,15:30,,,
579,243182567,SMU,38,home,3,2,22,0,3,1,8,22,3-13,2-3,400,252,14-23,10.0,170,52,3.3,0-0,4,2,2,20:16,Nevada,20,away,2,0,64,0,3,2,8,22,0,2,21,5-15,0-2,440,356,30-48,7.4,86,26,3.3,0-0,4,3,1,16:34,0,0,1
580,243182711,Western Michigan,21,home,0,0,2,0,4,3,3,14,6-18,0-0,311,264,21-37,6.9,57,27,2.1,0-0,0,0,0,17:03,Miami (OH),42,away,0,4,-4,0,7,2,6,,,,30,3-10,0-1,552,349,23-33,10.6,203,37,5.5,0-0,1,0,1,19:37,1,0,1
581,243180195,Akron,31,away,5,2,0,0,1,1,7,17,5-15,1-1,292,221,15-22,8.6,102,44,2.3,0-0,0,0,0,19:30,Ohio,19,home,0,2,109,1,4,0,1,,,,18,6-13,0-2,295,215,14-27,5.8,138,38,3.6,0-0,7,5,2,17:09,73,1,2
582,243182309,Eastern Michigan,17,away,0,1,24,1,4,0,5,12,2-14,0-3,256,139,17-34,3.8,127,29,4.4,0-0,2,1,1,14:47,Kent State,69,home,1,4,14,0,2,4,15,36,0,1,35,4-11,0-0,575,333,29-35,9.3,250,41,6.1,0-0,0,0,0,20:33,,,
583,243142459,Northern Illinois,17,home,0,1,31,0,1,1,5,10,2-10,1-2,180,113,10-22,4.3,85,23,3.7,0-0,1,0,1,11:37,Toledo,31,away,0,4,12,0,2,0,7,0,0,1,30,12-19,2-3,512,297,28-37,8.0,215,54,4.0,0-0,1,0,1,25:11,4,0,1
584,243182084,Buffalo,36,home,2,4,3,0,3,0,4,18,5-16,0-0,387,163,7-22,7.5,223,48,4.6,0-0,3,2,1,16:22,Central Michigan,6,away,2,0,28,0,4,1,0,36,0,1,18,2-18,2-6,301,284,24-45,5.4,56,39,1.4,0-0,3,2,1,19:25,5,0,1
585,243170278,Fresno State,70,home,2,9,49,0,6,1,10,29,6-10,1-1,679,176,8-11,16.0,503,64,7.9,0-0,3,2,1,19:15,Hawai'i,14,away,2,1,,,,1,2,,,,18,3-13,0-2,273,172,26-45,3.7,106,22,4.8,0-0,4,2,2,16:28,18,0,1
586,243180309,Troy,13,away,0,1,2,0,3,0,7,17,6-16,1-2,296,117,9-14,7.1,196,51,3.8,0-0,1,1,0,20:26,Louisiana,10,home,1,1,13,0,4,0,4,,,,17,5-15,0-3,282,163,17-35,4.2,135,33,4.1,0-0,3,0,3,16:13,29,0,3
587,243182638,Rice,28,away,2,2,58,0,4,1,6,27,7-19,1-2,409,132,6-14,6.9,312,79,3.9,0-0,3,2,1,22:31,UTEP,35,home,2,1,52,1,3,3,5,26,0,1,16,3-11,1-2,274,196,19-28,6.8,83,28,3.0,0-0,3,2,1,13:32,17,0,1
588,243252426,Rutgers,21,away,2,0,14,0,1,2,3,20,7-15,0-3,423,405,33-52,7.5,33,21,1.6,0-0,4,2,2,17:29,Navy,54,home,2,6,0,0,2,1,6,34,1,2,25,6-10,1-1,613,137,4-7,19.6,476,67,7.1,0-0,2,2,0,19:11,,,
589,243230259,Virginia Tech,55,home,1,4,41,0,4,2,13,22,5-12,0-1,376,144,8-14,9.8,239,50,4.8,0-0,0,0,0,18:08,Maryland,6,away,0,0,0,0,3,0,6,,,,14,5-14,0-0,197,145,16-31,4.5,56,30,1.9,0-0,5,1,4,18:32,59,1,4
590,243250150,North Carolina,40,away,2,3,0,0,5,1,10,20,9-16,0-0,486,201,17-24,8.4,285,48,5.9,0-0,1,1,0,22:10,Duke,17,home,1,1,1,0,2,0,5,,,,11,1-14,2-3,234,224,19-35,5.2,53,25,2.1,0-0,3,2,1,14:06,64,1,1
591,243252390,Miami,52,home,1,2,26,1,4,4,10,24,6-11,0-0,579,442,19-27,15.7,155,39,4.0,0-0,0,0,0,19:14,Wake Forest,7,away,0,1,,,,0,1,,,,14,3-13,0-0,193,45,5-12,3.0,157,43,3.7,0-0,1,1,0,17:26,,,
592,243250228,South Carolina,7,away,0,0,-5,0,1,1,1,8,4-16,1-3,197,142,9-27,4.9,66,28,2.4,0-0,2,1,1,14:18,Clemson,29,home,1,3,21,0,2,0,11,7,0,1,19,8-17,0-1,313,169,15-28,5.4,162,48,3.4,0-0,1,0,1,22:23,3,0,1
593,243250213,Penn State,37,home,0,3,21,0,3,1,13,18,6-15,0-1,297,113,11-19,5.5,192,50,3.8,0-0,1,0,1,20:24,Michigan State,13,away,0,0,1,0,2,1,7,20,0,1,17,7-16,0-2,338,177,20-40,4.4,161,33,4.9,0-0,5,0,5,15:33,49,0,5
594,243250077,Northwestern,28,home,1,2,115,1,6,1,4,15,4-14,1-1,340,191,18-31,5.9,156,34,4.6,0-0,1,0,1,13:42,Illinois,21,away,0,3,,,,0,3,31,0,1,20,8-19,1-2,278,173,20-33,4.5,129,49,2.6,0-0,1,1,0,22:52,,,
595,243252294,Iowa,30,home,3,0,0,0,2,3,12,14,4-15,2-2,262,216,15-24,7.8,76,39,1.9,0-0,3,0,3,20:16,Wisconsin,7,away,0,1,41,0,3,0,1,13,0,3,15,7-18,2-5,186,159,18-39,3.7,41,30,1.4,0-0,5,3,2,16:02,6,0,1
596,243250194,Ohio State,37,home,0,1,0,0,1,2,13,18,8-17,0-1,446,241,13-23,10.5,205,47,4.4,0-0,0,0,0,20:45,Michigan,21,away,0,1,5,0,4,2,3,,,,20,5-15,0-3,399,339,27-54,6.1,71,22,3.2,0-0,2,0,2,15:21,20,0,2
597,243252509,Indiana,24,away,2,1,1,0,2,1,6,19,3-14,0-2,358,286,21-34,7.0,119,39,3.1,0-0,1,1,0,20:33,Purdue,63,home,1,2,-3,0,5,7,9,,,,37,10-15,0-1,763,630,35-56,10.5,173,34,5.1,0-0,2,2,0,15:37,,,
598,243250059,Georgia Tech,10,home,0,1,26,0,5,0,4,22,3-12,1-1,312,262,19-33,6.8,86,34,2.5,0-0,4,2,2,16:20,Virginia,30,away,2,3,24,0,5,0,,0,0,2,19,6-16,0-0,378,171,19-28,6.1,207,41,5.0,0-0,0,0,0,20:21,,,
599,243250265,Washington State,28,home,2,1,5,0,3,2,4,17,5-14,0-0,393,258,15-24,10.0,153,44,3.5,0-0,3,3,0,18:27,Washington,25,away,3,1,45,0,6,2,5,,,,15,5-17,1-1,248,224,16-34,5.2,71,37,1.9,0-0,5,2,3,18:12,12,0,3
600,243250025,California,41,home,2,3,61,0,6,2,11,23,4-12,0-0,474,189,14-17,9.8,307,51,6.0,0-0,1,1,0,21:46,Stanford,6,away,1,0,4,0,1,0,6,,,,10,5-17,0-0,180,213,9-28,5.6,24,30,0.8,0-0,3,2,1,14:49,5,0,1
601,243250204,Oregon,21,away,0,0,,,,3,3,23,4-13,0-0,235,170,13-32,3.9,109,40,2.7,0-0,3,0,3,16:13,Oregon State,50,home,0,1,32,0,5,4,20,10,0,3,30,7-16,1-1,455,394,25-42,8.8,87,37,2.4,0-0,1,0,1,19:32,,,
602,243250218,Temple,17,home,0,0,-5,0,4,2,5,24,9-16,0-0,408,295,26-39,7.4,120,37,3.2,0-0,2,1,1,20:03,Boston College,34,away,1,2,-7,0,4,2,10,20,0,1,22,2-9,0-0,419,248,20-30,7.9,183,32,5.7,0-0,0,0,0,16:38,,,
603,243250052,Florida,20,away,0,1,12,0,3,1,8,22,4-17,1-1,377,254,20-40,5.9,140,40,3.5,0-0,2,1,1,18:31,Florida State,13,home,1,0,65,0,7,1,7,0,0,1,19,1-15,0-1,348,343,23-49,6.4,34,24,1.4,0-0,2,0,2,17:20,6,0,2
604,243252306,Iowa State,37,away,2,2,3,0,2,1,13,19,6-17,0-0,395,246,16-30,7.8,161,43,3.7,0-0,0,0,0,17:51,Kansas State,23,home,0,3,20,0,4,0,5,,,,14,4-14,0-2,315,73,6-18,3.2,257,46,5.6,0-0,4,2,2,18:49,66,1,2
605,243250142,Kansas,31,away,0,2,85,0,7,2,7,21,9-18,0-0,374,239,24-36,6.6,135,42,3.2,0-0,2,1,1,22:18,Missouri,14,home,1,0,44,0,3,2,0,3,0,1,14,1-16,2-3,256,315,15-40,6.6,-6,27,-0.2,0-0,1,0,1,14:21,23,0,1
606,243250239,Baylor,0,home,0,0,14,0,3,0,0,11,4-12,0-0,156,182,14-22,5.9,26,31,0.8,0-0,1,1,0,16:30,Oklahoma,35,away,1,3,-2,0,1,2,5,,,,29,8-15,2-2,501,199,21-34,5.9,302,47,6.4,0-0,0,0,0,20:10,,,
607,243252628,TCU,42,home,1,4,16,0,3,1,6,25,3-16,1-2,484,262,19-34,7.4,234,48,4.9,0-0,1,0,1,20:02,Southern Mississippi,17,away,0,2,6,0,4,0,5,0,0,1,17,2-17,2-6,320,282,20-48,5.3,66,34,1.9,0-0,3,1,2,16:13,99,1,2
608,243250248,Louisville,65,away,0,5,21,0,2,4,9,26,6-10,1-2,666,432,22-27,15.7,242,42,5.8,0-0,1,0,1,17:24,Houston,27,home,0,1,20,0,1,2,9,0,0,1,27,5-13,1-4,446,401,29-44,8.5,71,35,2.0,0-0,1,0,1,19:13,0,0,1
609,243252132,South Florida,23,away,1,1,,,,1,5,17,2-12,0-0,323,165,14-32,4.5,180,28,6.4,0-0,0,0,0,14:38,Cincinnati,45,home,0,3,30,0,3,3,9,,,,30,7-12,0-1,577,379,30-37,10.2,200,39,5.1,0-0,1,1,0,21:32,,,
610,243250151,East Carolina,35,home,0,1,148,1,6,2,9,23,6-15,0-2,428,362,27-49,6.9,92,28,3.3,0-0,4,0,4,18:26,Memphis,38,away,0,4,12,0,1,1,,78,0,4,22,6-15,1-2,442,200,21-37,5.4,242,45,5.4,0-0,1,0,1,18:14,0,0,1
611,243250276,Western Michigan,21,away,1,1,27,0,4,2,3,20,3-14,0-1,418,361,27-41,8.3,79,30,2.6,0-0,2,0,2,18:25,Marshall,31,home,0,2,16,0,5,1,7,44,1,2,16,7-14,0-0,429,194,18-28,6.0,260,31,8.4,0-0,4,1,3,18:36,38,0,3
612,243250349,UAB,20,away,1,0,6,0,3,2,8,20,4-13,0-1,357,220,20-32,6.2,158,36,4.4,0-0,2,2,0,17:28,Army,14,home,2,1,10,0,3,1,2,,,,22,5-17,2-4,421,337,26-46,6.9,102,39,2.6,0-0,1,1,0,19:13,,,
613,243250254,BYU,21,away,0,1,0,0,1,2,3,19,3-11,0-1,294,230,17-33,6.5,81,27,3.0,0-0,2,1,1,14:19,Utah,52,home,1,5,48,0,3,1,10,0,0,1,26,7-14,2-4,538,193,17-26,7.1,354,48,7.4,0-0,2,0,2,22:21,75,0,2
614,243252005,Air Force,47,home,0,5,8,0,1,2,5,34,9-14,3-3,576,203,11-19,10.7,373,70,5.3,0-0,0,0,0,19:54,Colorado State,17,away,0,1,,,,1,5,,,,18,6-12,0-2,337,236,17-27,8.5,108,28,3.9,0-0,1,0,1,14:23,9,0,1
615,243250167,New Mexico,16,home,0,2,14,0,2,0,2,17,2-11,0-1,344,58,5-15,2.7,304,45,6.8,0-0,2,1,1,16:29,Wyoming,9,away,1,0,79,0,5,0,9,0,0,1,18,8-20,0-0,267,302,20-35,6.7,33,40,0.8,0-0,1,0,1,20:06,0,0,1
616,243250021,UNLV,3,away,1,0,8,0,2,0,3,23,5-19,4-7,297,243,21-45,4.8,81,41,2.0,0-0,5,3,2,20:12,San Diego State,21,home,3,0,0,0,4,0,3,26,1,2,14,4-14,1-2,284,195,16-26,6.7,109,31,3.5,0-0,1,1,0,19:16,,,
617,243252653,Troy,37,home,1,1,63,0,4,2,7,14,4-13,0-0,366,159,8-17,8.5,222,43,5.2,0-0,3,3,0,18:29,Middle Tennessee,17,away,3,1,6,0,1,1,5,,,,15,2-15,0-2,332,200,27-46,4.2,139,25,5.6,0-0,4,1,3,18:01,56,2,3
618,243232032,Arkansas State,7,home,0,1,1,0,2,0,1,11,5-11,0-0,240,101,9-24,4.2,139,31,4.5,0-0,3,2,1,15:14,North Texas,31,away,2,1,5,0,4,3,7,4,0,1,19,6-16,1-1,402,204,17-25,8.0,202,44,4.6,0-0,0,0,0,21:21,,,
619,243250328,Utah State,34,home,4,2,28,0,2,1,10,24,5-14,1-2,405,201,23-27,7.4,204,49,4.2,0-0,4,3,1,20:53,New Mexico State,25,away,3,2,6,0,2,1,,0,0,1,23,4-13,0-1,446,363,22-41,8.1,114,30,3.8,0-0,5,4,1,15:47,,,
620,243250062,Hawai'i,52,home,3,1,31,0,4,6,10,27,3-9,0-0,500,428,27-38,10.9,87,25,3.5,0-0,3,0,3,18:47,Idaho,21,away,0,0,20,0,2,3,3,41,0,3,20,3-13,1-2,334,301,19-29,8.3,92,36,2.6,0-0,3,3,0,17:54,,,
621,243250041,Buffalo,0,away,0,0,24,0,3,0,0,5,2-14,0-1,96,38,4-21,1.7,61,28,2.2,0-0,1,0,1,13:14,Connecticut,29,home,0,2,13,0,3,1,9,1,0,1,21,4-16,2-3,477,289,29-39,7.3,192,39,4.9,0-0,0,0,0,23:27,,,
622,243250068,Boise State,55,home,1,6,14,0,2,1,13,35,4-11,3-3,629,375,22-34,10.3,278,55,5.1,0-0,2,2,0,20:05,Louisiana Tech,14,away,2,1,43,0,2,1,2,,,,16,5-15,0-2,294,150,16-34,4.1,156,33,4.7,0-0,3,1,2,16:01,0,0,2
623,243250238,Vanderbilt,33,home,0,2,10,0,2,3,1,23,5-11,1-1,420,320,22-33,9.5,106,33,3.2,0-0,5,3,2,17:51,Tennessee,38,away,3,3,,,,2,8,10,0,2,20,10-16,0-0,425,189,19-30,6.3,236,38,6.2,0-0,2,0,2,18:48,11,0,2
624,243250333,Auburn,21,away,0,2,-3,0,3,1,3,18,6-13,1-2,298,229,18-24,9.3,74,41,1.8,0-0,2,1,1,20:06,Alabama,13,home,1,0,65,0,3,1,7,19,0,1,15,3-14,1-3,276,226,17-30,7.5,50,31,1.6,0-0,1,0,1,16:33,2,0,1
625,243250099,LSU,27,home,0,3,32,0,5,0,9,20,8-19,0-0,441,108,8-24,3.4,360,52,6.9,0-0,1,0,1,20:40,Ole Miss,24,away,0,1,16,0,3,0,10,48,1,1,13,4-15,1-1,254,127,10-26,3.8,156,33,4.7,0-0,2,0,2,14:12,8,0,2
626,243250344,Arkansas,24,away,0,1,32,0,4,,6,20,9-19,3-6,382,219,18-27,8.0,167,50,3.3,0-0,1,0,1,21:01,Mississippi State,21,home,0,1,8,0,1,2,3,,,,18,4-11,0-0,364,214,20-27,7.9,150,31,4.8,0-0,0,0,0,15:03,,,
627,243250278,Fresno State,54,home,1,5,20,0,5,2,12,24,5-10,1-1,450,178,11-18,9.5,279,46,6.1,0-0,1,0,1,17:38,Nevada,17,away,0,2,,,,0,5,0,0,1,21,4-13,1-2,352,198,18-32,5.8,166,37,4.5,0-0,2,1,1,18:15,0,0,1
628,243252006,Akron,27,home,1,0,21,0,3,3,9,21,6-15,0-3,446,492,26-43,10.1,10,28,0.4,0-0,0,0,0,18:08,Miami (OH),37,away,0,2,6,0,1,2,13,,,,22,5-13,2-2,437,208,18-28,7.4,229,36,6.4,0-0,1,1,0,17:25,,,
629,243252117,Central Michigan,41,home,0,1,0,0,1,2,5,18,6-14,1-2,431,243,15-23,9.0,223,43,5.2,0-0,3,2,1,16:59,Ball State,40,away,2,1,7,0,2,4,8,,,,23,5-15,1-4,512,433,22-34,11.7,115,44,2.6,0-0,0,0,0,19:40,,,
630,243252199,Northern Illinois,34,away,1,2,,,,2,10,29,6-15,3-5,566,176,16-27,5.9,408,62,6.6,0-0,0,0,0,20:38,Eastern Michigan,16,home,0,0,,,,1,10,,,,28,8-14,1-1,423,267,23-51,5.2,156,28,5.6,0-0,6,1,5,15:25,61,0,5
631,243250202,Tulsa,34,home,0,2,20,0,3,2,10,21,4-11,0-0,442,161,13-18,8.2,295,49,6.0,0-0,2,2,0,20:33,San José State,24,away,2,1,6,0,2,1,6,,,,19,7-16,1-2,356,140,9-25,4.4,245,43,5.7,0-0,1,0,1,15:42,0,0,1
632,243252433,Louisiana Monroe,13,home,1,0,0,0,2,0,7,16,11-20,0-0,294,172,17-38,4.5,122,32,3.8,0-0,1,0,1,15:15,Louisiana,10,away,0,0,10,0,3,1,4,0,0,1,22,7-16,1-1,381,212,18-31,6.3,186,44,4.2,0-0,3,1,2,18:57,0,0,2
633,243252638,SMU,27,away,0,2,,,,2,3,18,6-13,0-2,356,251,21-33,7.1,122,32,3.8,0-0,1,0,1,16:34,UTEP,57,home,0,1,21,0,3,5,13,43,1,1,26,4-10,0-0,528,363,23-32,11.3,165,40,4.1,0-0,1,0,1,19:32,0,0,1
634,243340242,Louisiana Tech,51,away,2,2,46,0,1,3,9,20,6-14,1-1,416,187,7-11,15.8,242,50,4.8,0-0,0,0,0,18:02,Rice,14,home,0,2,19,0,2,0,0,,,,20,4-15,2-6,329,85,5-12,6.0,257,59,4.4,0-0,3,2,1,18:39,92,1,1
635,243320062,Northwestern,41,away,0,3,4,0,2,1,9,24,5-17,2-3,535,319,19-41,7.8,216,46,4.7,0-0,1,0,1,18:32,Hawai'i,49,home,0,2,104,1,4,4,7,0,0,1,27,11-17,0-0,498,407,31-58,7.0,93,23,4.0,0-0,2,0,2,16:10,6,0,2
636,243320023,Fresno State,62,away,2,6,29,0,2,3,8,27,9-10,0-0,541,230,12-19,12.0,313,52,6.0,0-0,3,2,1,18:35,San José State,28,home,2,3,4,0,1,1,4,5,0,1,19,6-16,2-3,339,160,12-25,6.0,190,42,4.5,0-0,2,2,0,18:04,,,
637,243322628,Tulane,35,away,1,0,13,0,3,5,5,21,7-17,1-1,376,305,22-37,7.6,94,37,2.5,0-0,1,0,1,19:07,TCU,31,home,0,3,12,0,2,1,7,9,0,1,26,6-14,1-2,477,280,20-37,7.6,197,44,4.5,0-0,2,1,1,17:21,0,0,1
638,243322572,UAB,21,away,1,1,11,0,5,2,3,16,1-11,1-2,331,210,11-30,6.9,125,31,4.0,0-0,3,2,1,14:10,Southern Mississippi,26,home,2,1,35,0,3,2,8,2,0,1,15,5-15,1-2,287,173,14-26,6.2,125,40,3.1,0-0,1,1,0,20:10,,,
639,243320145,Mississippi State,3,away,1,0,20,0,2,0,3,6,1-12,0-1,220,181,8-28,5.4,70,26,2.7,0-0,4,3,1,13:51,Ole Miss,20,home,3,1,9,0,6,1,8,10,0,1,24,8-18,0-1,421,143,13-26,5.3,283,62,4.6,0-0,4,1,3,22:48,13,0,1
640,243320066,Missouri,17,away,0,2,1,0,3,0,5,16,7-18,0-0,358,150,13-24,6.3,208,50,4.2,0-0,2,1,1,17:23,Iowa State,14,home,1,2,9,0,3,0,2,0,0,1,21,6-18,0-2,349,227,16-29,7.1,143,50,2.9,0-0,1,0,1,18:52,0,0,1
641,243320151,NC State,52,home,0,2,108,1,9,3,10,19,6-16,1-4,387,257,18-35,6.5,160,42,3.8,0-0,5,4,1,18:21,East Carolina,14,away,4,1,10,0,3,0,2,0,0,1,7,3-18,0-3,140,131,10-28,3.9,30,38,0.8,0-0,2,0,2,18:15,29,0,1
642,243320120,Wake Forest,7,away,1,1,22,0,4,0,1,15,3-15,1-3,272,156,10-22,5.6,149,46,3.2,0-0,1,1,0,19:13,Maryland,13,home,1,1,2,0,3,0,7,,,,18,6-18,1-1,295,191,16-28,5.9,131,47,2.8,0-0,1,1,0,19:37,,,
643,243320058,Memphis,31,away,0,2,,,,1,,21,10-18,1-1,470,142,12-21,6.8,328,51,6.4,0-0,0,0,0,21:32,South Florida,15,home,0,2,0,0,2,0,1,,,,22,5-14,1-5,431,191,18-37,5.2,240,40,6.0,0-0,0,0,0,15:08,,,
644,243320202,UTEP,35,away,0,3,,,,2,5,26,6-16,1-1,497,338,21-44,7.2,181,38,4.8,0-0,5,2,3,16:29,Tulsa,37,home,2,4,,,,0,7,29,0,3,15,4-16,2-2,283,113,9-15,5.1,207,54,3.8,0-0,1,0,1,19:43,14,0,1
645,243322641,Oklahoma State,15,away,1,0,19,0,1,0,9,14,3-13,0-2,242,78,7-14,4.7,176,44,4.0,0-0,0,0,0,16:28,Texas Tech,31,home,0,1,47,0,4,3,7,,,,27,9-15,0-0,436,295,31-46,6.1,155,33,4.7,0-0,2,1,1,20:12,68,1,1
646,243320103,Syracuse,43,away,1,4,-1,0,7,0,13,19,6-16,1-1,397,88,9-16,5.5,309,52,5.9,0-0,2,0,2,19:58,Boston College,17,home,0,0,62,1,4,1,5,7,0,2,15,4-20,3-6,271,214,24-51,3.9,71,29,2.4,0-0,4,1,3,17:00,55,1,3
647,243322633,Kentucky,31,away,0,1,4,0,1,2,7,20,3-10,0-2,323,231,20-32,6.8,105,29,3.6,0-0,1,0,1,16:31,Tennessee,37,home,0,3,0,0,4,2,5,0,0,1,34,9-16,0-1,606,402,27-43,9.3,204,40,5.1,0-0,2,0,2,19:36,3,0,1
648,243320259,Virginia,10,away,1,0,16,0,3,1,,14,5-15,0-0,299,121,8-14,7.9,188,46,4.1,0-0,3,3,0,19:33,Virginia Tech,24,home,3,1,18,0,4,2,6,,,,19,4-13,0-1,347,212,16-22,9.1,147,40,3.7,0-0,1,1,0,19:35,,,
649,243322440,Boise State,58,away,1,3,75,0,6,3,16,27,7-14,1-1,558,288,19-27,10.0,287,49,5.9,0-0,2,0,2,19:13,Nevada,21,home,0,1,0,0,2,1,3,40,1,2,17,7-17,1-1,374,304,27-46,6.6,70,27,2.6,0-0,3,1,2,17:15,116,1,2
650,243320061,Georgia Tech,13,away,1,1,22,0,5,0,7,18,4-16,0-4,194,207,16-42,4.0,24,35,0.7,0-0,0,0,0,19:04,Georgia,19,home,0,0,0,0,1,2,7,,,,13,6-15,0-0,226,237,11-28,6.9,34,33,1.0,0-0,1,1,0,17:06,,,
651,243320097,Cincinnati,7,away,1,1,,,,0,1,16,5-21,2-4,186,67,8-27,1.2,153,57,2.7,0-0,4,2,2,25:00,Louisville,70,home,2,4,136,2,6,3,10,0,0,2,17,5-8,0-1,491,134,10-15,8.9,357,31,11.5,0-0,1,1,0,11:01,,,
652,243320030,Notre Dame,10,away,0,0,9,0,1,1,4,16,4-15,0-1,300,118,15-30,3.5,195,37,5.3,0-0,0,0,0,19:29,USC,41,home,0,0,,,,5,11,,,,23,6-13,1-1,488,408,25-35,11.6,83,28,3.0,0-0,0,0,0,17:10,,,
